cliente_id,grupo,recuperou,valor_recuperado
C0153,tratamento,0,0.0
C0154,controle,1,556.68
C0155,tratamento,0,0.0
C0156,tratamento,0,0.0
C0157,controle,0,0.0
C0158,controle,0,0.0
C0159,controle,0,0.0
C0160,tratamento,1,189.03
C0161,tratamento,0,0.0
C0162,controle,0,0.0
C0163,controle,0,0.0
C0164,controle,1,572.23
C0165,controle,1,92.97
C0166,tratamento,0,0.0
C0167,tratamento,0,0.0
C0168,controle,0,0.0
C0169,tratamento,0,0.0
C0170,tratamento,0,0.0
C0171,controle,1,583.63
C0172,tratamento,1,79.61
C0173,tratamento,1,345.17
C0174,tratamento,0,0.0
C0175,controle,1,179.3
C0176,controle,0,0.0
C0177,controle,0,0.0
C0178,controle,0,0.0
C0179,controle,1,346.22
C0180,controle,1,795.24
C0181,tratamento,0,0.0
C0182,tratamento,0,0.0
C0183,controle,0,0.0
C0184,controle,1,378.51
C0185,controle,0,0.0
C0186,controle,0,0.0
C0187,controle,0,0.0
C0188,tratamento,1,631.31
C0189,controle,0,0.0
C0190,tratamento,1,218.9
C0191,controle,0,0.0
C0192,tratamento,0,0.0
C0193,tratamento,0,0.0
C0194,tratamento,0,0.0
C0195,controle,1,273.9
C0196,controle,1,190.2
C0197,controle,0,0.0
C0198,tratamento,0,0.0
C0199,controle,0,0.0
C0200,tratamento,1,778.19
C0201,controle,0,0.0
C0202,controle,1,908.56
C0203,tratamento,0,0.0
C0204,tratamento,0,0.0
C0205,controle,0,0.0
C0206,controle,0,0.0
C0207,tratamento,0,0.0
C0208,controle,1,449.19
C0209,controle,0,0.0
C0210,controle,1,751.44
C0211,tratamento,1,930.83
C0212,controle,0,0.0
C0213,controle,0,0.0
C0214,controle,1,913.96
C0215,controle,0,0.0
C0216,tratamento,0,0.0
C0217,controle,0,0.0
C0218,tratamento,0,0.0
C0219,controle,0,0.0
