transacao_id,valor,hora,distancia_km,tentativas_10min
T00074,182.57,15,0.5,3
T00075,319.62,14,8.0,0
T00076,164.28,22,14.52,2
T00077,236.76,18,6.91,0
T00078,135.89,5,3.42,0
T00079,106.55,9,5.21,0
T00080,124.81,11,1.79,0
T00081,117.12,8,12.74,0
T00082,109.9,22,3.26,0
T00083,154.89,9,4.61,1
T00084,95.68,17,10.14,1
T00085,122.66,18,6.0,1
T00086,25.96,16,17.04,0
T00087,218.86,19,0.59,0
T00088,179.44,18,1.91,1
T00089,52.42,18,1.09,1
T00090,146.81,13,0.25,0
T00091,360.75,19,11.66,2
T00092,153.22,22,6.16,3
T00093,242.76,13,7.6,0
T00094,200.03,0,20.37,2
T00095,62.26,12,9.16,0
T00096,233.67,0,8.46,3
T00097,113.99,4,7.27,0
T00098,124.18,15,1.64,1
T00099,82.88,23,2.97,0
T00100,339.43,0,1.45,0
T00101,56.83,15,4.18,0
T00102,16.23,8,7.07,0
T00103,179.92,15,1.68,0
T00104,127.54,14,6.82,2
T00105,169.18,12,3.78,0
T00106,246.83,6,3.9,0
T00107,137.87,18,2.12,2
T00108,92.3,10,6.16,0
T00109,184.27,17,4.74,2
T00110,40.62,12,8.85,0
T00111,335.32,23,1.35,0
T00112,112.0,16,7.18,2
T00113,64.27,8,20.81,2
T00114,120.18,17,4.8,2
T00115,196.98,13,10.94,0
T00116,153.34,14,2.61,0
T00117,150.35,3,12.74,0
T00118,68.85,17,1.8,0
T00119,66.3,1,9.35,0
T00120,96.98,6,17.75,0
T00121,181.68,18,12.48,1
T00122,237.03,6,12.73,1
T00123,242.76,19,1.18,0
T00124,439.56,3,9.96,2
T00125,271.56,4,9.19,0
T00126,103.99,8,4.34,0
T00127,489.2,1,4.72,2
T00128,140.61,12,3.42,1
T00129,256.82,19,5.23,1
T00130,253.75,6,0.74,0
T00131,125.63,3,4.28,0
T00132,142.25,5,7.87,2
T00133,197.06,22,1.13,0
T00134,123.12,21,9.25,1
T00135,77.47,4,4.97,3
T00136,199.44,0,11.75,1
T00137,106.43,8,4.61,0
T00138,528.05,11,3.15,1
T00139,293.61,11,7.86,2
T00140,30.65,1,7.77,0
T00141,36.95,17,2.75,2
T00142,151.09,10,9.23,0
T00143,97.66,14,5.62,2
T00144,75.49,20,0.75,0
T00145,146.78,7,0.59,1
T00146,512.76,13,15.07,0
T00147,93.58,13,7.64,1
T00148,219.2,22,6.9,1
T00149,188.7,14,3.19,1
T00150,107.32,20,8.84,0
T00151,109.93,14,3.37,1
T00152,119.45,11,0.89,2
T00153,146.78,8,3.7,0
T00154,26.35,23,12.45,0
T00155,136.63,23,3.51,1
T00156,101.84,12,13.81,0
T00157,89.18,19,6.59,0
T00158,89.45,11,8.49,1
T00159,108.4,2,2.94,0
T00160,117.88,17,4.63,0
T00161,172.71,14,10.88,0
T00162,73.37,13,1.29,0
T00163,333.63,6,0.45,1
T00164,59.62,22,10.6,2
T00165,79.65,12,7.37,1
T00166,115.84,20,3.39,0
T00167,102.86,9,2.54,1
T00168,349.02,10,0.71,0
T00169,52.34,2,2.98,0
T00170,97.22,17,0.09,0
T00171,53.15,1,1.99,0
T00172,78.16,8,8.51,0
T00173,93.63,17,9.71,0
T00174,279.36,0,5.3,1
T00175,431.63,14,8.79,0
T00176,148.7,12,0.77,0
T00177,55.82,12,0.66,0
T00178,224.05,0,0.86,0
T00179,148.13,11,10.11,0
T00180,107.23,5,0.65,0
T00181,154.34,19,9.3,0
T00182,107.11,7,3.04,2
T00183,118.86,11,3.64,0
T00184,99.76,23,7.39,1
T00185,80.64,2,5.21,1
T00186,244.38,11,5.08,0
T00187,75.98,17,1.96,1
T00188,15400.0,4,1200.0,19
T00189,128.89,6,2.72,1
T00190,50.56,11,2.95,2
T00191,97.08,16,5.23,1
T00192,125.83,6,9.65,0
T00193,82.56,22,1.79,1
T00194,366.7,3,3.5,1
T00195,224.09,13,8.08,1
T00196,110.32,5,18.91,1
T00197,77.17,20,3.1,0
T00198,155.42,22,6.54,1
T00199,192.29,16,5.29,0
T00200,122.52,12,1.74,0
T00201,215.46,17,11.14,1
T00202,62.26,23,12.15,2
T00203,138.06,12,5.9,0
T00204,89.18,19,8.54,1
T00205,166.87,23,10.53,1
T00206,121.06,3,4.17,1
T00207,32.41,19,19.25,0
T00208,98.06,9,1.44,0
T00209,194.37,9,3.75,3
T00210,275.13,1,3.14,1
T00211,269.72,11,6.96,0
T00212,87.13,6,18.56,1
T00213,422.16,19,8.92,3
T00214,320.0,6,6.8,0
T00215,79.97,8,1.52,0
T00216,94.33,22,12.28,3
T00217,198.68,7,3.04,0
T00218,569.65,1,15.56,0
T00219,86.51,11,0.78,1
T00220,75.19,17,1.08,0
T00221,256.35,17,1.85,1
T00222,316.53,7,2.17,0
T00223,117.5,8,3.12,1
T00224,184.21,7,3.68,0
T00225,98.38,11,13.77,2
T00226,60.46,5,10.13,0
T00227,207.07,5,6.33,0
T00228,554.48,10,2.59,0
T00229,108.88,4,4.53,0
T00230,200.78,8,3.65,1
T00231,110.27,0,5.16,1
T00232,236.73,18,3.2,0
T00233,186.44,7,6.12,0
T00234,104.75,5,7.72,0
T00235,96.53,9,2.95,2
T00236,38.88,23,1.92,0
T00237,101.12,9,2.89,1
T00238,63.58,16,2.98,2
T00239,75.84,12,4.16,0
T00240,205.48,8,2.28,1
T00241,141.75,6,0.67,0
T00242,182.46,12,0.81,0
T00243,129.92,0,1.46,1
T00244,292.3,23,4.39,1
T00245,117.35,7,8.89,0
T00246,137.78,18,1.76,0
T00247,69.66,5,10.47,2
T00248,57.65,15,8.38,1
T00249,116.26,20,2.34,0
T00250,53.2,1,14.34,1
T00251,125.45,20,4.13,0
T00252,221.38,5,5.25,0
T00253,65.28,11,4.54,0
T00254,147.55,9,26.51,1
T00255,353.98,15,0.9,2
T00256,101.59,20,7.4,1
T00257,134.02,1,6.2,1
T00258,122.52,23,9.75,0
T00259,466.02,19,9.52,1
T00260,45.81,16,8.27,2
T00261,117.18,22,2.7,2
T00262,53.76,14,0.27,2
T00263,215.6,13,0.57,0
T00264,119.67,2,8.22,1
T00265,193.85,8,0.58,0
T00266,236.74,16,2.08,1
T00267,137.45,16,5.16,0
T00268,112.15,13,3.66,1
T00269,116.25,11,6.43,1
T00270,64.97,5,5.25,0
T00271,93.59,22,2.35,1
T00272,86.61,5,3.54,1
T00273,134.3,18,1.67,0
T00274,80.02,12,1.37,2
T00275,147.63,18,1.76,3
T00276,217.87,15,4.6,1
T00277,188.3,23,7.36,2
T00278,86.65,14,0.34,1
T00279,34.36,9,1.05,0
T00280,44.32,8,2.86,0
T00281,112.29,8,1.13,0
T00282,161.03,2,2.97,2
T00283,203.27,14,5.0,1
T00284,47.16,7,3.08,0
T00285,48.43,14,9.17,1
T00286,118.16,0,9.77,0
T00287,144.22,13,6.22,1
T00288,59.11,2,9.23,1
T00289,70.14,10,13.26,1
T00290,156.25,1,9.1,1
T00291,137.26,18,4.51,1
T00292,67.48,18,7.76,0
T00293,95.96,1,2.22,0
T00294,52.87,13,2.16,2
T00295,119.06,6,4.95,1
T00296,66.64,10,1.7,0
T00297,82.03,0,1.82,0
T00298,68.02,21,2.42,0
T00299,46.61,15,2.75,2
T00300,292.42,5,2.85,1
T00301,71.21,22,12.71,0
T00302,208.51,3,11.13,0
T00303,39.73,0,3.51,2
T00304,93.28,10,10.48,0
T00305,60.11,7,0.5,0
T00306,92.09,4,0.47,0
T00307,74.47,9,10.38,0
T00308,214.58,5,4.69,1
T00309,153.38,22,5.34,2
T00310,245.77,9,7.36,0
T00311,441.35,4,6.54,2
T00312,99.67,0,7.33,1
T00313,186.55,5,1.83,2
T00314,136.18,13,11.45,0
T00315,77.36,17,4.6,0
T00316,50.15,14,5.44,0
T00317,195.16,12,2.12,0
T00318,81.98,16,7.74,0
T00319,370.86,10,5.29,0
T00320,65.63,8,5.55,2
T00321,51.9,7,3.9,1
T00322,338.09,14,1.52,1
T00323,274.15,19,4.93,0
T00324,223.99,18,1.66,0
T00325,59.23,17,0.5,0
T00326,88.22,11,5.01,0
T00327,88.0,12,1.83,3
T00328,119.06,21,2.46,2
T00329,103.01,10,3.81,0
T00330,99.97,8,2.71,0
T00331,87.63,4,9.16,1
T00332,108.13,8,4.42,1
T00333,139.22,22,5.85,0
T00334,147.03,19,7.48,0
T00335,203.67,3,6.07,0
T00336,89.72,17,5.51,0
T00337,137.42,15,3.62,1
T00338,227.28,4,8.64,1
T00339,88.9,23,2.67,0
T00340,232.87,13,12.47,0
T00341,98.1,17,8.71,1
T00342,61.58,22,4.39,1
T00343,78.26,9,0.74,2
T00344,67.64,23,1.6,0
T00345,55.98,1,6.49,2
T00346,262.02,17,0.83,1
T00347,49.11,9,5.02,2
T00348,69.91,17,11.78,1
T00349,73.65,6,10.36,1
T00350,162.67,13,0.84,0
T00351,63.92,9,2.32,0
T00352,152.36,9,6.14,0
T00353,183.21,5,3.18,1
T00354,139.11,12,5.53,0
T00355,43.59,4,3.86,1
T00356,223.51,11,9.76,1
T00357,127.76,0,5.27,1
T00358,117.55,15,11.13,0
T00359,233.66,16,3.06,2
T00360,186.5,12,1.56,3
T00361,332.53,6,1.83,0
T00362,156.05,3,5.14,1
T00363,92.61,5,20.92,0
T00364,228.83,6,2.96,0
T00365,176.36,17,6.22,1
T00366,62.27,11,1.32,1
T00367,101.65,16,3.57,1
T00368,95.8,3,13.27,0
T00369,45.52,2,0.86,0
T00370,58.62,3,5.94,0
T00371,31.68,23,0.57,0
T00372,149.51,5,13.45,1
T00373,79.93,3,10.93,0
T00374,171.21,17,0.74,0
T00375,96.2,20,4.02,0
T00376,80.27,18,3.04,2
T00377,148.48,1,2.03,0
T00378,182.59,14,5.89,0
T00379,350.61,14,9.41,0
T00380,179.78,2,2.65,1
T00381,46.13,8,9.22,0
T00382,222.52,12,0.57,1
T00383,69.29,19,14.93,0
T00384,39.0,7,0.97,0
T00385,42.09,12,1.36,0
T00386,62.89,9,0.72,0
T00387,128.84,17,12.93,0
T00388,112.66,11,4.12,0
T00389,217.86,16,3.84,1
T00390,150.73,21,12.76,1
T00391,151.9,21,10.29,1
T00392,102.87,20,10.23,2
T00393,16.69,18,2.81,0
T00394,22.46,19,2.31,1
T00395,67.72,6,5.94,1
T00396,44.97,12,6.19,0
T00397,137.17,15,2.69,2
T00398,108.81,14,7.01,1
T00399,199.43,5,4.12,0
T00400,104.09,13,2.89,0
T00401,133.48,0,14.53,0
T00402,37.24,2,14.67,0
T00403,54.78,4,2.14,2
T00404,69.56,17,4.36,1
T00405,95.46,23,0.78,1
T00406,81.86,1,3.3,1
T00407,68.71,16,1.06,0
T00408,85.76,22,2.83,1
T00409,7300.0,10,630.0,12
T00410,132.22,22,2.83,1
T00411,65.01,19,13.85,0
T00412,276.83,1,0.6,2
T00413,170.4,6,8.28,1
T00414,135.78,15,6.87,1
T00415,56.58,21,7.46,1
T00416,55.12,22,17.95,0
T00417,124.92,5,1.76,0
T00418,217.7,5,3.71,1
T00419,62.82,23,2.7,0
