data,quantidade_transacoes,valor_total
2025-09-19,1379,225374.92
2025-09-20,1196,246758.95
2025-09-21,1008,186258.28
2025-09-22,953,173187.27
2025-09-23,1001,192391.06
2025-09-24,1061,213737.57
2025-09-25,1166,213386.37
2025-09-26,1300,258528.14
2025-09-27,1219,252225.15
2025-09-28,1038,181731.47
2025-09-29,1075,196014.85
2025-09-30,1052,184160.99
2025-10-01,1266,204695.81
2025-10-02,1232,243916.78
2025-10-03,1284,257749.75
2025-10-04,1242,208891.41
2025-10-05,1121,214305.34
2025-10-06,1097,210064.76
2025-10-07,996,208589.01
2025-10-08,1094,226029.42
2025-10-09,1194,236648.63
2025-10-10,1265,216778.58
2025-10-11,1272,205319.91
2025-10-12,987,192807.87
2025-10-13,975,186612.36
2025-10-14,1001,194226.84
2025-10-15,1095,204416.32
2025-10-16,1349,262276.27
2025-10-17,1258,220899.6
2025-10-18,1246,209639.46
2025-10-19,1148,205038.26
2025-10-20,1023,204534.87
2025-10-21,1114,192396.91
2025-10-22,1039,179444.53
2025-10-23,1299,246141.87
2025-10-24,1210,200780.19
2025-10-25,1236,233108.43
2025-10-26,1121,182447.33
2025-10-27,988,165485.95
2025-10-28,1200,211504.04
2025-10-29,1265,247826.48
2025-10-30,1463,256423.95
2025-10-31,1434,297388.34
2025-11-01,1376,264564.16
2025-11-02,1285,228475.77
2025-11-03,1132,206659.38
2025-11-04,1274,219088.08
2025-11-05,1410,236668.52
2025-11-06,1456,237532.63
2025-11-07,1574,314795.03
2025-11-08,1391,283902.73
2025-11-09,1295,213350.4
2025-11-10,1306,223372.91
2025-11-11,1253,255471.2
2025-11-12,1326,251725.24
2025-11-13,1406,251987.69
2025-11-14,1538,284239.23
2025-11-15,1370,238060.14
2025-11-16,1354,235880.79
2025-11-17,1148,220215.2
2025-11-18,1257,261687.52
2025-11-19,1328,266029.26
2025-11-20,1356,256021.43
2025-11-21,1478,274047.84
2025-11-22,1446,274392.55
2025-11-23,1275,251956.88
2025-11-24,1214,214884.19
2025-11-25,1250,243287.39
2025-11-26,1345,219876.18
2025-11-27,1519,286729.74
2025-11-28,1460,264117.86
2025-11-29,1380,222321.3
2025-11-30,1268,225900.85
2025-12-01,1198,246250.89
2025-12-02,1253,200533.8
2025-12-03,1304,244156.18
2025-12-04,1454,299297.23
2025-12-05,1466,292423.28
2025-12-06,1470,258426.33
2025-12-07,1349,275071.46
2025-12-08,1211,250737.37
2025-12-09,1211,224796.44
2025-12-10,1400,237317.28
2025-12-11,1527,250402.68
2025-12-12,1492,241409.59
2025-12-13,1447,283765.09
2025-12-14,1320,221118.75
2025-12-15,1275,225511.16
2025-12-16,1236,214833.64
2025-12-17,1496,274585.28
2025-12-18,1432,256012.92
2025-12-19,1529,308743.46
2025-12-20,1438,245353.83
2025-12-21,1271,206160.38
2025-12-22,1281,220753.02
2025-12-23,1375,276172.6
2025-12-24,1402,236392.06
2025-12-25,1552,250522.44
2025-12-26,1459,251862.19
2025-12-27,1471,279580.74
2025-12-28,1341,246788.4
2025-12-29,1338,216676.53
2025-12-30,1316,229278.83
2025-12-31,1395,283667.29
2026-01-01,1435,272557.68
2026-01-02,1527,311436.07
2026-01-03,1499,242849.26
2026-01-04,1308,241025.02
2026-01-05,1414,249184.08
2026-01-06,1222,203659.31
2026-01-07,1455,255266.56
2026-01-08,1457,288314.93
2026-01-09,1464,255974.28
2026-01-10,1368,248420.91
2026-01-11,1254,212075.95
2026-01-12,1294,250756.62
2026-01-13,1361,251605.1
2026-01-14,1457,276375.17
2026-01-15,1590,318031.44
2026-01-16,1588,282717.81
2026-01-17,1489,286655.83
2026-01-18,1343,248664.78
2026-01-19,1350,228191.18
2026-01-20,1343,235117.77
2026-01-21,1460,272674.18
2026-01-22,1559,251083.88
2026-01-23,1559,249714.81
2026-01-24,1543,294117.21
2026-01-25,1487,270865.36
2026-01-26,1321,239855.84
2026-01-27,1286,215403.87
2026-01-28,1409,294815.49
2026-01-29,1462,273547.7
2026-01-30,1538,313124.37
2026-01-31,1584,258653.12
2026-02-01,1510,267110.44
2026-02-02,1320,226904.16
2026-02-03,1486,303531.15
2026-02-04,1460,234046.18
2026-02-05,1562,258817.18
2026-02-06,1594,284134.59
2026-02-07,1464,271820.58
2026-02-08,1388,270885.0
2026-02-09,1405,279868.96
2026-02-10,1375,265809.51
2026-02-11,1512,248916.01
2026-02-12,1520,244889.06
2026-02-13,1540,259805.74
2026-02-14,1493,307833.48
2026-02-15,1494,295727.68
2026-02-16,1303,216153.54
2026-02-17,1317,276433.02
2026-02-18,1439,270958.21
2026-02-19,1533,285974.29
2026-02-20,1482,257358.86
2026-02-21,1406,284123.94
2026-02-22,1428,284772.72
2026-02-23,1300,238342.84
2026-02-24,1318,262160.27
