origem,destino,dispositivo,valor,data_hora
C004,C023,D023,99.58,2026-06-02 05:46:00
C034,C080,D028,1286.02,2026-06-02 06:33:00
C085,C038,D002,50.44,2026-06-02 07:20:00
C028,C009,D006,287.13,2026-06-02 08:07:00
C068,C084,D038,51.45,2026-06-02 08:54:00
C056,C090,D012,273.29,2026-06-02 09:41:00
C042,C030,D016,130.73,2026-06-02 10:28:00
C027,C058,D007,96.97,2026-06-02 11:15:00
C019,C059,D001,146.36,2026-06-02 12:02:00
C007,C060,D003,195.57,2026-06-02 12:49:00
C059,C020,D030,175.03,2026-06-02 13:36:00
C064,C036,D017,49.69,2026-06-02 14:23:00
C074,C071,D016,407.83,2026-06-02 15:10:00
C073,C076,D031,315.3,2026-06-02 15:57:00
C003,C053,D025,106.85,2026-06-02 16:44:00
C055,C044,D018,117.58,2026-06-02 17:31:00
C069,C066,D036,95.13,2026-06-02 18:18:00
C083,C024,D019,61.04,2026-06-02 19:05:00
C019,C077,D039,39.1,2026-06-02 19:52:00
C065,C037,D043,58.32,2026-06-02 20:39:00
C051,C057,D043,22.39,2026-06-02 21:26:00
C022,C046,D028,380.91,2026-06-02 22:13:00
C064,C030,D024,150.75,2026-06-02 23:00:00
C052,C033,D026,87.52,2026-06-02 23:47:00
C001,C055,D026,289.45,2026-06-03 00:34:00
C070,C024,D025,77.46,2026-06-03 01:21:00
C042,C088,D033,125.67,2026-06-03 02:08:00
C064,C065,D041,139.61,2026-06-03 02:55:00
C053,C038,D016,201.51,2026-06-03 03:42:00
C003,C077,D039,653.89,2026-06-03 04:29:00
C011,C051,D027,279.73,2026-06-03 05:16:00
C076,C037,D012,131.06,2026-06-03 06:03:00
C023,C053,D019,51.42,2026-06-03 06:50:00
C015,C021,D034,276.61,2026-06-03 07:37:00
C050,C012,D025,38.24,2026-06-03 08:24:00
C080,C035,D046,227.24,2026-06-03 09:11:00
C060,C080,D015,190.04,2026-06-03 09:58:00
C069,C087,D027,262.05,2026-06-03 10:45:00
C018,C052,D010,145.71,2026-06-03 11:32:00
C013,C064,D015,194.94,2026-06-03 12:19:00
C044,C030,D034,885.46,2026-06-03 13:06:00
C072,C032,D033,253.12,2026-06-03 13:53:00
C080,C044,D049,216.1,2026-06-03 14:40:00
C052,C019,D050,94.67,2026-06-03 15:27:00
C008,C037,D050,536.29,2026-06-03 16:14:00
C068,C026,D049,62.97,2026-06-03 17:01:00
C029,C060,D033,257.7,2026-06-03 17:48:00
C058,C020,D024,198.98,2026-06-03 18:35:00
C042,C049,D011,96.71,2026-06-03 19:22:00
C066,C067,D002,143.51,2026-06-03 20:09:00
C063,C085,D029,87.26,2026-06-03 20:56:00
C055,C067,D025,128.24,2026-06-03 21:43:00
C035,C013,D015,41.78,2026-06-03 22:30:00
C084,C013,D024,159.27,2026-06-03 23:17:00
C080,C051,D021,201.56,2026-06-04 00:04:00
C010,C024,D031,92.09,2026-06-04 00:51:00
C033,C002,D025,81.29,2026-06-04 01:38:00
C073,C044,D012,175.13,2026-06-04 02:25:00
C030,C055,D049,287.84,2026-06-04 03:12:00
C055,C010,D033,103.69,2026-06-04 03:59:00
C062,C088,D034,78.88,2026-06-04 04:46:00
C009,C012,D005,241.82,2026-06-04 05:33:00
C070,C016,D022,129.2,2026-06-04 06:20:00
C014,C061,D041,193.09,2026-06-04 07:07:00
C050,C026,D021,218.58,2026-06-04 07:54:00
C016,C072,D042,249.27,2026-06-04 08:41:00
C077,C005,D019,85.96,2026-06-04 09:28:00
C006,C072,D048,94.38,2026-06-04 10:15:00
C064,C006,D036,93.62,2026-06-04 11:02:00
C041,C041,D001,129.53,2026-06-04 11:49:00
C022,C043,D023,166.02,2026-06-04 12:36:00
C043,C052,D002,29.56,2026-06-04 13:23:00
C068,C065,D041,14.79,2026-06-04 14:10:00
C070,C080,D017,203.96,2026-06-04 14:57:00
C074,C030,D038,815.66,2026-06-04 15:44:00
C044,C015,D013,101.54,2026-06-04 16:31:00
C019,C084,D008,441.54,2026-06-04 17:18:00
C056,C051,D044,262.0,2026-06-04 18:05:00
C043,C082,D004,156.04,2026-06-04 18:52:00
C080,C055,D049,172.82,2026-06-04 19:39:00
C055,C007,D013,391.93,2026-06-04 20:26:00
C081,C057,D002,88.04,2026-06-04 21:13:00
C010,C075,D021,428.68,2026-06-04 22:00:00
C002,C058,D040,90.09,2026-06-04 22:47:00
C042,C056,D031,107.37,2026-06-04 23:34:00
C072,C029,D048,180.27,2026-06-05 00:21:00
C086,C072,D004,178.39,2026-06-05 01:08:00
C038,C086,D019,525.99,2026-06-05 01:55:00
C080,C089,D032,121.11,2026-06-05 02:42:00
C011,C019,D037,215.71,2026-06-05 03:29:00
C089,C007,D015,129.78,2026-06-05 04:16:00
C056,C090,D011,357.81,2026-06-05 05:03:00
C030,C080,D039,85.43,2026-06-05 05:50:00
C068,C011,D050,1135.41,2026-06-05 06:37:00
C068,C011,D013,133.45,2026-06-05 07:24:00
C038,C064,D037,316.15,2026-06-05 08:11:00
C043,C003,D015,572.86,2026-06-05 08:58:00
C025,C084,D040,49.3,2026-06-05 09:45:00
C007,C078,D033,208.37,2026-06-05 10:32:00
C081,C010,D016,49.47,2026-06-05 11:19:00
C058,C078,D045,264.34,2026-06-05 12:06:00
C037,C029,D037,55.06,2026-06-05 12:53:00
C060,C046,D050,241.84,2026-06-05 13:40:00
C066,C002,D044,57.55,2026-06-05 14:27:00
C008,C046,D040,253.48,2026-06-05 15:14:00
C041,C020,D019,67.59,2026-06-05 16:01:00
C057,C090,D001,88.14,2026-06-05 16:48:00
C089,C047,D042,101.29,2026-06-05 17:35:00
C045,C082,D015,373.63,2026-06-05 18:22:00
C075,C068,D015,376.04,2026-06-05 19:09:00
C049,C069,D050,113.79,2026-06-05 19:56:00
C025,C032,D015,140.82,2026-06-05 20:43:00
C067,C088,D009,480.77,2026-06-05 21:30:00
C031,C033,D018,187.95,2026-06-05 22:17:00
C026,C058,D006,414.13,2026-06-05 23:04:00
C052,C088,D038,184.67,2026-06-05 23:51:00
C059,C069,D034,39.19,2026-06-06 00:38:00
C058,C090,D027,20.13,2026-06-06 01:25:00
C026,C004,D027,218.72,2026-06-06 02:12:00
C077,C010,D017,144.98,2026-06-06 02:59:00
C076,C073,D003,285.98,2026-06-06 03:46:00
C004,C046,D015,172.25,2026-06-06 04:33:00
C064,C025,D029,24.78,2026-06-06 05:20:00
C067,C019,D003,249.55,2026-06-06 06:07:00
C008,C006,D036,52.95,2026-06-06 06:54:00
C044,C004,D035,72.91,2026-06-06 07:41:00
C064,C078,D011,58.69,2026-06-06 08:28:00
C021,C059,D022,189.77,2026-06-06 09:15:00
C044,C016,D008,251.07,2026-06-06 10:02:00
C057,C024,D050,68.23,2026-06-06 10:49:00
C042,C049,D005,106.57,2026-06-06 11:36:00
C051,C008,D011,36.07,2026-06-06 12:23:00
C013,C017,D022,125.64,2026-06-06 13:10:00
C038,C074,D049,128.08,2026-06-06 13:57:00
C088,C069,D017,196.4,2026-06-06 14:44:00
C019,C078,D015,307.97,2026-06-06 15:31:00
C030,C003,D023,200.81,2026-06-06 16:18:00
C069,C078,D049,409.54,2026-06-06 17:05:00
C014,C051,D027,48.3,2026-06-06 17:52:00
C060,C024,D013,278.06,2026-06-06 18:39:00
C020,C017,D036,77.71,2026-06-06 19:26:00
C075,C004,D045,114.11,2026-06-06 20:13:00
C038,C066,D015,90.2,2026-06-06 21:00:00
C004,C043,D037,74.98,2026-06-06 21:47:00
C037,C005,D022,84.79,2026-06-06 22:34:00
C053,C043,D038,193.85,2026-06-06 23:21:00
C063,C013,D023,30.55,2026-06-07 00:08:00
C038,C031,D029,157.37,2026-06-07 00:55:00
C061,C043,D044,359.71,2026-06-07 01:42:00
C038,C082,D030,203.82,2026-06-07 02:29:00
C021,C052,D016,365.52,2026-06-07 03:16:00
C002,C059,D012,75.42,2026-06-07 04:03:00
C033,C020,D025,280.55,2026-06-07 04:50:00
C003,C034,D044,36.9,2026-06-07 05:37:00
C055,C071,D009,770.88,2026-06-07 06:24:00
C075,C030,D011,121.63,2026-06-07 07:11:00
C031,C053,D005,274.81,2026-06-07 07:58:00
C054,C081,D034,96.86,2026-06-07 08:45:00
C033,C032,D042,263.55,2026-06-07 09:32:00
C079,C028,D046,96.5,2026-06-07 10:19:00
C066,C042,D047,13.43,2026-06-07 11:06:00
C008,C044,D050,43.53,2026-06-07 11:53:00
C014,C046,D021,248.98,2026-06-07 12:40:00
C090,C023,D016,530.43,2026-06-07 13:27:00
C027,C005,D024,179.39,2026-06-07 14:14:00
C019,C050,D048,140.15,2026-06-07 15:01:00
C076,C012,D039,347.63,2026-06-07 15:48:00
C018,C013,D034,61.85,2026-06-07 16:35:00
C060,C083,D028,157.13,2026-06-07 17:22:00
C021,C016,D001,673.09,2026-06-07 18:09:00
C056,C078,D021,106.89,2026-06-07 18:56:00
C065,C084,D029,58.66,2026-06-07 19:43:00
C007,C016,D004,147.65,2026-06-07 20:30:00
C072,C036,D024,44.79,2026-06-07 21:17:00
C040,C073,D002,236.7,2026-06-07 22:04:00
C067,C049,D015,35.51,2026-06-07 22:51:00
C042,C065,D009,555.18,2026-06-07 23:38:00
C003,C041,D033,135.72,2026-06-08 00:25:00
C069,C010,D048,74.48,2026-06-08 01:12:00
C029,C013,D012,562.19,2026-06-08 01:59:00
C032,C035,D001,519.53,2026-06-08 02:46:00
C026,C073,D038,114.96,2026-06-08 03:33:00
C071,C045,D011,109.67,2026-06-08 04:20:00
C031,C089,D039,131.91,2026-06-08 05:07:00
C057,C015,D030,776.64,2026-06-08 05:54:00
C008,C082,D034,399.33,2026-06-08 06:41:00
C056,C083,D047,55.65,2026-06-08 07:28:00
C029,C003,D043,34.66,2026-06-08 08:15:00
C069,C015,D009,171.65,2026-06-08 09:02:00
C086,C020,D045,14.15,2026-06-08 09:49:00
C062,C062,D039,200.96,2026-06-08 10:36:00
C055,C054,D018,192.79,2026-06-08 11:23:00
C084,C071,D045,444.4,2026-06-08 12:10:00
C043,C059,D050,123.28,2026-06-08 12:57:00
C016,C070,D025,87.52,2026-06-08 13:44:00
C004,C013,D026,128.44,2026-06-08 14:31:00
C028,C089,D029,353.47,2026-06-08 15:18:00
C040,C030,D040,133.34,2026-06-08 16:05:00
C086,C033,D003,86.58,2026-06-08 16:52:00
C028,C075,D014,189.13,2026-06-08 17:39:00
C020,C050,D048,415.75,2026-06-08 18:26:00
C022,C014,D039,57.57,2026-06-08 19:13:00
C071,C039,D018,812.13,2026-06-08 20:00:00
C055,C072,D006,21.5,2026-06-08 20:47:00
C010,C057,D029,24.92,2026-06-08 21:34:00
C085,C070,D038,106.69,2026-06-08 22:21:00
C023,C088,D014,94.94,2026-06-08 23:08:00
C058,C053,D016,72.85,2026-06-08 23:55:00
C054,C050,D004,75.99,2026-06-09 00:42:00
C001,C012,D031,246.91,2026-06-09 01:29:00
C071,C032,D011,86.98,2026-06-09 02:16:00
C012,C002,D014,119.0,2026-06-09 03:03:00
C063,C058,D029,86.21,2026-06-09 03:50:00
C024,C043,D039,756.61,2026-06-09 04:37:00
C073,C087,D021,114.77,2026-06-09 05:24:00
C077,C002,D032,226.1,2026-06-09 06:11:00
C043,C018,D023,289.35,2026-06-09 06:58:00
C076,C021,D039,369.31,2026-06-09 07:45:00
C048,C049,D045,119.5,2026-06-09 08:32:00
C032,C052,D047,35.11,2026-06-09 09:19:00
C057,C086,D045,148.29,2026-06-09 10:06:00
C002,C024,D001,209.81,2026-06-09 10:53:00
C004,C030,D034,102.42,2026-06-09 11:40:00
C015,C074,D046,88.82,2026-06-09 12:27:00
C078,C020,D044,58.63,2026-06-09 13:14:00
C024,C084,D004,2014.56,2026-06-09 14:01:00
C070,C043,D040,154.54,2026-06-09 14:48:00
C067,C049,D042,65.01,2026-06-09 15:35:00
C083,C058,D001,236.25,2026-06-09 16:22:00
C008,C014,D026,147.48,2026-06-09 17:09:00
C058,C022,D039,487.87,2026-06-09 17:56:00
C048,C016,D030,31.53,2026-06-09 18:43:00
C069,C038,D040,115.2,2026-06-09 19:30:00
C008,C053,D011,222.66,2026-06-09 20:17:00
C048,C004,D018,74.41,2026-06-09 21:04:00
C023,C075,D050,278.69,2026-06-09 21:51:00
C082,C081,D019,160.67,2026-06-09 22:38:00
C074,C046,D042,630.22,2026-06-09 23:25:00
C050,C025,D018,218.81,2026-06-10 00:12:00
C049,C038,D010,297.57,2026-06-10 00:59:00
C084,C085,D030,173.22,2026-06-10 01:46:00
C001,C075,D015,153.65,2026-06-10 02:33:00
C049,C024,D044,146.89,2026-06-10 03:20:00
C072,C002,D026,107.75,2026-06-10 04:07:00
C038,C008,D047,76.59,2026-06-10 04:54:00
C030,C082,D021,352.96,2026-06-10 05:41:00
C084,C008,D028,70.76,2026-06-10 06:28:00
C007,C065,D025,61.66,2026-06-10 07:15:00
C088,C003,D039,119.62,2026-06-10 08:02:00
C073,C064,D036,203.78,2026-06-10 08:49:00
C061,C064,D014,346.86,2026-06-10 09:36:00
C071,C054,D031,403.68,2026-06-10 10:23:00
C054,C053,D040,140.78,2026-06-10 11:10:00
C007,C042,D018,49.74,2026-06-10 11:57:00
C087,C057,D041,78.29,2026-06-10 12:44:00
C003,C036,D006,141.68,2026-06-10 13:31:00
C075,C059,D042,120.53,2026-06-10 14:18:00
C086,C088,D021,91.1,2026-06-10 15:05:00
C043,C078,D047,44.82,2026-06-10 15:52:00
C073,C074,D001,1448.12,2026-06-10 16:39:00
C058,C085,D013,187.41,2026-06-10 17:26:00
C015,C056,D017,122.36,2026-06-10 18:13:00
C054,C045,D034,194.78,2026-06-10 19:00:00
C063,C003,D025,121.37,2026-06-10 19:47:00
C005,C075,D036,171.94,2026-06-10 20:34:00
C061,C030,D022,72.28,2026-06-10 21:21:00
C065,C063,D005,157.88,2026-06-10 22:08:00
C003,C008,D030,100.05,2026-06-10 22:55:00
C043,C022,D017,408.77,2026-06-10 23:42:00
C055,C071,D045,190.17,2026-06-11 00:29:00
C056,C072,D049,202.71,2026-06-11 01:16:00
C040,C080,D018,334.02,2026-06-11 02:03:00
C032,C006,D029,119.8,2026-06-11 02:50:00
C071,C034,D022,379.34,2026-06-11 03:37:00
C001,C034,D006,138.14,2026-06-11 04:24:00
C083,C022,D031,78.09,2026-06-11 05:11:00
C048,C017,D015,590.92,2026-06-11 05:58:00
C074,C026,D011,218.03,2026-06-11 06:45:00
C004,C034,D042,381.17,2026-06-11 07:32:00
C006,C038,D013,50.65,2026-06-11 08:19:00
C063,C039,D004,75.56,2026-06-11 09:06:00
C057,C055,D043,190.65,2026-06-11 09:53:00
