cliente_id,frequencia_mensal,gasto_medio,uso_digital
CLI-0185,0.22,407.04,0.204
CLI-0186,57.03,1800.39,0.407
CLI-0187,38.89,591.67,0.478
CLI-0188,61.81,2293.22,0.435
CLI-0189,8.85,83.56,0.098
CLI-0190,44.96,2479.07,0.359
CLI-0191,10.03,314.71,0.276
CLI-0192,25.15,1371.58,0.638
CLI-0193,58.21,2056.25,0.332
CLI-0194,8.61,150.24,0.182
CLI-0195,41.77,779.75,0.675
CLI-0196,21.15,2089.61,0.847
CLI-0197,25.84,2156.47,0.739
CLI-0198,40.14,674.67,0.507
CLI-0199,53.65,2327.97,0.287
CLI-0200,7.2,446.33,0.075
CLI-0201,7.19,551.02,0.268
CLI-0202,23.83,1847.02,0.708
CLI-0203,16.72,194.21,0.143
CLI-0204,54.82,2364.2,0.493
CLI-0205,37.34,575.53,0.545
CLI-0206,32.62,601.83,0.524
CLI-0207,47.27,2102.16,0.441
CLI-0208,52.74,2564.05,0.464
CLI-0209,20.46,1985.41,0.848
CLI-0210,12.79,515.38,0.216
CLI-0211,56.12,2386.64,0.454
CLI-0212,4.47,117.28,0.149
CLI-0213,19.74,2174.34,0.706
CLI-0214,34.82,948.21,0.624
CLI-0215,8.19,134.38,0.281
CLI-0216,12.69,2127.24,0.925
CLI-0217,21.61,1925.05,0.761
CLI-0218,54.8,2023.88,0.316
CLI-0219,68.32,2266.82,0.4
CLI-0220,39.43,582.89,0.492
CLI-0221,10.99,2010.09,0.791
CLI-0222,16.69,2349.64,0.833
CLI-0223,25.46,2318.32,0.76
CLI-0224,38.29,981.32,0.572
CLI-0225,38.9,945.14,0.683
CLI-0226,44.99,1126.61,0.58
CLI-0227,60.17,2274.49,0.255
CLI-0228,13.05,324.67,0.174
CLI-0229,39.36,860.37,0.498
CLI-0230,52.5,2068.65,0.392
CLI-0231,16.88,2410.19,0.983
CLI-0232,3.28,550.14,0.255
CLI-0233,40.94,770.65,0.578
CLI-0234,52.85,2140.86,0.467
CLI-0235,62.15,2292.42,0.343
CLI-0236,23.93,2140.98,0.84
CLI-0237,27.63,1872.33,0.881
CLI-0238,17.42,2348.46,0.678
CLI-0239,57.79,2276.31,0.415
CLI-0240,44.95,751.09,0.622
CLI-0241,18.21,2384.87,0.749
CLI-0242,53.89,2074.64,0.321
CLI-0243,33.54,764.45,0.599
CLI-0244,14.47,398.01,0.181
CLI-0245,39.15,1117.22,0.493
CLI-0246,38.17,706.76,0.553
CLI-0247,49.06,902.03,0.564
CLI-0248,28.84,2278.61,0.827
CLI-0249,25.64,2093.84,0.859
CLI-0250,46.4,964.36,0.541
CLI-0251,11.22,479.31,0.2
CLI-0252,2.75,450.4,0.136
CLI-0253,59.92,2370.31,0.457
CLI-0254,20.52,2111.42,0.783
CLI-0255,17.09,2443.94,0.747
CLI-0256,23.08,2033.11,0.777
CLI-0257,37.49,1041.63,0.437
CLI-0258,21.93,1827.02,0.759
CLI-0259,58.18,2377.07,0.419
CLI-0260,52.69,2498.71,0.308
CLI-0261,5.36,75.19,0.365
CLI-0262,39.49,805.66,0.619
CLI-0263,58.75,1780.24,0.342
CLI-0264,14.03,617.0,0.269
CLI-0265,57.2,2140.25,0.344
CLI-0266,21.63,2074.36,0.812
CLI-0267,41.55,639.18,0.615
CLI-0268,56.43,2383.64,0.275
CLI-0269,4.31,597.01,0.273
CLI-0270,11.46,394.5,0.248
CLI-0271,24.86,615.58,0.507
CLI-0272,61.07,2074.42,0.422
CLI-0273,61.57,2011.21,0.317
CLI-0274,57.15,2640.58,0.452
CLI-0275,11.0,218.32,0.181
CLI-0276,13.15,2312.45,0.666
CLI-0277,53.45,2245.28,0.33
CLI-0278,52.19,2200.64,0.404
CLI-0279,7.86,762.49,0.128
CLI-0280,54.8,2274.35,0.262
CLI-0281,15.79,2101.4,0.752
CLI-0282,37.39,805.3,0.623
CLI-0283,8.39,641.86,0.283
CLI-0284,17.15,403.7,0.184
CLI-0285,28.73,2436.14,0.864
CLI-0286,32.72,832.92,0.59
CLI-0287,39.71,573.82,0.512
CLI-0288,3.74,236.36,0.371
CLI-0289,26.58,2313.12,0.765
CLI-0290,18.98,2242.8,0.787
CLI-0291,5.42,586.71,0.269
CLI-0292,-0.38,424.27,0.152
CLI-0293,11.18,706.16,0.102
CLI-0294,60.05,2114.92,0.307
CLI-0295,24.77,2119.09,0.868
CLI-0296,13.97,343.92,0.088
CLI-0297,29.13,2090.92,0.95
CLI-0298,57.53,2208.11,0.45
CLI-0299,47.3,2283.93,0.442
CLI-0300,11.28,-34.51,0.242
CLI-0301,54.85,11280.599999999999,0.393
CLI-0302,19.98,2526.24,0.88
CLI-0303,-0.1,278.83,0.275
CLI-0304,35.98,639.2,0.516
CLI-0305,15.19,360.88,0.224
CLI-0306,8.28,332.72,0.324
CLI-0307,12.32,401.07,0.168
CLI-0308,39.58,676.98,0.518
CLI-0309,38.55,1282.02,0.55
CLI-0310,18.89,1767.02,0.736
CLI-0311,22.38,1796.72,0.961
CLI-0312,14.3,2328.57,0.967
CLI-0313,18.15,2297.54,0.709
CLI-0314,21.12,2797.33,0.715
CLI-0315,19.66,2081.9,0.919
CLI-0316,30.55,783.43,0.613
CLI-0317,62.04,2600.21,0.311
CLI-0318,7.57,694.61,0.191
CLI-0319,9.13,262.09,0.102
CLI-0320,38.58,792.51,0.601
CLI-0321,34.28,731.09,0.518
CLI-0322,35.74,413.01,0.738
CLI-0323,28.38,2068.19,0.926
CLI-0324,15.2,2178.53,0.751
CLI-0325,57.23,2325.34,0.309
CLI-0326,18.77,2124.46,0.867
CLI-0327,35.11,794.47,0.475
CLI-0328,20.81,2287.17,0.698
CLI-0329,14.06,2193.34,0.82
CLI-0330,18.37,1983.7,0.887
CLI-0331,46.71,2420.2,0.26
CLI-0332,49.73,2498.18,0.447
CLI-0333,56.88,1834.32,0.377
CLI-0334,57.5,2455.65,0.368
CLI-0335,41.89,798.95,0.449
CLI-0336,20.73,2235.46,0.76
CLI-0337,36.78,624.39,0.535
CLI-0338,13.19,546.61,0.154
CLI-0339,31.03,2249.37,0.727
CLI-0340,40.42,580.34,0.395
CLI-0341,18.2,253.33,0.053
CLI-0342,50.39,1979.65,0.513
CLI-0343,53.59,2045.83,0.433
CLI-0344,3.13,300.79,0.243
CLI-0345,20.21,2107.66,0.764
CLI-0346,17.73,416.64,0.199
CLI-0347,58.18,2202.76,0.32
CLI-0348,8.39,389.24,0.245
CLI-0349,45.32,749.26,0.555
CLI-0350,61.83,2330.84,0.443
CLI-0351,55.39,2127.29,0.339
CLI-0352,63.98,2333.03,0.463
CLI-0353,58.95,2109.04,0.433
CLI-0354,14.74,640.33,0.15
CLI-0355,17.11,2113.72,0.829
CLI-0356,21.42,2122.51,0.867
CLI-0357,23.78,1793.59,0.718
CLI-0358,23.35,2395.97,0.943
CLI-0359,34.71,707.44,0.595
