cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,estado_civil,faixa_risco
CLI-0081,30,,95,0.3506,solteiro,baixo
CLI-0082,50,250000.0,182,0.3568,casado,baixo
CLI-0083,57,1822.5,136,0.2434,casado,alto
CLI-0084,47,4588.66,181,0.4295,viuvo,baixo
CLI-0085,22,,235,0.107,,medio
CLI-0086,49,3233.53,1,0.256,casado,medio
CLI-0087,20,5339.24,203,0.4959,casado,baixo
CLI-0088,33,2162.03,94,0.4716,divorciado,alto
CLI-0089,49,2294.63,2,0.5111,viuvo,baixo
CLI-0090,68,2504.09,73,0.4378,viuvo,baixo
CLI-0091,42,,78,0.0621,casado,medio
CLI-0092,37,,67,0.4719,divorciado,baixo
CLI-0093,41,2967.68,162,0.3891,divorciado,baixo
CLI-0094,68,,204,0.1564,viuvo,baixo
CLI-0095,68,,51,0.5836,casado,medio
CLI-0096,33,3685.76,203,0.4873,divorciado,baixo
CLI-0097,48,6494.47,227,0.5306,solteiro,medio
CLI-0098,67,9202.56,115,0.6275,solteiro,baixo
CLI-0099,21,1638.0,125,0.6882,solteiro,baixo
CLI-0100,57,7235.66,11,0.1645,casado,alto
CLI-0101,30,2508.94,155,0.7748,solteiro,baixo
CLI-0102,29,4605.44,18,0.4072,solteiro,medio
CLI-0103,63,2833.68,100,0.3496,solteiro,baixo
CLI-0104,29,,216,0.3752,casado,baixo
CLI-0105,67,3871.21,107,0.3972,divorciado,baixo
CLI-0106,22,6977.61,81,0.5183,solteiro,medio
CLI-0107,55,3269.53,38,0.8394,casado,alto
CLI-0108,27,4059.91,215,0.7808,solteiro,alto
CLI-0109,66,3238.93,87,0.1354,casado,baixo
CLI-0110,35,4581.97,182,0.405,viuvo,baixo
CLI-0111,53,4494.51,1,0.5979,casado,baixo
CLI-0112,52,5680.57,226,0.4387,viuvo,medio
CLI-0113,67,12385.43,199,0.5313,divorciado,baixo
CLI-0114,35,,7,0.6213,,medio
CLI-0115,40,9313.33,40,0.3391,divorciado,baixo
CLI-0116,41,2329.07,55,0.4102,solteiro,medio
CLI-0117,23,2563.35,182,0.3511,solteiro,medio
CLI-0118,52,9096.16,125,0.2404,viuvo,baixo
CLI-0119,24,,150,0.2452,,baixo
CLI-0120,30,2031.71,126,0.2624,solteiro,baixo
CLI-0121,62,11490.51,175,0.836,solteiro,baixo
CLI-0122,39,4865.59,174,0.2632,divorciado,medio
CLI-0123,59,2792.84,157,0.3171,divorciado,alto
CLI-0124,65,2432.95,153,0.0828,viuvo,alto
CLI-0125,51,6115.89,12,0.7977,solteiro,medio
CLI-0126,50,3581.85,36,0.4898,,baixo
CLI-0127,53,2099.48,215,0.1842,casado,baixo
CLI-0128,31,1451.73,92,0.7365,casado,baixo
CLI-0129,39,,4,0.2158,solteiro,medio
CLI-0130,33,4230.98,155,0.1722,solteiro,medio
CLI-0131,37,4851.27,179,0.3899,casado,alto
CLI-0132,43,1279.03,40,0.3801,casado,baixo
CLI-0133,31,4509.32,101,0.7114,viuvo,baixo
CLI-0134,64,,25,0.4528,casado,alto
CLI-0135,31,13470.93,30,0.429,solteiro,baixo
CLI-0136,52,10327.1,123,0.7362,casado,alto
CLI-0137,38,9885.66,117,0.4003,divorciado,baixo
CLI-0138,21,5338.92,114,0.1543,solteiro,baixo
CLI-0139,69,1783.93,150,0.2225,divorciado,medio
CLI-0140,70,,171,0.414,solteiro,baixo
