cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,renda_anual,limite_estimado,saldo_medio,segmento,target_atraso
CLI-0025,27,8249.97,76,0.2465,97989.2,5706.01,4129.76,varejo,0
CLI-0026,20,4947.18,198,0.4418,60447.43,3153.59,3204.33,varejo,0
CLI-0027,43,2920.86,148,0.6207,36347.46,2367.27,1337.99,personnalite,1
CLI-0028,63,3189.37,151,0.5685,38058.92,1647.26,868.9,varejo,0
CLI-0029,22,5195.99,56,0.0565,62884.07,4909.73,4112.88,varejo,0
CLI-0030,72,8036.44,186,0.125,98819.34,5366.58,6159.2,varejo,0
CLI-0031,61,2988.49,201,0.4872,36762.3,3038.6,2212.98,uniclass,0
CLI-0032,57,2896.31,201,0.5547,33134.86,1659.26,478.75,uniclass,0
CLI-0033,69,4020.59,139,0.193,48233.91,2293.47,2731.79,personnalite,0
CLI-0034,48,5353.91,119,0.1141,63055.08,2712.67,1897.15,varejo,0
CLI-0035,23,3809.6,104,0.737,46165.63,1960.0,2865.41,varejo,1
CLI-0036,64,2746.83,99,0.7803,31368.66,877.97,418.01,varejo,1
CLI-0037,66,5991.17,123,0.4416,71547.15,4320.32,3199.21,varejo,0
CLI-0038,30,2214.96,130,0.313,27255.52,1975.92,1471.28,personnalite,0
CLI-0039,30,9996.3,136,0.5026,120226.8,6194.96,5444.93,varejo,0
CLI-0040,29,5580.75,208,0.377,67462.03,3508.6,3399.79,uniclass,0
CLI-0041,20,7750.25,5,0.5839,90956.95,6368.1,3863.38,varejo,0
CLI-0042,65,7219.24,132,0.491,87341.8,4397.05,2518.48,personnalite,0
CLI-0043,66,3640.46,212,0.2364,43790.08,3202.95,2281.32,varejo,0
CLI-0044,57,6769.7,210,0.1966,82791.48,2284.81,5353.0,varejo,0
CLI-0045,57,3595.55,161,0.5566,44204.34,2377.78,1288.39,varejo,0
CLI-0046,46,2259.04,11,0.5142,27724.55,-149.14,285.09,varejo,0
CLI-0047,37,7284.13,95,0.2017,87333.95,4519.43,3476.62,varejo,0
CLI-0048,54,5786.29,93,0.1716,69733.74,3535.74,4457.92,varejo,0
CLI-0049,33,2055.25,114,0.3981,25682.42,2148.02,299.29,varejo,0
CLI-0050,48,6971.86,230,0.5845,83563.16,4625.56,3866.73,varejo,0
CLI-0051,67,3947.49,46,0.3625,47592.36,2952.6,2330.82,varejo,0
CLI-0052,32,5477.09,209,0.1842,66781.83,3361.84,3704.17,varejo,0
CLI-0053,60,2161.64,101,0.3699,27916.18,846.24,1120.41,varejo,0
CLI-0054,51,2373.1,117,0.6338,29420.41,758.71,1647.46,varejo,0
CLI-0055,58,3408.6,117,0.2056,41765.44,2265.82,2502.28,varejo,0
CLI-0056,38,10257.23,122,0.3515,125336.2,6275.27,6864.69,varejo,0
CLI-0057,65,4148.35,14,0.1683,50521.64,420.39,1670.17,uniclass,0
CLI-0058,27,4331.89,80,0.1026,51382.83,3916.23,3386.74,varejo,0
CLI-0059,51,6938.49,122,0.756,81837.82,4334.72,3687.9,varejo,0
CLI-0060,44,1656.06,231,0.2173,19622.66,79.56,739.95,uniclass,0
CLI-0061,31,2272.18,206,0.4244,24937.58,2890.79,914.18,varejo,0
CLI-0062,66,1388.0,102,0.3729,14900.01,1951.17,655.29,varejo,0
CLI-0063,56,8707.08,136,0.2879,102284.94,6213.87,3760.75,varejo,0
CLI-0064,21,2287.34,207,0.4768,26522.31,1921.51,237.15,varejo,0
CLI-0065,31,5703.79,92,0.611,67855.75,4199.57,2314.8,personnalite,0
CLI-0066,72,5065.36,151,0.0828,59472.01,2248.83,3440.01,varejo,0
CLI-0067,66,2782.32,28,0.4303,32903.48,6.83,1911.18,varejo,0
CLI-0068,49,3118.73,163,0.7148,36844.79,880.36,2430.87,personnalite,0
CLI-0069,57,2926.36,159,0.2683,34270.18,2593.23,2060.95,varejo,0
CLI-0070,45,2771.84,81,0.1079,33856.07,770.32,2189.86,varejo,1
CLI-0071,54,2950.59,199,0.5228,35604.56,1626.05,1838.66,varejo,0
CLI-0072,60,1608.46,5,0.2688,19126.36,854.69,723.8,varejo,0
CLI-0073,38,3458.58,204,0.5869,41676.85,2067.24,1399.86,uniclass,0
CLI-0074,36,1760.45,215,0.0885,20811.94,1234.06,244.94,varejo,0
CLI-0075,42,1468.07,115,0.4298,17487.59,406.21,1013.16,uniclass,0
CLI-0076,70,7559.62,126,0.4154,91337.3,4300.53,2316.32,varejo,0
CLI-0077,58,3751.67,211,0.2211,43938.65,1603.99,1793.7,varejo,0
CLI-0078,63,7179.95,93,0.249,85807.6,2751.03,2446.73,uniclass,0
CLI-0079,25,4409.58,219,0.2164,52971.24,3591.59,2923.67,varejo,0
CLI-0080,62,6511.5,24,0.0437,79355.68,3359.39,1433.77,varejo,0
CLI-0081,66,2605.9,119,0.6009,28620.65,1705.27,1474.5,uniclass,0
CLI-0082,55,5343.22,146,0.6705,63073.35,2921.14,1868.45,varejo,1
CLI-0083,35,3009.53,172,0.6428,34666.31,1176.49,2273.08,varejo,0
CLI-0084,20,4001.53,47,0.3455,48009.9,2045.51,584.05,varejo,0
CLI-0085,38,3747.95,178,0.3511,45917.69,1888.5,1911.47,varejo,1
CLI-0086,55,2218.37,187,0.3542,27884.5,2397.19,1650.41,varejo,0
CLI-0087,42,2398.7,183,0.4134,29252.14,3081.04,1471.57,varejo,0
CLI-0088,64,4032.94,238,0.2013,47605.57,3211.12,1171.19,varejo,1
CLI-0089,55,9760.41,216,0.6719,118218.83,5954.75,2174.05,personnalite,0
CLI-0090,48,2190.26,103,0.5049,26988.39,2794.78,506.26,personnalite,0
CLI-0091,44,3583.02,86,0.6637,43964.78,1468.25,608.62,uniclass,1
CLI-0092,35,3569.47,233,0.272,42718.2,2845.97,628.13,varejo,1
CLI-0093,67,2522.19,228,0.2895,29721.85,2593.19,703.64,varejo,0
CLI-0094,52,3549.84,229,0.4559,44110.7,2842.25,2539.91,varejo,0
CLI-0095,20,2786.65,174,0.7181,33034.85,2143.69,1003.87,varejo,0
CLI-0096,63,4561.54,8,0.5838,55635.56,3006.38,1056.88,personnalite,0
CLI-0097,68,8245.28,194,0.5291,97131.72,5286.04,3277.68,uniclass,1
CLI-0098,22,3120.29,80,0.3954,36860.14,1427.71,2328.3,varejo,0
CLI-0099,34,4458.87,144,0.3929,53374.14,1914.35,3376.37,varejo,1
CLI-0100,71,2906.2,75,0.5434,35652.91,2339.02,815.53,uniclass,1
CLI-0101,39,4173.91,202,0.4045,51710.24,3638.14,2966.76,varejo,1
CLI-0102,26,6947.53,1,0.5441,83393.97,2934.91,1840.48,varejo,0
CLI-0103,20,9790.37,83,0.0485,116593.88,6503.56,4650.65,varejo,0
CLI-0104,48,3640.46,47,0.2871,43367.33,-190.49,1331.22,varejo,1
CLI-0105,43,1473.04,125,0.5804,18790.44,1001.18,222.31,varejo,0
CLI-0106,68,2815.14,193,0.7857,32478.65,1204.92,2130.99,uniclass,1
CLI-0107,61,2911.47,10,0.2675,33585.92,1902.65,2137.43,varejo,0
CLI-0108,28,3777.91,70,0.6222,46169.77,1598.05,1803.0,varejo,1
CLI-0109,22,3914.98,65,0.7109,47918.07,2850.75,518.58,uniclass,0
CLI-0110,70,2516.73,162,0.3735,29242.43,471.44,1537.05,uniclass,0
CLI-0111,65,4357.83,180,0.0985,50647.92,4079.6,3293.94,uniclass,0
CLI-0112,56,3753.91,157,0.2532,44566.81,1954.52,930.62,varejo,0
CLI-0113,51,2795.06,158,0.0855,33924.02,1160.91,483.46,varejo,0
CLI-0114,34,4358.37,188,0.7541,52486.28,2767.36,1252.67,uniclass,1
CLI-0115,48,2989.48,65,0.4167,35672.36,2629.31,1051.22,varejo,0
CLI-0116,69,3473.32,143,0.5993,43415.9,3629.21,1918.86,varejo,0
CLI-0117,22,2090.37,218,0.7817,25256.35,1265.96,1295.0,varejo,0
CLI-0118,36,2349.99,24,0.6283,29706.32,1320.36,657.58,uniclass,1
CLI-0119,70,10526.23,160,0.2013,126361.46,9300.12,4191.91,varejo,0
CLI-0120,37,7037.3,40,0.3481,84882.63,4839.7,1149.9,varejo,0
CLI-0121,40,5568.66,143,0.1908,69116.43,3538.96,3131.27,varejo,0
CLI-0122,36,5696.08,180,0.3339,68281.07,3179.28,3768.65,varejo,1
CLI-0123,30,2557.35,104,0.7813,29794.97,735.41,1259.43,varejo,0
CLI-0124,53,1549.18,75,0.5739,18975.14,615.62,733.32,uniclass,1
CLI-0125,22,1202.75,3,0.696,16775.82,-276.69,362.39,varejo,0
CLI-0126,45,2444.4,77,0.3596,29446.26,963.29,498.14,varejo,0
CLI-0127,37,4522.49,174,0.4735,51767.77,3792.2,669.94,varejo,0
CLI-0128,28,4833.81,224,0.251,59234.71,3468.28,2918.78,personnalite,0
CLI-0129,27,4393.97,216,0.5325,51644.1,4328.03,1522.31,uniclass,1
CLI-0130,63,3697.31,191,0.2223,44273.33,2303.12,485.31,uniclass,1
CLI-0131,38,3944.85,109,0.3948,48592.73,3923.47,1347.73,varejo,0
CLI-0132,19,3669.74,216,0.0935,44089.09,2245.57,2116.49,varejo,0
CLI-0133,46,4344.1,80,0.195,54261.45,2945.43,1473.21,varejo,1
CLI-0134,27,2440.29,176,0.2897,29827.84,476.79,1460.86,varejo,0
CLI-0135,55,4052.82,19,0.2801,47836.05,3234.18,2659.92,varejo,0
CLI-0136,59,2337.02,91,0.7876,28756.13,1397.11,496.69,varejo,0
CLI-0137,38,3952.04,103,0.3515,45529.36,1440.39,1317.87,uniclass,0
CLI-0138,52,3674.48,113,0.3627,45013.41,774.67,1283.11,uniclass,0
CLI-0139,42,8177.91,197,0.5015,98390.48,5378.31,1001.6,varejo,0
CLI-0140,69,8634.63,36,0.3978,105151.96,6715.0,2895.9,varejo,0
CLI-0141,70,4451.06,226,0.5632,52849.42,3766.09,3265.8,varejo,0
CLI-0142,56,2368.84,16,0.4724,27304.54,1010.12,955.82,varejo,0
CLI-0143,22,8373.51,82,0.7705,99228.88,5687.07,2373.45,uniclass,0
CLI-0144,22,4662.66,129,0.3424,57920.94,3015.8,3457.14,uniclass,0
CLI-0145,71,3205.63,62,0.3972,37635.72,2153.3,533.53,uniclass,1
CLI-0146,23,3314.2,224,0.18,39206.15,1869.16,1603.2,varejo,0
CLI-0147,34,4211.5,34,0.5593,51182.84,2015.36,2999.1,varejo,0
CLI-0148,47,2704.24,41,0.4782,32117.44,1113.9,1924.82,varejo,0
CLI-0149,48,3272.51,45,0.3203,40059.64,2283.52,1181.17,varejo,0
CLI-0150,28,5459.37,134,0.4513,65570.2,3918.34,2878.88,varejo,1
CLI-0151,25,4225.15,47,0.3081,53825.16,3625.31,808.01,varejo,0
CLI-0152,20,3501.82,121,0.3469,42581.22,2382.49,426.97,uniclass,0
CLI-0153,26,4904.6,72,0.4366,59926.88,2790.18,898.37,varejo,1
CLI-0154,58,7283.15,214,0.0782,86322.79,5718.71,1888.57,varejo,0
CLI-0155,48,7409.35,143,0.442,89080.38,4884.24,848.33,varejo,0
CLI-0156,72,4074.22,181,0.3853,49174.8,4040.32,2855.05,varejo,0
CLI-0157,69,3144.54,226,0.6258,38416.35,1133.64,1621.17,varejo,1
CLI-0158,70,7043.12,48,0.5526,84872.19,4655.23,4014.63,varejo,0
CLI-0159,24,1405.65,62,0.3847,17972.11,918.55,540.4,varejo,0
CLI-0160,48,2939.26,69,0.4065,35456.7,2864.06,2083.97,varejo,0
CLI-0161,52,2619.63,126,0.34,30470.74,552.79,840.25,varejo,0
CLI-0162,44,1889.78,5,0.3116,24641.66,119.62,1432.15,varejo,0
CLI-0163,42,9135.61,100,0.6738,109540.5,4892.33,2542.46,varejo,0
CLI-0164,43,3691.99,104,0.1946,45076.73,2852.02,1531.6,varejo,0
CLI-0165,28,5515.32,162,0.2606,65976.41,2974.58,1583.59,varejo,0
CLI-0166,22,6396.87,53,0.5231,76069.44,2488.03,1589.1,varejo,0
CLI-0167,70,9031.37,92,0.5601,108499.5,5705.14,4782.64,varejo,0
CLI-0168,55,4237.15,182,0.4969,50916.91,2198.79,1271.1,uniclass,0
CLI-0169,19,9383.85,125,0.2402,113760.59,7000.45,1787.35,varejo,0
CLI-0170,35,2400.87,211,0.5433,26354.91,1190.42,410.81,personnalite,0
CLI-0171,60,8257.39,11,0.693,99923.46,5274.9,6218.4,uniclass,1
CLI-0172,68,3535.74,224,0.4877,40255.79,3029.17,2630.14,varejo,1
CLI-0173,49,2646.36,16,0.212,33113.35,2610.28,1713.6,varejo,0
CLI-0174,41,1217.64,46,0.3219,14401.77,1452.02,765.43,varejo,0
CLI-0175,48,3913.6,131,0.5057,46315.42,1998.96,1075.29,varejo,1
CLI-0176,28,6071.71,179,0.4249,74028.29,4141.21,3962.61,uniclass,0
CLI-0177,60,2200.71,142,0.1791,26910.92,1327.87,1372.95,varejo,0
CLI-0178,32,5898.78,78,0.0855,69905.45,3367.42,4443.66,uniclass,0
CLI-0179,63,4800.87,9,0.6644,56919.77,3276.76,1077.11,varejo,0
CLI-0180,40,6170.72,208,0.5675,72349.99,3616.26,3021.11,uniclass,1
CLI-0181,24,2867.89,39,0.5767,32938.94,2158.98,680.58,varejo,0
CLI-0182,47,2292.02,167,0.6532,27837.49,220.24,1533.22,varejo,0
CLI-0183,38,3119.0,139,0.5182,36230.33,1757.29,2272.73,personnalite,0
CLI-0184,37,2451.76,104,0.3652,29064.44,1058.7,388.26,varejo,0
CLI-0185,60,7527.97,84,0.2891,90275.63,5363.01,5120.72,uniclass,0
CLI-0186,25,2065.67,139,0.3666,26532.55,560.28,480.34,personnalite,0
CLI-0187,30,4545.85,4,0.2675,55367.0,4383.67,2838.31,varejo,0
CLI-0188,51,8836.17,188,0.1792,104737.5,6688.71,2588.53,varejo,0
CLI-0189,32,4153.62,50,0.4298,50397.9,2011.17,592.39,varejo,0
CLI-0190,64,4860.34,43,0.8409,57058.18,2950.23,3797.23,varejo,0
CLI-0191,30,2534.49,166,0.3257,31749.0,795.33,1520.77,varejo,0
CLI-0192,42,2333.19,111,0.3369,25848.98,416.96,293.65,varejo,0
CLI-0193,36,6734.48,12,0.3353,81380.48,5180.57,1709.18,varejo,1
CLI-0194,22,4641.48,229,0.6915,55371.52,2407.15,2889.28,varejo,0
CLI-0195,46,2056.51,95,0.4931,24959.73,933.39,1443.37,varejo,0
CLI-0196,41,5104.79,47,0.1801,61025.97,4474.13,1415.18,varejo,0
CLI-0197,56,4771.29,190,0.3439,56776.76,2898.0,3012.95,varejo,0
CLI-0198,34,1836.9,78,0.5172,22200.69,1051.18,1046.77,personnalite,0
CLI-0199,41,5367.48,103,0.7836,64233.23,2467.16,2164.4,varejo,1
CLI-0200,23,2489.47,84,0.1282,31178.08,2585.32,1305.89,uniclass,0
CLI-0201,49,4334.55,84,0.3326,52476.08,4545.96,2511.97,varejo,0
CLI-0202,22,3785.68,127,0.5101,45724.52,1043.73,995.82,varejo,0
CLI-0203,37,2352.66,9,0.6473,29007.7,434.63,447.69,varejo,0
CLI-0204,34,4715.86,221,0.4685,55797.9,2007.02,2903.44,varejo,1
CLI-0205,35,3329.85,231,0.4473,41133.3,3124.89,1268.63,varejo,0
CLI-0206,55,5051.23,111,0.2811,60482.43,3682.41,1655.93,varejo,0
CLI-0207,57,2249.43,47,0.3389,26573.9,1500.2,1669.33,varejo,0
CLI-0208,44,2026.5,163,0.1031,24157.13,1514.94,1523.85,varejo,0
CLI-0209,36,3021.63,61,0.3057,37751.06,2350.39,841.81,varejo,0
CLI-0210,58,4816.86,152,0.2873,58627.8,3438.48,3198.39,varejo,0
CLI-0211,25,2110.48,20,0.2364,24886.43,1585.08,763.38,varejo,0
CLI-0212,49,5880.9,210,0.3908,71375.42,3425.4,4276.01,varejo,0
CLI-0213,46,2812.67,157,0.1964,35259.99,1884.32,672.43,personnalite,0
CLI-0214,37,5089.05,121,0.2199,61355.33,4025.86,3213.9,varejo,0
CLI-0215,30,2767.82,135,0.1789,32803.63,2463.73,436.16,personnalite,0
CLI-0216,21,3348.21,154,0.2956,41580.24,2821.77,2663.2,personnalite,0
CLI-0217,26,3993.68,40,0.4582,47890.55,802.98,2733.1,varejo,0
CLI-0218,21,3777.34,123,0.4508,45767.43,2677.86,3016.5,uniclass,0
CLI-0219,49,2903.82,117,0.2466,33684.44,2633.66,751.32,varejo,0
CLI-0220,68,2711.04,219,0.3276,33337.88,1899.06,2057.24,varejo,0
CLI-0221,44,4047.92,139,0.3487,47852.19,3330.88,2890.69,varejo,0
CLI-0222,45,5584.57,155,0.1481,64822.95,1919.61,3244.76,varejo,0
CLI-0223,24,3210.37,208,0.3823,38056.2,709.12,2149.41,varejo,1
CLI-0224,53,1506.0,113,0.3741,18330.26,2582.01,714.33,varejo,0
CLI-0225,21,3719.62,19,0.3437,42300.25,2179.72,1286.04,uniclass,0
CLI-0226,21,3439.57,135,0.3106,42004.43,2036.11,911.53,varejo,0
CLI-0227,39,5207.22,112,0.3727,63758.41,3667.86,2584.59,varejo,1
CLI-0228,42,3360.65,29,0.2573,40220.79,2273.94,2582.09,varejo,0
CLI-0229,58,4711.05,130,0.3054,55112.93,1009.39,3171.59,varejo,1
CLI-0230,70,3884.81,74,0.2033,46493.89,2190.68,2191.66,varejo,0
CLI-0231,42,1400.97,97,0.7442,18766.12,2506.43,196.5,varejo,0
CLI-0232,65,3543.7,129,0.4389,40763.33,2626.44,2146.61,varejo,0
CLI-0233,39,3208.74,117,0.2634,39959.69,2410.43,1613.09,uniclass,0
CLI-0234,22,2149.77,202,0.3881,25405.5,776.33,1611.09,varejo,0
CLI-0235,41,4826.35,187,0.2289,57686.41,1430.86,1908.07,varejo,0
CLI-0236,20,3756.67,21,0.619,45286.7,2860.78,1545.21,varejo,0
CLI-0237,70,5471.13,15,0.7244,65101.1,2179.62,962.78,varejo,1
CLI-0238,35,3307.64,129,0.2079,39167.99,1036.3,655.35,varejo,0
CLI-0239,69,2500.66,57,0.4003,29984.45,1788.97,1062.39,varejo,0
CLI-0240,62,3420.87,36,0.326,40494.45,3739.77,1839.93,varejo,0
CLI-0241,39,3899.33,226,0.4634,46407.7,1474.6,619.89,uniclass,0
CLI-0242,24,5306.15,81,0.5477,63444.85,4018.2,3818.08,varejo,0
CLI-0243,26,4290.44,145,0.4456,51981.77,4093.14,2899.8,varejo,0
CLI-0244,47,3513.54,41,0.478,40162.82,2014.79,2408.93,varejo,0
CLI-0245,44,4565.07,91,0.358,55026.03,3387.02,3288.04,varejo,0
CLI-0246,41,5170.82,40,0.3185,60218.22,3781.45,2784.94,personnalite,1
CLI-0247,29,9005.98,126,0.1171,108998.06,6623.05,1281.83,varejo,0
CLI-0248,29,1879.79,116,0.4779,22225.2,130.53,1032.12,varejo,0
CLI-0249,57,2842.8,120,0.1518,32317.46,1415.32,1028.32,varejo,0
CLI-0250,66,8710.32,15,0.3284,106625.17,6697.46,5571.35,varejo,0
CLI-0251,61,3372.55,195,0.3537,39503.16,2099.25,2667.38,varejo,0
CLI-0252,21,2794.39,156,0.3681,33769.42,1984.98,825.94,varejo,0
CLI-0253,49,1916.27,55,0.1038,22334.56,521.23,939.99,varejo,0
CLI-0254,72,4457.01,74,0.0329,54307.37,2897.22,788.27,varejo,0
CLI-0255,20,3552.66,48,0.2686,43474.6,2000.73,2037.22,varejo,0
CLI-0256,42,1981.02,195,0.31,26028.21,3100.95,442.72,varejo,1
CLI-0257,72,2801.47,213,0.5645,31643.21,2959.83,2150.33,varejo,0
CLI-0258,37,11006.49,193,0.3021,132351.86,8258.31,1379.48,varejo,0
CLI-0259,21,2797.38,191,0.1747,33936.43,1463.27,1114.96,varejo,0
CLI-0260,52,6583.88,211,0.243,79578.22,3538.78,2104.75,varejo,0
