cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,gasto_mensal,renda_anual
CLI-0051,37,3829.99,133,0.1312,1425.39,46179.69
CLI-0052,50,7253.53,63,0.7397,3227.35,88839.15
CLI-0053,68,3037.12,84,0.1286,1453.08,36555.02
CLI-0054,27,2488.54,76,0.2539,1347.0,28694.9
CLI-0055,34,3206.55,56,0.2671,1640.03,39163.64
CLI-0056,71,3191.98,186,0.1214,1367.01,38245.9
CLI-0057,39,3435.24,230,0.1286,1474.95,40913.77
CLI-0058,33,1965.78,221,0.5706,1417.38,23452.02
CLI-0059,39,5474.98,22,0.6278,1802.56,64551.55
CLI-0060,65,3243.0,84,0.4813,1738.37,40196.93
CLI-0061,38,2038.82,42,0.684,1718.3,26089.31
CLI-0062,32,5978.47,187,0.7797,2703.02,73390.71
CLI-0063,72,2884.17,172,0.3335,1118.02,35309.49
CLI-0064,33,2623.27,185,0.5468,1461.63,29784.53
CLI-0065,50,5876.83,11,0.4357,2422.91,70280.84
CLI-0066,37,5240.14,204,0.3722,1651.49,63131.53
CLI-0067,54,2854.28,72,0.6482,1555.38,32654.88
CLI-0068,40,15520.5,163,0.215,3876.22,186748.0
CLI-0069,62,5505.05,157,0.6708,2240.69,65173.18
CLI-0070,27,4444.46,164,0.0783,1421.62,53519.17
CLI-0071,29,3709.62,35,0.4123,1990.99,44334.47
CLI-0072,58,10104.99,197,0.6081,3109.49,121079.75
CLI-0073,41,3034.77,124,0.4379,1613.32,36665.95
CLI-0074,23,4762.33,2,0.7038,1668.05,56852.58
CLI-0075,25,3938.2,28,0.1397,741.36,48793.32
CLI-0076,48,2787.93,80,0.221,1582.12,32336.4
CLI-0077,54,3821.0,82,0.2608,1565.8,45094.39
CLI-0078,33,3449.82,61,0.4124,1419.37,40018.43
CLI-0079,35,6931.91,93,0.409,2482.77,81679.98
CLI-0080,56,5358.77,189,0.3076,2228.18,64084.21
CLI-0081,41,3499.44,123,0.7916,1579.45,42792.22
CLI-0082,66,9078.22,44,0.5527,2695.8,109216.96
CLI-0083,39,4825.78,128,0.5734,1493.85,57596.38
CLI-0084,24,5945.55,211,0.2192,2647.42,72253.53
CLI-0085,34,4649.13,130,0.2863,2412.11,57025.73
CLI-0086,22,5127.62,26,0.0842,982.45,61992.46
CLI-0087,29,2352.32,193,0.0327,1338.89,28085.93
CLI-0088,61,2436.56,156,0.6927,1107.6,29509.18
CLI-0089,46,2592.26,67,0.3797,1067.88,32350.38
CLI-0090,30,4730.72,79,0.1203,1378.02,56022.9
CLI-0091,28,3380.6,206,0.6545,1774.04,39816.63
CLI-0092,48,3628.52,166,0.2673,967.8,43301.31
CLI-0093,66,2778.8,59,0.4128,1674.43,32438.78
CLI-0094,37,3466.9,145,0.2606,1625.7,41840.75
CLI-0095,34,2155.55,105,0.5355,1040.16,26228.16
CLI-0096,64,1234.39,77,0.4086,1368.62,14950.27
CLI-0097,31,6265.35,90,0.4203,2473.08,74642.85
CLI-0098,59,5800.67,213,0.0369,1425.53,69225.38
CLI-0099,64,2455.68,204,0.7149,1182.24,30557.25
CLI-0100,59,5024.77,85,0.1896,1919.77,59142.43
CLI-0101,22,2621.61,148,0.2449,1703.41,30850.87
CLI-0102,28,2939.56,166,0.6664,2040.24,35629.3
CLI-0103,23,1433.11,143,0.1747,605.62,17313.6
CLI-0104,55,6136.77,120,0.4133,1608.88,73391.22
CLI-0105,23,4283.18,216,0.4246,2295.86,51591.74
CLI-0106,26,2342.29,5,0.6056,2001.12,28819.64
CLI-0107,38,2053.86,228,0.3953,961.95,24691.55
CLI-0108,51,5975.53,53,0.4924,1703.28,71878.13
CLI-0109,38,3477.53,182,0.3954,1648.06,41693.84
CLI-0110,49,2445.47,151,0.297,1258.62,28500.16
CLI-0111,55,1597.78,65,0.4133,1026.66,19930.12
CLI-0112,72,4085.99,16,0.6964,1585.87,48709.09
CLI-0113,37,4754.41,146,0.4365,1751.2,58013.54
CLI-0114,58,3686.59,87,0.5075,1418.53,45097.64
CLI-0115,29,11138.77,54,0.335,3250.84,133425.91
CLI-0116,21,4739.02,192,0.5022,1342.74,55335.1
CLI-0117,36,2569.8,183,0.4529,1821.33,31675.07
CLI-0118,49,4288.42,214,0.2756,1368.99,51834.95
CLI-0119,70,5025.42,188,0.3615,1961.02,60599.03
CLI-0120,33,3218.0,144,0.3785,1622.38,38021.51
CLI-0121,70,4164.8,191,0.3179,1318.62,49293.57
CLI-0122,31,3370.63,147,0.4148,1852.82,39902.73
CLI-0123,21,3450.87,123,0.2258,1273.27,40384.46
CLI-0124,37,1627.41,83,0.4703,2034.46,18898.98
CLI-0125,59,8594.04,100,0.8012,2085.18,103076.65
CLI-0126,48,3382.65,238,0.5411,1668.34,40495.18
CLI-0127,52,1938.77,96,0.2964,609.95,23697.83
CLI-0128,19,5032.43,134,0.4987,1838.86,60704.16
CLI-0129,48,3006.87,18,0.1167,1292.78,36607.9
CLI-0130,51,2890.07,203,0.5188,1738.59,34078.8
CLI-0131,60,5413.62,150,0.326,1877.21,64500.45
CLI-0132,32,3765.21,212,0.4637,966.33,44434.19
CLI-0133,38,4275.41,219,0.7797,1520.68,50315.96
CLI-0134,51,6853.64,9,0.3457,3097.17,83395.16
CLI-0135,37,2285.04,69,0.198,1290.49,27718.46
CLI-0136,72,7344.42,115,0.3704,1609.21,88144.74
CLI-0137,68,3824.23,2,0.0879,1349.25,46466.35
CLI-0138,23,4178.71,5,0.4825,1669.86,49447.25
CLI-0139,71,2694.03,128,0.8176,1816.0,32669.04
CLI-0140,38,4637.54,69,0.2075,1499.8,54663.46
CLI-0141,71,3792.89,206,0.2279,1275.29,44938.83
CLI-0142,39,3553.7,190,0.0813,1465.85,43349.84
CLI-0143,29,2664.53,34,0.3691,1372.8,32599.39
CLI-0144,64,2750.89,102,0.2078,1375.25,33853.26
CLI-0145,69,2022.84,47,0.266,959.54,24763.69
CLI-0146,52,2563.14,68,0.5828,693.67,30335.45
CLI-0147,69,6777.18,226,0.2573,2499.07,81786.55
CLI-0148,51,1733.56,162,0.7091,884.73,19812.44
CLI-0149,43,6596.37,54,0.3782,2088.97,78735.41
CLI-0150,30,2362.19,235,0.1419,1383.77,28667.4
CLI-0151,25,2819.93,24,0.2489,1362.23,34187.3
CLI-0152,40,4861.02,46,0.6851,2587.13,57974.68
CLI-0153,38,5157.26,88,0.3384,1846.08,62953.17
CLI-0154,68,1219.95,234,0.4316,786.83,14635.07
CLI-0155,67,4787.97,87,0.6863,1711.6,58545.79
CLI-0156,71,3687.7,236,0.1543,1497.48,43898.49
CLI-0157,47,2150.45,64,0.0716,812.26,26001.72
CLI-0158,70,1529.72,20,0.3727,255.07,17349.16
CLI-0159,71,2168.45,95,0.4369,1298.55,25123.33
CLI-0160,43,13305.15,23,0.1013,3539.58,160144.15
CLI-0161,20,4917.16,6,0.6592,2580.22,60785.98
CLI-0162,72,3888.96,82,0.5663,1795.25,48294.11
CLI-0163,49,5358.87,84,0.6728,2279.15,65052.75
CLI-0164,34,2456.77,240,0.4477,459.11,28595.65
CLI-0165,62,4872.87,116,0.3075,2089.88,58638.71
CLI-0166,55,1578.83,170,0.2867,795.33,18082.88
CLI-0167,55,4175.71,179,0.7921,1490.66,50464.01
CLI-0168,35,2971.81,58,0.5691,1684.25,36065.35
CLI-0169,53,5555.86,196,0.2269,1686.28,66102.58
CLI-0170,28,4236.22,69,0.3707,1798.12,49181.41
CLI-0171,21,7696.54,190,0.1931,2283.45,92047.14
CLI-0172,36,4469.86,207,0.5451,1848.34,53143.15
CLI-0173,61,3746.33,184,0.0671,1294.92,44618.02
CLI-0174,61,3395.68,156,0.6408,1108.84,39979.22
CLI-0175,61,2656.87,11,0.6155,1434.29,33125.62
CLI-0176,59,4711.43,8,0.2883,1839.44,57563.12
CLI-0177,25,2046.02,68,0.3978,1323.72,25158.67
CLI-0178,36,4167.46,221,0.2284,2350.8,49856.23
CLI-0179,21,3008.51,19,0.3372,1485.31,36018.03
CLI-0180,51,4242.09,73,0.3008,1203.96,52237.44
CLI-0181,32,3543.6,178,0.4861,1378.14,42367.58
CLI-0182,30,2853.38,203,0.2823,1821.07,33686.07
CLI-0183,30,3730.3,116,0.8241,2302.37,45823.72
CLI-0184,50,3792.38,88,0.2511,1259.92,45973.67
CLI-0185,52,3284.4,62,0.8589,2130.55,40547.65
CLI-0186,34,2726.61,13,0.4491,1345.64,32071.74
CLI-0187,21,3508.7,124,0.5791,1657.45,42834.51
CLI-0188,45,4274.52,1,0.313,1476.27,51562.54
CLI-0189,48,11458.57,76,0.5876,2698.57,136796.72
CLI-0190,69,2086.56,19,0.153,1219.2,25605.9
CLI-0191,23,5271.83,99,0.1339,1286.54,62710.33
CLI-0192,27,6524.19,234,0.6733,2575.95,78279.55
CLI-0193,42,2036.32,128,0.1769,1115.72,24244.09
CLI-0194,66,3599.48,124,0.5957,2348.14,42437.09
CLI-0195,60,2213.41,164,0.4671,1203.6,26029.03
CLI-0196,53,5513.17,189,0.2248,1707.56,65911.54
CLI-0197,63,3627.82,44,0.2105,843.01,45877.38
CLI-0198,23,5615.52,137,0.102,3058.52,67789.86
CLI-0199,45,6274.3,51,0.6188,1860.95,75703.3
CLI-0200,25,2730.15,51,0.5251,1393.47,32841.46
CLI-0201,67,2225.23,127,0.4594,1296.0,26729.29
CLI-0202,20,2235.22,203,0.5842,1627.43,27251.52
CLI-0203,55,4484.52,192,0.1383,1593.28,54825.56
CLI-0204,23,5431.24,47,0.4544,1999.48,66020.91
CLI-0205,30,4365.84,68,0.5217,1370.31,53962.39
CLI-0206,25,4234.82,18,0.4931,1571.98,51770.96
CLI-0207,41,3388.93,76,0.2566,560.63,41008.06
CLI-0208,63,3375.81,207,0.69,883.19,40222.26
CLI-0209,40,2728.03,58,0.3236,659.69,33715.91
CLI-0210,22,4905.03,170,0.0956,1390.62,58582.22
CLI-0211,63,802.7,15,0.8062,1361.21,9845.8
CLI-0212,52,2356.31,45,0.1184,803.06,27573.93
CLI-0213,54,4544.56,37,0.2927,1555.46,55441.92
CLI-0214,69,3397.53,4,0.4247,885.6,40848.9
CLI-0215,31,13539.39,135,0.3057,3560.26,163273.64
CLI-0216,49,2848.85,178,0.8724,1523.78,35167.98
CLI-0217,51,1663.75,122,0.1816,311.75,20493.5
CLI-0218,50,3162.01,200,0.1722,1080.34,38169.89
CLI-0219,30,7442.52,174,0.4254,2374.83,87896.92
CLI-0220,66,1431.01,136,0.4353,695.02,16684.71
CLI-0221,44,2952.18,73,0.1253,1952.55,34685.94
CLI-0222,56,5099.14,132,0.24,860.54,60232.05
CLI-0223,34,2077.35,83,0.3885,697.74,25800.15
CLI-0224,54,3934.97,189,0.4146,1661.98,47352.34
CLI-0225,70,5588.65,239,0.4217,2007.5,68425.75
CLI-0226,20,3273.22,3,0.2886,1195.8,38268.48
CLI-0227,57,3495.8,223,0.1697,1094.72,43739.27
CLI-0228,23,2779.01,240,0.6652,1091.98,33617.08
CLI-0229,19,2573.9,70,0.6739,1597.37,32688.31
CLI-0230,68,7665.92,194,0.5213,1945.88,93481.32
CLI-0231,41,2339.14,49,0.2514,912.15,28760.68
CLI-0232,65,2541.43,103,0.3017,929.85,29949.04
CLI-0233,48,4030.39,15,0.5683,2331.91,48698.94
CLI-0234,35,4740.62,148,0.5888,1881.05,57171.74
CLI-0235,68,4512.12,147,0.6954,1751.52,54801.31
CLI-0236,34,2963.03,102,0.3357,1199.36,36648.85
CLI-0237,69,6792.78,32,0.1833,1957.57,81976.67
CLI-0238,50,3252.55,214,0.3311,1097.68,38830.52
CLI-0239,30,9605.44,225,0.1813,2725.74,114693.31
CLI-0240,60,3489.0,31,0.4295,1665.07,43376.25
CLI-0241,38,3140.91,101,0.206,1719.58,38020.79
CLI-0242,49,4918.16,191,0.3737,1161.55,58293.27
CLI-0243,37,4233.64,61,0.2872,1605.14,51126.81
CLI-0244,29,5157.34,205,0.7196,2008.07,61203.6
CLI-0245,22,2371.51,33,0.2755,495.68,26888.63
CLI-0246,32,1336.76,39,0.5724,1109.32,14777.02
CLI-0247,47,5089.65,46,0.2007,1795.13,60884.57
CLI-0248,41,5077.3,188,0.4253,1720.3,60174.02
CLI-0249,25,4912.76,227,0.5686,2236.51,58797.0
CLI-0250,21,4058.51,74,0.5768,2227.91,46841.01
CLI-0251,53,3370.57,90,0.133,836.15,39998.58
CLI-0252,71,3979.4,70,0.063,1262.29,47984.35
CLI-0253,33,4242.05,23,0.1309,1197.6,51244.06
CLI-0254,35,2727.17,112,0.0748,1221.42,33024.45
CLI-0255,59,3191.82,143,0.4928,1570.66,38963.39
CLI-0256,66,1607.79,128,0.4019,663.77,19172.08
CLI-0257,23,4640.92,206,0.5195,2704.64,55923.28
CLI-0258,53,4418.36,13,0.4896,1825.37,51500.68
CLI-0259,61,6566.99,72,0.1854,1909.28,78052.76
CLI-0260,23,10274.69,168,0.5161,3005.86,122240.46
