cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,inadimplente,canal,gasto_mensal,data_referencia
CLI-0096,36,7698.32,82,0.5843,0,app,2098.39,2025-05-01
CLI-0097,55,8421.38,27,0.2291,0,app,2143.54,2025-11-01
CLI-0098,65,3872.73,171,0.2426,0,app,1452.68,2025-03-01
CLI-0099,21,6013.63,226,0.1327,0,app,2009.64,2025-09-01
CLI-0100,40,3461.69,33,0.2772,0,app,663.35,2026-04-01
CLI-0101,48,5129.22,72,0.098,0,app,1511.48,2025-03-01
CLI-0102,41,3783.78,108,0.377,0,app,1608.77,2025-10-01
CLI-0103,43,5831.83,234,0.5779,0,telefone,2644.43,2025-08-01
CLI-0104,61,12530.69,220,0.3116,0,app,3011.26,2025-02-01
CLI-0105,66,17363.01,52,0.4547,0,app,3915.66,2025-05-01
CLI-0106,58,6249.06,33,0.3072,0,app,1697.94,2025-09-01
CLI-0107,42,4711.31,124,0.1903,0,app,1604.11,2026-05-01
CLI-0108,69,5088.7,86,0.5393,0,agencia,1891.49,2025-08-01
CLI-0109,43,5328.71,29,0.264,0,app,1687.53,2025-06-01
CLI-0110,22,2368.26,25,0.5139,0,app,710.72,2026-06-01
CLI-0111,36,3436.43,236,0.41,0,app,1777.61,2025-12-01
CLI-0112,19,6016.84,112,0.5744,0,app,2442.07,2026-06-01
CLI-0113,34,4405.47,191,0.5027,0,app,1461.87,2025-07-01
CLI-0114,56,4164.62,121,0.2341,0,app,1205.23,2026-04-01
CLI-0115,72,7585.19,125,0.5552,0,app,2043.83,2025-10-01
CLI-0116,29,1528.27,48,0.7182,1,app,897.23,2025-06-01
CLI-0117,32,5084.7,118,0.6649,0,app,1648.53,2025-03-01
CLI-0118,45,2003.26,193,0.0771,0,app,1649.7,2025-04-01
CLI-0119,65,6287.75,118,0.4901,0,app,1788.43,2026-02-01
CLI-0120,19,4470.52,214,0.4863,0,app,1119.32,2025-01-01
CLI-0121,29,4883.77,120,0.3242,0,app,1091.43,2025-10-01
CLI-0122,46,2991.29,80,0.5759,1,app,1019.51,2025-03-01
CLI-0123,26,2503.27,158,0.4981,0,app,822.42,2025-05-01
CLI-0124,66,5658.41,86,0.1221,0,agencia,1321.5,2025-08-01
CLI-0125,43,6452.08,232,0.5986,0,app,2113.98,2025-09-01
CLI-0126,67,2570.93,19,0.1377,0,telefone,1193.06,2025-12-01
CLI-0127,68,3731.59,23,0.5699,0,app,1396.01,2026-06-01
CLI-0128,60,3535.46,194,0.3561,0,telefone,1086.91,2025-03-01
CLI-0129,66,6087.32,182,0.0846,0,app,1651.61,2026-04-01
CLI-0130,53,4744.09,88,0.1773,0,agencia,901.37,2026-01-01
CLI-0131,67,2493.9,236,0.3362,0,app,1384.77,2025-05-01
CLI-0132,72,3433.05,105,0.664,0,app,1587.63,2026-04-01
CLI-0133,51,7762.3,34,0.9047,0,agencia,2576.44,2025-03-01
CLI-0134,68,4220.4,161,0.2454,0,agencia,1122.5,2025-02-01
CLI-0135,50,3149.14,197,0.3654,0,app,740.88,2025-05-01
CLI-0136,61,2612.81,145,0.4002,0,app,1354.21,2025-08-01
CLI-0137,22,4468.74,233,0.4375,0,app,1467.58,2025-12-01
CLI-0138,59,6038.93,220,0.3791,0,agencia,1789.29,2025-08-01
CLI-0139,70,3247.98,3,0.5695,0,app,834.91,2025-03-01
CLI-0140,68,3710.07,28,0.6304,0,app,1443.54,2025-09-01
CLI-0141,26,2468.96,188,0.2329,0,app,687.53,2025-08-01
CLI-0142,66,2595.44,2,0.4531,0,app,915.66,2025-10-01
CLI-0143,44,2681.19,33,0.4563,0,agencia,1870.01,2026-03-01
CLI-0144,52,4079.32,103,0.224,0,telefone,1359.83,2026-01-01
CLI-0145,23,6484.61,68,0.552,0,agencia,1470.63,2025-05-01
CLI-0146,63,5345.9,234,0.3879,0,telefone,899.9,2025-11-01
CLI-0147,52,4704.41,14,0.3954,0,app,1014.11,2025-08-01
CLI-0148,47,3230.04,160,0.0794,0,app,1222.54,2025-08-01
CLI-0149,49,6956.9,120,0.7826,0,app,2273.92,2025-07-01
CLI-0150,48,2343.96,56,0.4786,0,app,902.86,2026-05-01
CLI-0151,58,2739.89,96,0.3281,0,app,978.69,2025-01-01
CLI-0152,46,3010.98,128,0.2336,0,agencia,449.08,2025-02-01
CLI-0153,22,4668.94,128,0.2614,0,app,978.15,2026-04-01
CLI-0154,51,6092.97,56,0.2676,0,app,1411.98,2025-06-01
CLI-0155,28,1673.67,103,0.3403,0,telefone,1050.74,2025-12-01
CLI-0156,51,4695.1,81,0.6514,0,app,1938.82,2025-07-01
CLI-0157,36,5815.81,118,0.57,0,app,1904.98,2026-03-01
CLI-0158,44,3441.82,199,0.3736,0,app,480.28,2025-05-01
CLI-0159,71,9277.05,87,0.3729,0,app,2321.83,2025-10-01
CLI-0160,51,2097.89,28,0.4087,0,app,1069.95,2025-02-01
CLI-0161,27,2205.58,122,0.2178,0,app,249.81,2025-07-01
CLI-0162,30,5050.21,234,0.2647,0,agencia,1953.93,2025-05-01
CLI-0163,59,1305.63,225,0.126,0,agencia,605.58,2025-09-01
CLI-0164,36,3367.24,59,0.6399,0,app,1774.86,2025-11-01
CLI-0165,63,1891.84,110,0.7113,0,telefone,1055.77,2025-10-01
CLI-0166,63,1621.16,174,0.7621,0,agencia,1365.79,2025-11-01
CLI-0167,20,9531.86,80,0.2866,0,agencia,1875.17,2025-10-01
CLI-0168,21,2854.37,55,0.9317,0,telefone,1486.25,2026-06-01
CLI-0169,45,6780.13,195,0.5814,0,app,2248.34,2025-01-01
CLI-0170,61,4135.95,177,0.3401,0,app,1883.48,2025-08-01
CLI-0171,56,3132.36,166,0.2547,0,agencia,1688.14,2025-04-01
CLI-0172,56,1881.76,197,0.039,0,app,340.4,2025-04-01
CLI-0173,35,1108.71,72,0.2207,0,agencia,283.28,2025-07-01
CLI-0174,31,1606.97,146,0.7932,0,telefone,1963.83,2025-05-01
CLI-0175,31,11069.63,164,0.3573,0,app,2027.68,2025-06-01
CLI-0176,29,5123.51,22,0.1812,0,telefone,1951.45,2026-03-01
CLI-0177,23,1704.33,240,0.3263,0,app,984.89,2025-08-01
CLI-0178,40,3166.0,228,0.3634,0,app,1738.23,2026-04-01
CLI-0179,55,2230.95,178,0.6487,0,agencia,1191.7,2025-02-01
CLI-0180,31,7427.06,140,0.1322,0,telefone,1559.74,2025-12-01
CLI-0181,22,6799.03,183,0.3985,1,telefone,1306.36,2025-06-01
CLI-0182,60,3510.99,88,0.3746,0,app,530.77,2025-10-01
CLI-0183,69,6435.54,79,0.2122,0,agencia,1197.73,2025-05-01
CLI-0184,61,5892.04,85,0.2221,0,app,1806.9,2025-09-01
CLI-0185,56,1374.04,191,0.1924,1,app,-112.57,2026-05-01
CLI-0186,72,2492.7,216,0.6123,0,app,1213.1,2025-11-01
CLI-0187,26,4702.42,105,0.2775,0,app,1532.76,2026-01-01
CLI-0188,60,6066.43,207,0.3964,0,app,1930.55,2025-06-01
CLI-0189,61,1174.29,193,0.1628,0,app,-545.04,2025-08-01
CLI-0190,67,5462.53,194,0.2213,0,agencia,1521.77,2025-04-01
CLI-0191,41,5090.44,149,0.089,0,agencia,930.66,2026-05-01
CLI-0192,67,2917.64,65,0.6779,0,app,1274.74,2025-02-01
CLI-0193,36,5608.13,115,0.5633,0,agencia,1947.39,2025-07-01
CLI-0194,44,8516.21,30,0.2898,0,agencia,2725.43,2026-04-01
CLI-0195,48,3881.5,132,0.6371,0,agencia,1528.25,2025-01-01
CLI-0196,44,2881.1,68,0.171,0,agencia,788.43,2026-03-01
CLI-0197,52,2553.76,109,0.3484,0,app,385.98,2025-10-01
CLI-0198,53,3586.57,234,0.446,0,app,1524.04,2025-03-01
CLI-0199,25,2681.22,42,0.8246,0,app,1355.95,2025-07-01
CLI-0200,20,1842.08,73,0.0867,0,agencia,557.79,2025-04-01
CLI-0201,22,3881.66,150,0.0199,0,app,752.8,2025-02-01
CLI-0202,71,5018.36,153,0.1912,0,app,1537.49,2025-06-01
CLI-0203,34,5128.58,153,0.4167,0,app,1256.01,2026-05-01
CLI-0204,32,2509.36,209,0.2738,0,agencia,932.09,2025-11-01
CLI-0205,58,6507.5,8,0.4649,0,app,2096.27,2025-02-01
CLI-0206,38,3693.77,3,0.2931,0,app,1204.53,2025-11-01
CLI-0207,57,5341.24,144,0.4719,0,telefone,1738.69,2026-03-01
CLI-0208,72,6019.34,238,0.1336,0,app,1510.26,2025-07-01
CLI-0209,20,3489.87,215,0.8851,0,app,1688.76,2026-03-01
CLI-0210,44,4605.0,175,0.4131,0,app,1578.34,2026-06-01
CLI-0211,33,2483.23,163,0.1061,0,app,1109.27,2025-04-01
CLI-0212,42,2461.37,101,0.2652,0,agencia,793.7,2025-04-01
CLI-0213,57,6042.25,146,0.4371,0,app,1324.34,2025-07-01
CLI-0214,48,6785.12,59,0.4469,0,telefone,1303.61,2025-10-01
CLI-0215,64,5749.73,135,0.3552,0,app,1610.14,2026-06-01
CLI-0216,69,2246.82,35,0.5208,0,app,1440.76,2026-03-01
CLI-0217,19,2865.4,131,0.3143,0,app,1391.29,2025-04-01
CLI-0218,52,8190.17,46,0.4626,0,app,1020.32,2025-04-01
CLI-0219,57,2892.2,205,0.2832,0,telefone,1263.13,2025-05-01
CLI-0220,41,6644.38,40,0.4398,0,app,1791.56,2025-11-01
CLI-0221,20,6743.12,146,0.1675,0,agencia,1822.37,2025-04-01
CLI-0222,24,4583.43,82,0.3231,0,app,1971.79,2025-04-01
CLI-0223,54,7302.88,214,0.278,0,agencia,2163.93,2025-11-01
CLI-0224,59,1498.77,165,0.5136,0,agencia,845.81,2025-07-01
CLI-0225,24,3377.67,236,0.211,0,app,140.7,2025-12-01
CLI-0226,66,7443.52,44,0.2972,0,agencia,1543.02,2025-02-01
CLI-0227,63,4517.08,180,0.3112,0,app,1347.95,2025-07-01
CLI-0228,50,5810.8,47,0.5487,0,telefone,1726.75,2025-12-01
CLI-0229,41,4960.25,97,0.6666,0,app,1208.31,2026-05-01
CLI-0230,60,1203.07,96,0.5443,0,app,1137.29,2025-12-01
CLI-0231,54,7063.78,145,0.5169,0,app,2181.7,2026-01-01
CLI-0232,44,7717.96,202,0.4228,0,app,1522.05,2026-01-01
CLI-0233,68,2037.41,166,0.7085,0,agencia,1796.75,2025-10-01
CLI-0234,45,3726.34,20,0.1547,0,app,1214.96,2026-05-01
CLI-0235,47,1869.25,237,0.4919,0,app,839.59,2026-02-01
CLI-0236,54,6701.41,50,0.8004,1,agencia,1591.42,2025-06-01
CLI-0237,51,4727.64,230,0.317,0,agencia,1795.0,2026-03-01
CLI-0238,44,2246.2,30,0.6358,0,telefone,1238.62,2025-04-01
CLI-0239,19,5466.44,224,0.6238,0,app,2219.6,2025-02-01
CLI-0240,49,3090.34,70,0.1772,0,app,497.96,2025-05-01
CLI-0241,66,1380.45,106,0.332,0,app,761.53,2025-08-01
CLI-0242,59,2435.04,235,0.0416,0,app,1047.72,2025-05-01
CLI-0243,50,4047.05,190,0.1686,0,app,1198.6,2026-04-01
CLI-0244,58,3049.85,44,0.5405,0,telefone,1443.68,2026-02-01
CLI-0245,69,3023.05,192,0.6322,0,app,1184.84,2025-10-01
CLI-0246,62,4064.02,31,0.2915,0,agencia,685.91,2025-08-01
CLI-0247,45,8165.94,204,0.3367,0,app,2086.76,2025-07-01
CLI-0248,69,5246.66,171,0.3101,0,app,1523.71,2026-03-01
CLI-0249,43,4163.24,59,0.1709,0,app,948.84,2025-05-01
CLI-0250,20,4277.75,150,0.5319,0,app,1696.31,2025-12-01
CLI-0251,20,2159.46,23,0.3697,0,app,884.19,2025-02-01
CLI-0252,24,4522.48,170,0.1526,0,app,926.98,2025-06-01
CLI-0253,57,3232.08,210,0.2606,0,app,1114.39,2025-07-01
CLI-0254,72,2634.39,25,0.3912,0,agencia,635.87,2025-05-01
CLI-0255,23,3237.56,231,0.4043,0,telefone,1334.19,2025-03-01
CLI-0256,72,4527.63,147,0.2215,0,agencia,1571.43,2025-08-01
CLI-0257,68,5511.09,9,0.2263,0,app,1185.0,2025-10-01
CLI-0258,25,4223.41,49,0.494,0,app,1053.42,2025-10-01
CLI-0259,22,4284.99,163,0.2171,0,app,1548.92,2025-12-01
CLI-0260,27,1601.49,165,0.5274,1,app,1389.19,2025-01-01
CLI-0261,34,2993.5,17,0.6248,0,app,996.61,2025-09-01
CLI-0262,36,1942.85,51,0.5877,0,app,1062.54,2025-09-01
CLI-0263,45,6747.19,135,0.2552,0,app,2273.35,2025-12-01
CLI-0264,63,1695.05,177,0.3117,0,app,1632.72,2026-05-01
CLI-0265,35,3786.46,231,0.6863,1,app,1387.52,2026-04-01
CLI-0266,66,5095.45,235,0.5754,0,app,888.01,2025-03-01
CLI-0267,36,3048.63,11,0.4875,0,app,1844.14,2025-02-01
CLI-0268,66,4508.09,9,0.1275,0,app,1794.32,2025-06-01
CLI-0269,35,4132.6,62,0.4083,1,app,1634.49,2026-02-01
CLI-0270,41,2813.0,238,0.7397,0,agencia,454.9,2025-04-01
CLI-0271,30,4984.44,94,0.3502,1,app,1301.59,2025-01-01
CLI-0272,70,3644.31,140,0.545,0,app,1250.76,2026-03-01
CLI-0273,53,1685.83,68,0.578,0,app,1096.74,2025-12-01
CLI-0274,65,4747.31,22,0.8112,0,agencia,2116.15,2025-07-01
CLI-0275,31,3105.45,66,0.3036,0,agencia,573.85,2026-02-01
CLI-0276,26,7220.3,186,0.5659,0,app,2025.35,2026-03-01
CLI-0277,63,7294.57,130,0.4275,0,agencia,2121.68,2026-06-01
CLI-0278,20,2750.19,219,0.4888,1,app,924.97,2026-05-01
CLI-0279,53,9572.95,188,0.2753,0,telefone,1880.06,2025-08-01
CLI-0280,54,2751.95,35,0.1866,0,telefone,1469.49,2026-02-01
CLI-0281,51,5516.98,107,0.2576,0,agencia,2019.49,2026-02-01
CLI-0282,38,1615.72,68,0.3373,1,app,468.96,2025-02-01
CLI-0283,65,6492.33,11,0.1744,0,app,1603.89,2025-01-01
CLI-0284,54,4604.44,163,0.4739,0,agencia,1215.07,2025-05-01
CLI-0285,60,1792.75,24,0.81,0,app,592.55,2025-07-01
CLI-0286,49,3310.95,235,0.1829,0,agencia,445.59,2026-06-01
CLI-0287,60,4440.04,165,0.1947,0,app,840.35,2026-06-01
CLI-0288,40,3632.91,46,0.3663,0,app,987.57,2025-10-01
CLI-0289,45,4213.71,89,0.3558,0,agencia,1683.25,2026-06-01
CLI-0290,46,2544.93,221,0.6609,0,telefone,1697.3,2026-04-01
CLI-0291,54,3300.69,142,0.1804,0,app,1209.91,2025-11-01
CLI-0292,22,5931.05,109,0.4855,0,telefone,2125.06,2025-08-01
CLI-0293,34,3555.16,186,0.3374,0,app,1562.69,2025-05-01
CLI-0294,19,4948.63,148,0.6498,1,app,1109.93,2026-04-01
CLI-0295,67,7783.63,104,0.2076,0,app,2228.33,2026-06-01
CLI-0296,69,2889.94,179,0.3854,0,app,1147.1,2025-09-01
CLI-0297,37,4153.45,226,0.7133,0,telefone,1815.33,2025-11-01
CLI-0298,33,3913.39,139,0.1427,0,agencia,1055.46,2025-10-01
CLI-0299,62,4262.54,41,0.2606,0,agencia,2026.59,2025-05-01
CLI-0300,25,2229.59,41,0.3098,0,app,1007.9,2026-06-01
CLI-0301,62,3826.4,33,0.3924,1,app,1558.81,2026-02-01
CLI-0302,22,4235.59,191,0.7515,0,app,1445.67,2026-01-01
CLI-0303,24,4026.89,71,0.4619,0,app,1225.83,2026-04-01
CLI-0304,43,4053.57,74,0.452,0,app,428.16,2026-03-01
CLI-0305,68,4351.08,51,0.4739,0,telefone,1159.75,2025-04-01
CLI-0306,31,4840.19,32,0.349,0,app,1365.06,2026-06-01
CLI-0307,55,4379.19,55,0.3814,0,app,1125.59,2025-04-01
CLI-0308,21,5002.0,104,0.3855,0,agencia,1297.89,2026-03-01
CLI-0309,62,9097.71,171,0.5243,0,app,2082.44,2026-02-01
CLI-0310,55,5945.87,6,0.301,0,app,1737.34,2025-01-01
CLI-0311,47,3524.28,5,0.4364,0,app,1668.1,2026-06-01
CLI-0312,21,3498.22,132,0.3494,0,app,1107.52,2026-04-01
CLI-0313,50,5858.92,49,0.4187,0,app,1808.7,2026-02-01
CLI-0314,36,3376.51,233,0.1581,0,app,279.85,2025-08-01
CLI-0315,33,5070.33,180,0.3503,0,app,2340.92,2025-03-01
CLI-0316,38,10953.57,149,0.164,0,telefone,2128.12,2025-06-01
CLI-0317,23,1080.43,176,0.3439,1,telefone,1000.36,2025-07-01
CLI-0318,28,2752.11,61,0.2401,0,agencia,1769.6,2025-02-01
CLI-0319,19,4533.96,182,0.855,0,telefone,1755.75,2026-01-01
CLI-0320,68,2163.53,115,0.4414,0,app,1262.39,2025-09-01
CLI-0321,23,1420.42,78,0.3134,0,app,1164.29,2025-10-01
CLI-0322,31,7556.17,63,0.3503,0,app,2196.88,2025-04-01
CLI-0323,33,3609.59,97,0.0747,0,app,920.96,2026-04-01
CLI-0324,63,5670.76,232,0.3376,0,app,1211.03,2026-03-01
CLI-0325,21,9920.12,73,0.634,0,app,2953.61,2025-08-01
CLI-0326,42,5769.91,189,0.7813,0,app,1791.55,2025-05-01
CLI-0327,68,2712.45,226,0.6431,0,telefone,1735.17,2026-01-01
CLI-0328,67,1849.29,148,0.1227,0,telefone,1011.3,2025-11-01
CLI-0329,22,3291.13,80,0.6781,0,app,1055.36,2025-07-01
CLI-0330,51,2101.66,19,0.2864,0,telefone,717.28,2026-02-01
CLI-0331,22,1740.57,123,0.2858,0,app,254.02,2026-04-01
CLI-0332,66,16689.4,168,0.2365,0,telefone,3047.17,2025-01-01
CLI-0333,46,5307.95,211,0.4011,0,agencia,1903.38,2026-01-01
CLI-0334,36,3939.47,64,0.2243,0,app,1861.23,2025-02-01
CLI-0335,35,3693.22,49,0.9495,0,app,1218.73,2026-03-01
CLI-0336,24,6294.58,117,0.3534,0,telefone,1978.79,2025-12-01
CLI-0337,19,1593.41,25,0.6597,0,app,1098.14,2026-04-01
CLI-0338,65,6987.09,221,0.1281,0,app,1200.05,2025-07-01
CLI-0339,66,4506.47,45,0.154,0,telefone,987.79,2025-12-01
CLI-0340,38,4525.74,4,0.3489,0,app,1199.28,2026-06-01
CLI-0341,68,3827.0,1,0.3679,0,agencia,655.34,2026-05-01
CLI-0342,48,7237.04,89,0.4888,0,telefone,1753.38,2026-04-01
CLI-0343,60,5764.14,98,0.4142,0,app,1408.94,2025-05-01
CLI-0344,42,6161.35,153,0.354,0,app,1987.1,2026-02-01
CLI-0345,63,3246.63,216,0.2022,0,app,444.7,2025-09-01
CLI-0346,69,2533.56,98,0.6681,1,app,967.45,2026-03-01
CLI-0347,70,3916.26,154,0.2227,0,app,851.47,2026-01-01
CLI-0348,54,4148.1,155,0.0633,0,app,1094.7,2025-04-01
CLI-0349,32,11141.62,6,0.3306,0,app,2247.17,2026-03-01
CLI-0350,67,2558.14,14,0.5227,0,app,1239.63,2026-02-01
CLI-0351,61,4360.99,17,0.4264,0,agencia,980.33,2025-11-01
CLI-0352,41,2728.78,172,0.2332,0,app,17.22,2025-11-01
CLI-0353,72,3931.38,132,0.2041,0,app,1062.38,2026-06-01
CLI-0354,23,4064.57,56,0.3758,0,app,1371.06,2025-02-01
CLI-0355,38,2996.35,157,0.3865,0,app,964.27,2026-04-01
CLI-0356,55,2952.87,71,0.4118,0,app,889.64,2025-07-01
CLI-0357,69,6147.57,75,0.4039,0,telefone,1705.49,2025-07-01
CLI-0358,39,3869.22,158,0.3986,0,agencia,1370.66,2025-01-01
CLI-0359,40,2029.22,166,0.1342,0,app,682.69,2025-01-01
CLI-0360,42,2585.99,116,0.6094,0,app,1472.88,2025-01-01
CLI-0361,36,6486.75,4,0.6861,0,telefone,1494.4,2025-05-01
CLI-0362,35,3715.44,4,0.6426,0,app,2007.58,2025-06-01
CLI-0363,67,2161.95,113,0.7609,1,telefone,877.65,2025-01-01
CLI-0364,52,4284.09,146,0.4708,0,app,1381.08,2025-02-01
CLI-0365,44,2536.13,108,0.4623,0,app,948.05,2025-07-01
CLI-0366,29,3168.11,66,0.3184,0,agencia,1151.72,2025-01-01
CLI-0367,29,2617.43,31,0.452,0,app,395.41,2026-06-01
CLI-0368,62,5523.38,99,0.3152,0,agencia,1287.51,2026-05-01
CLI-0369,34,3358.08,102,0.4776,0,agencia,1010.23,2025-07-01
CLI-0370,58,5185.17,161,0.2848,0,app,1359.6,2026-06-01
CLI-0371,29,3673.71,224,0.2184,0,app,1649.64,2025-02-01
