cliente_id,idade,renda_mensal,tempo_relacionamento_meses,uso_limite,severidade_perda,renda_anual
CLI-0056,40,5551.3,95,0.4088,28671.28,65501.12
CLI-0057,48,1753.51,115,0.4758,3688.35,20215.97
CLI-0058,38,6209.26,54,0.2911,35487.78,74364.73
CLI-0059,37,2901.21,196,0.7396,9066.08,35013.4
CLI-0060,45,4542.64,236,0.4963,19588.06,54143.8
CLI-0061,52,10741.04,8,0.6458,105462.36,129620.06
CLI-0062,44,2172.01,160,0.2466,5433.04,24583.72
CLI-0063,35,5442.38,12,0.6219,27883.9,67481.37
CLI-0064,34,6584.36,57,0.1331,39576.46,78025.96
CLI-0065,43,2482.63,151,0.2,6349.23,29379.43
CLI-0066,71,3394.87,215,0.2128,10778.72,41161.9
CLI-0067,25,6264.09,58,0.7411,37636.12,74368.38
CLI-0068,57,6660.04,223,0.557,41170.96,77550.69
CLI-0069,47,5565.83,81,0.4542,29028.05,67467.88
CLI-0070,55,1959.2,98,0.218,4009.97,24843.79
CLI-0071,57,4878.98,153,0.515,22775.55,55256.32
CLI-0072,28,5857.66,71,0.1833,31258.38,68474.16
CLI-0073,21,9933.42,23,0.5289,89757.0,120148.92
CLI-0074,40,5902.17,113,0.7433,33538.85,71475.48
CLI-0075,57,5398.09,99,0.2367,26686.89,64776.61
CLI-0076,48,3192.42,149,0.3067,9696.12,36684.81
CLI-0077,26,2869.45,158,0.2974,7885.02,34405.32
CLI-0078,31,3301.74,225,0.4028,10608.05,39669.24
CLI-0079,60,3727.35,44,0.1909,14116.82,45292.06
CLI-0080,51,6373.08,55,0.5919,37652.72,75879.57
CLI-0081,36,4155.9,21,0.4449,16242.1,50076.02
CLI-0082,52,5105.09,239,0.5411,24420.14,60602.62
CLI-0083,20,5901.53,13,0.2975,32295.82,71454.32
CLI-0084,20,2274.68,208,0.6165,6313.59,27939.81
CLI-0085,48,8472.17,167,0.666,66173.26,100477.88
CLI-0086,23,2867.97,22,0.1741,7942.57,36135.51
CLI-0087,42,2337.8,228,0.7225,6412.1,29693.06
CLI-0088,68,4131.2,140,0.5279,16205.34,48623.42
CLI-0089,46,4428.23,175,0.3745,18674.12,53200.38
CLI-0090,53,3595.6,15,0.1686,12727.02,42945.21
CLI-0091,36,3363.9,71,0.8451,12940.68,41038.91
CLI-0092,28,4721.84,177,0.329,21169.69,57437.4
CLI-0093,31,2007.18,62,0.3263,4299.13,25477.34
CLI-0094,67,807.6,79,0.7738,2110.28,10611.3
CLI-0095,28,9133.08,24,0.4441,76099.34,110158.83
CLI-0096,57,4635.69,25,0.5526,20221.34,57026.55
CLI-0097,52,8700.54,207,0.2304,68694.55,103472.43
CLI-0098,47,2867.9,100,0.5555,8460.2,35975.5
CLI-0099,19,1835.61,11,0.5783,4132.06,22587.1
CLI-0100,68,2180.47,50,0.5608,5423.3,24356.43
CLI-0101,69,4941.33,118,0.6737,23414.12,60214.24
CLI-0102,39,3447.22,225,0.2347,11256.37,41176.03
CLI-0103,57,3934.52,133,0.3919,14839.86,48258.64
CLI-0104,36,6705.46,28,0.1364,40834.66,80762.51
CLI-0105,72,7665.24,30,0.3948,54039.94,92737.15
CLI-0106,25,1475.41,232,0.4554,3008.67,16279.8
CLI-0107,37,5834.3,9,0.3174,31182.36,69287.11
CLI-0108,57,2403.49,16,0.3466,5917.88,28376.41
CLI-0109,49,5047.42,182,0.2358,23441.09,60841.51
CLI-0110,71,1541.81,145,0.493,3563.34,18020.28
CLI-0111,26,2153.08,119,0.6198,5425.4,25148.33
CLI-0112,40,5315.26,64,0.6313,26654.22,63157.05
CLI-0113,35,3500.76,28,0.5186,11792.76,42559.59
CLI-0114,68,4994.41,39,0.8821,24449.3,60121.52
CLI-0115,57,2261.12,47,0.4292,5494.65,27867.47
CLI-0116,66,5399.43,118,0.5545,27417.29,63941.62
CLI-0117,68,2079.13,147,0.5259,5112.71,23388.8
CLI-0118,49,5648.26,112,0.6512,30348.05,69488.74
CLI-0119,28,1127.45,211,0.5556,2010.44,12433.21
CLI-0120,70,1514.27,101,0.6652,3396.31,18507.15
CLI-0121,29,3481.58,161,0.6452,12540.45,41875.6
CLI-0122,72,2858.59,173,0.3842,8598.55,33173.91
CLI-0123,33,7603.49,89,0.3427,53015.87,90801.56
CLI-0124,52,4547.89,206,0.645,20344.97,54801.52
CLI-0125,48,2142.5,137,0.6173,5418.63,25069.85
CLI-0126,22,5709.11,108,0.6052,30762.4,69456.73
CLI-0127,32,2109.68,204,0.0906,4489.57,25731.81
CLI-0128,29,4016.19,78,0.3288,15199.57,47647.96
CLI-0129,50,3282.8,205,0.1694,10421.28,39893.64
CLI-0130,53,3974.84,106,0.2747,15119.73,46151.89
CLI-0131,71,4005.79,54,0.6767,16161.95,49144.75
CLI-0132,23,3098.37,1,0.1265,9571.31,36483.07
CLI-0133,67,5102.27,94,0.1031,24137.01,61252.46
CLI-0134,52,7054.2,235,0.5957,46018.19,83713.09
CLI-0135,35,4322.15,105,0.6344,18585.31,52295.57
CLI-0136,21,3390.94,137,0.1312,11058.93,40496.44
CLI-0137,51,8272.48,77,0.3773,62108.35,97811.26
CLI-0138,41,3323.52,57,0.5495,11261.75,38818.97
CLI-0139,53,2984.57,63,0.7388,9395.92,33609.39
CLI-0140,20,7502.72,73,0.2746,51497.13,89769.63
CLI-0141,72,1978.77,16,0.1643,4444.74,24659.73
CLI-0142,45,3215.26,197,0.1486,10070.13,36454.39
CLI-0143,27,4393.25,108,0.3075,18641.84,52921.26
CLI-0144,57,2077.61,105,0.4226,4830.34,24424.4
CLI-0145,26,3319.41,138,0.3642,11477.03,40946.77
CLI-0146,30,1947.67,137,0.3796,3928.93,24276.46
CLI-0147,56,4598.4,210,0.2912,19454.93,54283.91
CLI-0148,63,2765.54,87,0.4563,7772.79,31607.58
CLI-0149,33,10254.41,3,0.5194,95861.24,122618.13
CLI-0150,21,1997.93,177,0.7312,5085.37,25147.15
CLI-0151,68,5435.2,190,0.5455,27492.28,63565.12
CLI-0152,21,6384.29,186,0.571,37877.18,74795.56
CLI-0153,56,2149.42,203,0.415,4755.68,26154.17
CLI-0154,66,2803.11,1,0.8512,9144.93,32673.94
CLI-0155,20,5923.84,162,0.2282,31976.46,70667.63
CLI-0156,36,7525.4,48,0.5313,52037.81,91487.77
CLI-0157,47,7248.07,213,0.2132,48229.63,85057.49
CLI-0158,71,15313.05,181,0.671,212804.07,183563.96
CLI-0159,34,3490.64,132,0.6498,12373.74,42996.1
CLI-0160,32,3239.25,63,0.4359,10188.51,40625.4
CLI-0161,64,5801.88,131,0.3088,30691.34,69049.81
CLI-0162,41,4590.34,51,0.3115,19614.82,54324.86
CLI-0163,60,4318.47,174,0.4582,17676.43,52429.94
CLI-0164,20,5325.84,224,0.0761,25855.29,63014.85
CLI-0165,68,9016.56,193,0.356,74035.53,108423.33
CLI-0166,52,3672.35,69,0.7628,13849.36,44210.78
CLI-0167,47,4159.18,175,0.1488,15827.62,50683.06
CLI-0168,40,5872.99,137,0.2304,31650.37,68805.34
CLI-0169,21,5150.74,93,0.6536,25423.37,62086.36
CLI-0170,26,5990.22,177,0.3048,33005.19,71115.13
CLI-0171,44,5834.75,203,0.3125,31061.62,69731.11
CLI-0172,50,4310.99,234,0.2924,17215.72,51826.02
CLI-0173,35,2883.79,109,0.3126,9240.03,35013.25
CLI-0174,53,3199.5,173,0.459,10336.4,37739.43
CLI-0175,40,3837.96,175,0.6052,14304.7,45257.38
CLI-0176,51,2231.86,137,0.4628,5563.96,26554.42
CLI-0177,34,3916.25,6,0.6564,15637.31,48145.92
CLI-0178,59,3596.27,159,0.4369,12458.71,41358.99
CLI-0179,54,3547.69,2,0.7418,13134.28,41671.32
CLI-0180,22,5230.63,24,0.2761,25218.36,63667.2
CLI-0181,68,11548.54,192,0.4431,120649.04,137638.26
CLI-0182,41,3640.45,17,0.5669,13373.71,42028.11
CLI-0183,55,8756.38,172,0.3067,69481.3,105293.12
CLI-0184,23,9618.1,196,0.4573,84022.18,114551.56
CLI-0185,27,4411.31,2,0.5166,18454.3,51532.98
CLI-0186,55,4222.56,180,0.4259,16751.38,50882.87
CLI-0187,23,9410.96,63,0.2314,80656.43,112497.92
CLI-0188,23,2107.75,44,0.1821,4915.99,25190.87
CLI-0189,24,3819.98,222,0.4821,14361.46,45711.15
CLI-0190,63,15415.49,96,0.49,215546.75,185371.93
CLI-0191,44,2551.67,203,0.5041,7319.0,28742.36
CLI-0192,32,5714.63,222,0.2441,30051.48,67834.2
CLI-0193,29,2649.83,49,0.3404,6809.56,32943.32
CLI-0194,64,2234.42,158,0.4994,5684.66,27135.89
CLI-0195,33,5386.79,121,0.2548,27168.58,64788.92
CLI-0196,53,1263.63,58,0.5708,3101.22,15134.8
CLI-0197,48,3533.19,240,0.3991,12415.48,42748.27
CLI-0198,21,6739.85,183,0.5279,42159.58,80475.04
CLI-0199,47,3777.58,199,0.215,13203.49,44247.56
CLI-0200,37,2646.18,175,0.1816,7205.97,32037.51
CLI-0201,46,4609.58,70,0.1808,19931.26,55587.5
CLI-0202,60,4041.4,69,0.1446,15059.07,47395.67
CLI-0203,38,3562.32,29,0.7725,13015.91,43286.18
CLI-0204,60,2211.65,152,0.1854,5146.67,25237.84
CLI-0205,42,11932.36,217,0.4108,129024.89,142785.57
CLI-0206,58,4224.42,5,0.3587,17137.35,50383.84
CLI-0207,65,3396.4,108,0.3376,11491.23,41430.36
CLI-0208,32,8193.82,142,0.311,61239.31,97520.84
CLI-0209,43,5538.24,158,0.498,28967.13,64308.12
CLI-0210,47,1105.79,104,0.4394,2217.49,13399.04
CLI-0211,50,7801.58,64,0.6516,56109.84,93607.03
CLI-0212,55,1692.55,153,0.302,3398.31,20970.28
CLI-0213,70,3064.89,209,0.4517,9806.74,35676.43
CLI-0214,49,3543.9,64,0.3022,11918.87,42886.84
CLI-0215,29,2477.61,70,0.3438,6116.62,28471.63
CLI-0216,22,8367.84,11,0.313,63661.13,99384.61
CLI-0217,52,1978.54,176,0.4816,4538.59,23990.21
CLI-0218,25,2951.62,182,0.2984,8220.82,34829.21
CLI-0219,20,5717.79,76,0.1477,30291.78,69918.77
CLI-0220,35,3860.64,152,0.2879,14334.16,46659.99
CLI-0221,68,1160.06,4,0.2852,1782.82,12724.08
CLI-0222,45,6019.08,55,0.5329,33711.98,72159.77
CLI-0223,63,1210.3,169,0.3725,2268.52,14076.37
CLI-0224,51,4108.09,234,0.2784,15838.17,48234.52
CLI-0225,58,3473.5,224,0.1664,11170.58,41051.44
CLI-0226,32,4635.35,13,0.2264,20014.99,56288.28
CLI-0227,53,3352.98,235,0.427,11030.5,41684.97
CLI-0228,53,1777.83,126,0.2498,3306.39,19565.79
CLI-0229,53,2543.77,190,0.6098,7356.52,29587.92
CLI-0230,51,5999.75,191,0.241,32831.94,71396.31
CLI-0231,37,3061.83,33,0.4418,9642.21,36993.93
CLI-0232,50,2362.55,211,0.2612,5947.38,29659.64
CLI-0233,37,5384.46,163,0.2986,26873.64,64181.05
CLI-0234,37,2794.23,179,0.6175,8088.84,33070.68
CLI-0235,40,5280.79,142,0.2326,25413.54,62868.43
CLI-0236,66,2538.07,181,0.2429,6243.76,32693.81
CLI-0237,28,5104.31,109,0.117,24000.53,59997.45
CLI-0238,36,6629.76,92,0.7772,41582.76,80583.5
CLI-0239,51,6112.0,125,0.4325,34230.77,73681.36
CLI-0240,59,2900.82,132,0.5247,9123.14,34858.18
CLI-0241,41,15359.2,124,0.4408,213392.03,182983.74
CLI-0242,67,2568.08,100,0.5254,7032.75,29310.49
CLI-0243,39,3836.92,211,0.4525,14186.47,46273.51
CLI-0244,49,5982.63,158,0.332,32967.91,72724.55
CLI-0245,31,2950.88,220,0.2305,8276.4,37862.7
CLI-0246,31,3183.44,146,0.2227,9516.13,39473.8
CLI-0247,45,4385.01,100,0.2789,17698.77,51848.08
CLI-0248,27,3527.71,194,0.1003,11574.87,42958.28
CLI-0249,48,7958.11,227,0.7192,58404.31,95336.72
CLI-0250,54,4154.75,205,0.2851,16389.89,49004.89
CLI-0251,27,2753.97,112,0.2766,7230.87,34610.07
CLI-0252,68,3186.85,75,0.58,10598.41,39231.25
CLI-0253,50,2369.55,237,0.2734,5997.68,29341.04
CLI-0254,67,5048.77,45,0.3523,24394.01,59002.96
CLI-0255,44,4346.21,69,0.493,18186.33,49912.76
CLI-0256,66,4798.01,213,0.4582,21527.81,57407.99
CLI-0257,53,11948.33,13,0.0953,129019.06,143309.23
CLI-0258,72,4259.45,15,0.7183,18341.74,53415.61
CLI-0259,29,3556.88,121,0.5033,12504.2,42587.97
CLI-0260,21,3713.84,15,0.1882,12826.84,44426.27
CLI-0261,46,2891.57,221,0.6853,9594.34,35278.96
CLI-0262,61,3481.78,214,0.102,11687.64,44473.98
CLI-0263,67,4534.72,20,0.3072,19109.45,53055.99
CLI-0264,64,5200.14,235,0.5893,25972.37,60712.28
CLI-0265,26,5967.86,104,0.4022,33339.02,73264.09
CLI-0266,59,2216.47,82,0.1552,4993.75,25689.3
CLI-0267,43,4996.57,33,0.1182,23726.97,59825.69
CLI-0268,63,4623.13,85,0.2963,20230.24,55306.16
CLI-0269,39,4787.5,234,0.0712,21400.39,57941.82
CLI-0270,61,2953.58,113,0.0718,8326.63,36759.72
CLI-0271,66,3666.34,158,0.543,13226.43,45031.63
CLI-0272,56,5766.41,23,0.228,30830.63,69136.5
CLI-0273,22,3440.76,225,0.4763,11382.89,40736.42
CLI-0274,64,3592.3,221,0.3878,12297.65,43181.4
CLI-0275,36,5365.2,144,0.4173,26741.8,65208.19
CLI-0276,49,4642.63,157,0.1626,19686.78,56653.51
CLI-0277,63,4716.69,58,0.0965,20570.91,55924.64
CLI-0278,70,4706.87,232,0.444,20690.77,56458.18
CLI-0279,25,3933.96,207,0.3381,14631.81,47150.15
CLI-0280,54,5069.67,136,0.5131,24451.62,60163.38
CLI-0281,58,1855.47,233,0.1919,3681.0,22658.64
CLI-0282,24,1849.46,177,0.2679,3727.39,22514.41
CLI-0283,37,5797.5,215,0.4062,31049.44,68675.87
CLI-0284,45,7159.83,42,0.396,46815.23,87291.11
CLI-0285,66,5123.57,169,0.3253,24973.49,60759.02
CLI-0286,57,3172.53,65,0.1555,9616.52,38592.45
CLI-0287,49,2044.4,152,0.2874,4440.41,22150.17
CLI-0288,68,2357.24,79,0.7772,6932.54,30081.07
CLI-0289,42,3697.8,197,0.2574,12766.23,43881.78
CLI-0290,35,3717.32,154,0.5268,13218.89,42565.92
CLI-0291,59,10219.64,228,0.5236,94988.4,122951.83
CLI-0292,65,3895.29,147,0.1613,13948.6,49018.23
CLI-0293,39,5288.02,158,0.2057,25622.39,64303.98
CLI-0294,26,3884.58,178,0.602,14697.77,45281.27
CLI-0295,34,2746.91,158,0.4148,7636.83,33112.88
CLI-0296,38,2288.93,86,0.459,5710.06,27537.14
CLI-0297,28,4171.64,211,0.0978,16061.51,50328.19
CLI-0298,53,3751.49,132,0.6067,13862.84,44599.02
CLI-0299,71,4175.03,8,0.4173,16900.97,49809.3
CLI-0300,44,11516.1,39,0.0799,119902.66,138229.86
CLI-0301,47,1686.68,164,0.1377,3581.84,19015.18
CLI-0302,29,2230.48,12,0.1923,4850.54,26691.44
CLI-0303,71,3093.02,193,0.1759,8917.42,36642.13
CLI-0304,50,7830.56,35,0.2809,56175.33,92882.25
CLI-0305,19,6569.3,124,0.2716,39249.88,77449.02
CLI-0306,46,1747.35,215,0.2028,3166.21,20037.8
CLI-0307,48,5293.62,145,0.5124,26273.61,63142.09
CLI-0308,59,5557.51,67,0.4706,28906.25,66003.47
CLI-0309,22,3397.57,189,0.4935,11834.15,42776.12
CLI-0310,20,5468.0,163,0.1046,27617.21,65486.16
CLI-0311,66,3279.69,86,0.1556,10840.21,38401.04
CLI-0312,62,2508.93,224,0.2181,6326.04,30913.52
CLI-0313,54,1996.1,84,0.3256,3993.12,25314.95
CLI-0314,54,4404.7,133,0.3077,17937.83,51811.75
CLI-0315,48,4823.91,118,0.208,21491.46,58340.98
CLI-0316,37,3171.37,201,0.1423,9647.05,38717.65
CLI-0317,52,3341.82,186,0.365,10569.44,41614.44
CLI-0318,37,8312.17,134,0.295,62793.74,99570.6
CLI-0319,37,4701.8,226,0.7663,21605.33,56637.97
CLI-0320,63,1520.5,92,0.4675,3171.87,16473.27
