cliente_id,feature_a,feature_b,renda_mensal,inadimplente
CLI-0115,-0.3122,-0.0306,890.5,0
CLI-0116,-0.0367,-0.9244,2517.95,0
CLI-0117,-1.3224,1.132,2719.56,0
CLI-0118,-0.4289,-0.8557,3063.99,0
CLI-0119,0.4221,0.4267,3586.32,0
CLI-0120,0.0424,0.3607,10268.87,0
CLI-0121,3.1064,1.2561,2741.58,1
CLI-0122,-0.5137,-0.3256,4967.91,0
CLI-0123,-0.7529,1.4813,3539.64,0
CLI-0124,0.6101,1.178,6125.38,0
CLI-0125,0.3603,-0.1863,2625.6,0
CLI-0126,-0.1488,-1.4098,2934.05,1
CLI-0127,-0.3729,1.8138,4255.74,0
CLI-0128,-0.9836,0.3977,4030.39,0
CLI-0129,-0.4536,1.2674,7210.82,0
CLI-0130,-0.3115,0.5367,7217.95,0
CLI-0131,1.6902,1.6235,7552.4,0
CLI-0132,-1.8101,1.3803,7862.94,0
CLI-0133,-0.9119,0.7098,4640.27,0
CLI-0134,0.6142,-0.7316,3277.49,0
CLI-0135,0.3842,0.3031,4000.85,0
CLI-0136,-2.1634,1.7131,4262.44,0
CLI-0137,-0.5502,0.2181,3140.99,0
CLI-0138,-1.9002,2.0847,4296.49,0
CLI-0139,1.1478,0.3538,2854.83,0
CLI-0140,-1.2297,2.6654,5518.45,0
CLI-0141,0.6727,-0.1711,5213.57,0
CLI-0142,1.0288,0.4408,8009.85,0
CLI-0143,0.0155,1.0086,9241.33,0
CLI-0144,-1.7642,1.7369,4605.46,0
CLI-0145,1.2354,1.8985,3174.87,0
CLI-0146,-1.0219,-0.2847,8097.36,0
CLI-0147,0.698,0.9967,5638.09,0
CLI-0148,-1.2638,1.5872,7227.22,0
CLI-0149,-0.6038,0.6859,7335.67,0
CLI-0150,0.4515,0.2243,3268.52,0
CLI-0151,1.4412,0.5616,1814.6,0
CLI-0152,0.7086,1.3882,4802.36,0
CLI-0153,-0.5242,0.3946,2955.51,0
CLI-0154,1.3588,0.0243,8701.81,0
CLI-0155,-0.0853,0.7591,9188.57,0
CLI-0156,-1.2104,1.8756,3001.52,0
CLI-0157,0.1511,0.2991,3326.99,0
CLI-0158,-1.9999,2.5964,1315.42,0
CLI-0159,1.2885,0.9235,3212.43,1
CLI-0160,0.8892,-0.3894,3895.05,0
CLI-0161,-0.2015,-0.859,2653.76,0
CLI-0162,-0.5158,1.4425,5035.54,0
CLI-0163,-0.2015,1.1116,6160.09,0
CLI-0164,-0.4764,-1.3666,912.63,0
CLI-0165,-0.4403,1.6792,9119.31,0
CLI-0166,-1.2655,1.4985,3400.97,0
CLI-0167,0.2013,1.5339,3964.12,0
CLI-0168,0.3284,1.7016,5073.93,0
CLI-0169,-0.7688,1.6567,4129.83,0
CLI-0170,-0.193,0.0857,4150.23,0
CLI-0171,-1.1384,2.052,2649.29,0
CLI-0172,0.242,2.5951,4068.79,0
CLI-0173,0.7776,0.3357,4652.79,0
CLI-0174,0.3756,0.0864,6373.82,0
CLI-0175,0.8932,1.3796,5218.99,0
CLI-0176,0.2243,1.1172,3240.98,0
CLI-0177,2.9401,-0.319,2373.95,1
CLI-0178,1.5645,0.0738,3776.5,1
CLI-0179,-0.0246,0.6582,2888.31,0
CLI-0180,-1.3352,0.6915,5741.64,0
CLI-0181,0.9299,0.8115,2973.45,0
CLI-0182,-0.7438,1.2168,5248.14,0
CLI-0183,-0.0486,1.0181,2860.36,0
CLI-0184,-0.6853,1.8273,4519.87,0
CLI-0185,0.5342,-0.5409,10481.81,0
CLI-0186,0.9818,-0.2251,3602.46,0
CLI-0187,-2.939,0.9451,3144.4,0
CLI-0188,1.7585,1.1698,1299.74,0
CLI-0189,-0.5349,1.4765,6179.67,0
CLI-0190,-0.3599,0.1976,3995.61,0
CLI-0191,0.7181,0.3264,3372.05,0
CLI-0192,1.472,1.2333,3137.42,0
CLI-0193,-1.2101,0.3241,5964.73,0
CLI-0194,-0.1626,1.2813,2966.81,0
CLI-0195,1.2169,1.1582,7004.82,0
CLI-0196,0.2714,2.7167,3981.31,0
CLI-0197,-0.2761,0.9462,3346.68,0
CLI-0198,-0.0861,0.9774,2494.92,0
CLI-0199,1.8204,0.8681,3469.55,0
CLI-0200,0.4993,0.562,7261.33,0
CLI-0201,0.972,-1.1501,2628.16,1
CLI-0202,0.0984,0.5981,4479.72,0
CLI-0203,-0.1195,-0.6801,5169.77,0
CLI-0204,0.3054,1.4902,3326.66,0
CLI-0205,-1.0482,1.3666,3439.32,0
CLI-0206,-0.3166,0.6669,2704.42,0
CLI-0207,-2.7882,1.5328,6061.06,0
CLI-0208,0.5716,0.9861,3515.61,0
CLI-0209,1.7166,-0.7739,10660.05,1
CLI-0210,0.2459,1.3675,3688.89,0
CLI-0211,-1.688,0.4807,6131.7,0
CLI-0212,0.5848,0.4939,5185.97,0
CLI-0213,0.3962,1.1188,2454.03,0
CLI-0214,-2.0219,2.2255,4889.32,0
CLI-0215,-1.4255,0.7129,3360.18,0
CLI-0216,-0.3533,1.5641,7997.53,0
CLI-0217,1.1645,0.0758,4012.08,0
CLI-0218,1.3627,1.2051,2478.34,0
CLI-0219,-0.0708,1.2549,4660.99,0
CLI-0220,2.8174,1.2336,4942.35,0
CLI-0221,-1.7244,-0.0568,4292.14,0
CLI-0222,1.1588,1.0128,3017.13,0
CLI-0223,-1.1075,2.6669,5217.28,0
CLI-0224,-1.2548,1.7008,1398.64,0
CLI-0225,-2.1629,-0.2317,3799.38,0
CLI-0226,-0.874,1.571,5110.25,0
CLI-0227,-2.0817,0.2987,4603.67,0
CLI-0228,-1.1505,0.1746,3355.22,0
CLI-0229,0.6984,-0.9578,2986.69,1
CLI-0230,0.3172,0.2905,8681.29,0
CLI-0231,0.0449,0.0704,3078.81,0
CLI-0232,-0.779,0.7019,8354.16,0
CLI-0233,0.3098,1.261,4102.68,0
CLI-0234,-1.7118,-0.0862,1273.11,0
CLI-0235,0.3581,-0.3258,3964.43,1
CLI-0236,1.086,2.2071,2113.97,0
CLI-0237,-0.2314,-0.0018,8679.64,0
CLI-0238,-0.6016,-0.5662,4236.05,0
CLI-0239,-0.1251,2.1014,3704.7,0
CLI-0240,-0.1908,0.168,2357.27,0
CLI-0241,-0.2318,0.6485,3072.49,0
CLI-0242,-0.6224,-0.7245,3496.24,0
CLI-0243,-0.9422,1.2953,6764.8,0
CLI-0244,-0.4209,-0.4902,7777.05,0
CLI-0245,0.9126,1.1242,5072.13,1
CLI-0246,0.7588,0.5877,6605.6,0
CLI-0247,0.625,0.2169,4500.34,0
CLI-0248,-0.1483,0.408,1312.27,0
CLI-0249,0.3201,1.9173,7952.11,0
CLI-0250,-0.9008,0.4772,6356.55,0
CLI-0251,2.4414,0.8001,3942.25,0
CLI-0252,0.1545,0.3708,2407.17,1
CLI-0253,0.5985,1.6105,6590.06,0
CLI-0254,-1.5833,1.6064,10031.16,0
CLI-0255,-0.2473,1.4737,8351.24,0
CLI-0256,-1.4686,0.1926,5165.3,0
CLI-0257,-0.631,-0.0468,4811.43,0
CLI-0258,2.0748,1.2487,6531.78,0
CLI-0259,-0.0158,-0.3254,3210.52,0
CLI-0260,-2.2239,2.1057,5501.05,0
CLI-0261,0.9314,1.8083,5382.38,0
CLI-0262,-0.0345,1.2474,1556.08,0
CLI-0263,0.3768,0.8579,9817.04,0
CLI-0264,-0.1015,0.386,3339.25,0
CLI-0265,1.1069,1.4278,5319.33,0
CLI-0266,-1.1287,0.5999,3447.92,0
CLI-0267,1.0218,-2.0945,2804.69,0
CLI-0268,0.742,3.2148,2370.47,0
CLI-0269,-0.3053,-0.1892,5621.33,0
CLI-0270,1.7612,-0.8048,5531.52,0
CLI-0271,0.1706,-0.635,8518.74,0
CLI-0272,-0.7098,0.5267,2366.41,0
CLI-0273,-0.2142,0.6266,4054.7,0
CLI-0274,2.7618,1.9556,2101.09,0
CLI-0275,0.2853,-0.2459,2328.71,0
CLI-0276,-1.1169,1.7481,2289.72,0
CLI-0277,0.505,0.4243,5259.6,0
CLI-0278,-3.181,0.2615,2574.97,0
CLI-0279,-0.1739,0.9159,1571.62,0
CLI-0280,0.5649,-0.584,3625.04,1
CLI-0281,-0.5994,-0.0804,1759.05,0
CLI-0282,0.2262,1.4363,6002.14,0
CLI-0283,1.9626,2.2844,2963.91,0
CLI-0284,0.1547,0.4331,2052.6,0
CLI-0285,0.4898,0.0193,5140.33,0
CLI-0286,1.0351,-1.4286,5188.52,0
CLI-0287,1.129,1.2086,1872.24,0
CLI-0288,1.554,0.7433,2829.35,0
CLI-0289,0.9274,-0.0487,3070.1,0
CLI-0290,0.5417,0.651,4805.94,0
CLI-0291,-1.1654,1.587,2173.98,0
CLI-0292,-0.1017,0.5123,5917.9,0
CLI-0293,0.9191,1.8802,4530.03,0
CLI-0294,0.8324,0.0578,6305.51,0
CLI-0295,1.6105,1.1214,7997.76,0
CLI-0296,-0.6322,0.2778,1772.9,0
CLI-0297,0.1435,2.1918,3351.04,0
CLI-0298,0.6148,0.4166,17203.98,0
CLI-0299,0.3297,2.6357,1815.38,0
CLI-0300,1.3142,-0.687,5745.54,0
