id,idade,renda_mensal,utilizacao_limite,atrasos_30d,meses_relacionamento,target
226,26,3939.79,0.7709,0,91,0
227,69,8052.85,0.4997,1,71,0
228,71,6201.90,0.0000,0,164,0
229,28,2659.75,0.5128,0,131,0
230,63,6008.48,0.5555,1,2,1
231,53,9777.23,0.1936,0,90,0
232,28,7178.32,0.1122,0,163,0
233,29,4440.34,0.5285,1,163,0
234,28,4943.29,0.5923,0,158,0
235,28,5249.89,0.3432,0,165,0
236,27,4406.41,0.4209,2,120,0
237,68,4946.19,0.5999,0,35,1
238,44,900.00,0.8558,1,90,0
239,71,6997.37,0.1226,0,114,0
240,71,6851.21,0.8211,1,161,0
241,53,7146.51,0.3669,1,48,0
242,48,7989.11,0.9408,1,82,0
243,58,2383.43,0.7756,0,179,0
244,23,5836.19,0.2940,0,5,0
245,28,6512.99,0.5770,0,29,0
246,73,9711.09,0.4224,0,84,0
247,42,4857.28,0.4259,0,21,0
248,25,2120.35,0.0967,0,172,0
249,62,6340.41,0.8308,1,11,0
250,44,1443.15,0.3502,1,93,0
251,37,2449.79,0.8586,0,63,0
252,42,3062.81,0.0000,0,150,0
253,42,5992.23,0.4688,0,64,0
254,33,2022.49,0.5513,0,87,0
255,57,6105.46,0.5300,0,135,0
256,74,5390.97,0.2861,0,151,0
257,28,6365.88,0.4011,0,45,0
258,33,1586.73,0.0000,0,134,0
259,59,2965.77,0.0000,1,135,0
260,64,7387.32,0.7150,1,178,0
261,25,7001.44,0.6923,0,21,0
262,58,8750.35,0.8802,1,93,1
263,63,6220.94,0.5315,0,102,0
264,33,2468.44,0.7831,1,83,0
265,23,10718.34,0.2966,0,39,0
266,54,7022.51,0.6802,0,179,0
267,69,6041.79,0.6576,0,157,0
268,37,8027.36,0.5406,0,3,0
269,32,5128.82,0.7058,0,107,0
270,57,7824.83,0.5570,0,87,0
271,59,3843.87,0.1329,0,163,0
272,70,4615.75,0.6095,0,82,0
273,34,4282.96,0.6402,0,55,0
274,60,8059.36,0.5779,0,18,0
275,33,5339.31,0.2991,0,4,0
276,36,8703.92,0.2011,0,35,0
277,59,7275.82,0.5231,1,30,0
278,57,5808.56,0.4393,1,144,0
279,39,4940.58,0.7795,0,47,0
280,50,6730.54,0.0000,1,69,1
281,57,5712.18,0.0000,0,132,0
282,20,3906.56,0.3170,1,127,0
283,21,8123.48,0.2582,0,112,0
284,51,6158.16,0.5984,0,42,0
285,72,4948.25,0.5225,0,45,0
286,41,3112.80,0.2182,0,7,0
287,25,3670.71,0.2893,0,167,0
288,72,7541.07,0.1761,0,72,0
289,33,5320.23,0.4014,0,129,0
290,74,6512.24,0.2138,0,36,1
291,51,1768.83,0.8570,2,101,1
292,67,4755.90,0.8082,0,99,0
293,37,5549.16,0.0577,0,64,0
294,52,5162.85,0.3608,1,115,0
295,23,4414.35,0.5077,0,89,0
296,62,7602.51,0.5140,0,106,0
297,62,900.00,0.1206,0,4,0
298,56,900.00,0.5268,0,130,0
299,69,4438.70,0.5079,0,55,0
300,48,3831.68,0.6701,0,11,0
301,75,5698.10,0.5348,0,94,0
302,60,4808.95,0.3882,0,119,0
303,60,1953.23,0.5506,0,25,0
304,73,900.00,0.6774,1,138,0
305,66,8886.38,0.3798,0,132,0
306,72,11061.30,0.1477,0,34,0
307,75,8818.64,0.6440,0,153,0
308,59,7772.15,0.7643,0,103,0
309,45,4537.76,0.3539,0,2,0
310,48,4188.57,0.5627,1,111,0
311,36,2962.20,0.7945,0,128,0
312,27,3879.01,0.5750,0,167,0
313,62,4913.56,0.3243,0,67,0
314,58,5167.65,0.3889,0,73,0
315,57,5846.83,0.6044,0,88,0
316,64,2724.29,0.4314,0,126,0
317,40,6752.39,0.1828,0,58,0
318,24,6348.91,0.5753,0,69,0
319,45,6240.89,1.0680,1,124,0
320,39,6528.71,0.6744,0,31,1
321,61,3366.33,0.6291,0,65,0
322,60,7526.64,0.2330,0,47,0
323,70,6400.20,1.0489,1,68,1
324,73,5970.64,0.0000,0,73,0
325,40,3819.27,0.5699,0,101,0
326,30,1221.99,0.6628,0,23,0
327,70,2306.62,0.7745,1,153,0
328,35,8074.75,0.3238,0,52,0
329,66,3661.74,0.1968,0,132,0
330,51,4987.25,0.7522,1,169,0
331,60,2111.34,1.0127,1,167,0
332,38,6619.31,0.3528,0,4,0
333,21,7553.63,0.4928,0,11,0
334,26,3780.80,0.7738,1,61,1
335,29,5325.92,0.5330,0,156,0
336,58,3815.66,0.7044,0,144,0
337,33,4562.66,0.3503,0,38,0
338,20,900.00,0.1969,1,42,0
339,66,2997.21,0.6747,0,179,0
340,33,1665.10,0.5922,0,164,0
341,57,5584.37,0.0551,0,64,0
342,40,4737.56,0.4792,0,167,0
343,36,6227.68,0.0463,0,113,0
344,22,1874.87,0.7107,0,118,0
345,46,1108.85,0.1795,0,100,0
346,47,8358.02,0.6027,1,161,0
347,50,3523.32,0.5237,0,160,0
348,74,7465.87,0.5471,0,116,0
349,51,3398.39,0.2794,0,82,0
350,30,5295.83,0.8669,1,59,0
351,65,2508.14,0.0000,0,75,0
352,58,4867.89,0.6492,1,82,0
353,59,5567.24,0.4571,0,49,0
354,36,3315.58,0.2280,0,14,0
355,49,6010.19,0.4731,1,36,0
356,55,5037.39,0.7226,1,134,0
357,65,6700.33,0.3402,0,81,0
358,20,4048.49,0.2568,1,131,0
359,45,4234.00,0.2364,0,160,1
360,30,1887.20,0.5565,0,35,0
361,25,2008.04,0.4606,0,104,0
362,54,4596.87,0.4001,0,144,0
363,69,3221.62,0.5924,1,77,0
364,45,2770.46,0.3445,0,180,1
365,59,4442.60,0.4498,1,67,0
366,51,2609.09,0.3464,0,63,0
367,43,6336.01,0.3358,0,152,0
368,73,5131.56,0.4131,1,118,0
369,31,4682.07,0.9921,2,134,0
370,34,8352.12,0.4449,0,92,0
371,20,1080.55,0.2401,0,80,0
372,43,4503.28,0.3421,0,66,0
373,59,3538.60,0.6207,0,80,0
374,64,900.00,0.8241,2,133,1
375,23,8070.16,0.0376,0,157,0
376,38,2056.37,0.4618,1,51,1
377,49,7093.17,0.4609,1,121,0
378,43,5747.33,0.4927,0,126,0
379,64,900.00,0.3529,0,132,0
380,25,9558.21,0.5207,0,68,0
381,70,900.00,0.1407,0,107,0
382,63,1404.28,0.2136,0,36,0
383,36,7017.31,0.3919,0,130,0
384,64,7294.78,0.0629,0,121,0
385,20,1589.56,0.1412,0,154,0
386,20,9126.39,0.4794,0,100,0
387,55,5190.00,0.7671,0,86,0
388,71,3154.80,0.6462,0,29,0
389,33,5426.13,0.6539,0,53,1
390,32,9123.68,0.1772,0,41,0
391,47,4581.79,0.8231,2,103,1
392,57,4212.12,0.3408,1,107,0
393,56,1145.98,0.5864,0,111,0
394,19,5756.43,0.2839,0,130,0
395,60,4074.99,0.2349,0,77,0
396,56,6490.52,0.4256,0,180,0
397,71,4363.46,0.3344,0,124,0
398,72,900.00,0.2531,0,4,0
399,73,6931.94,0.1025,1,4,0
400,20,1606.05,0.4901,0,108,0
401,32,6811.59,0.0000,1,118,0
402,45,8152.41,0.4682,0,14,0
403,30,8812.96,0.6748,0,112,0
404,37,4606.58,0.3630,0,83,1
405,69,4870.33,0.2371,0,19,0
406,24,7903.77,0.5512,1,16,0
407,72,6484.46,0.4265,1,1,0
408,67,4134.95,0.3139,0,28,0
409,71,3857.83,0.1094,0,169,0
410,42,10871.06,0.2628,1,113,0
411,49,5148.56,0.8682,1,158,0
412,30,2555.53,0.3938,0,16,0
413,38,2632.10,0.5144,1,139,1
414,25,5429.42,0.2207,0,155,0
415,33,8456.19,0.8492,2,73,0
416,63,5013.36,0.6767,0,73,0
417,34,900.00,0.6771,0,154,1
418,52,8794.38,0.5973,1,69,0
419,67,4949.32,0.5484,0,21,0
420,44,6417.34,0.6591,0,114,0
421,33,5440.15,0.6987,0,173,0
422,57,6255.04,0.7802,0,74,0
423,43,1426.15,0.0880,0,102,0
424,63,4497.74,0.2162,2,73,0
425,69,1209.11,0.4838,1,131,0
426,70,3647.78,0.2719,0,69,0
427,49,4416.09,0.6331,0,92,0
428,63,3690.79,0.7613,0,164,0
429,25,1192.60,0.7964,1,61,1
430,42,7001.48,0.1797,0,40,0
431,42,4659.49,0.4020,1,100,0
432,42,6443.58,0.8304,2,2,1
433,47,1776.82,0.6468,0,109,0
434,64,5470.49,0.6882,0,134,0
435,42,2291.87,0.0951,0,75,0
436,53,6489.20,0.4444,0,23,0
437,51,8725.68,0.4097,0,131,0
438,31,4346.59,0.3988,2,4,0
439,70,8670.08,0.5839,0,54,0
440,38,7571.69,0.3738,0,48,0
441,67,5079.43,0.3876,0,75,0
442,39,5578.76,0.8062,0,132,0
443,56,4184.23,0.3573,0,24,0
444,42,8804.45,0.6410,0,155,0
445,32,5690.03,0.6639,0,16,1
446,54,3987.02,0.1822,1,119,0
447,26,1641.18,0.5524,0,86,0
448,27,4838.39,0.6956,0,64,0
449,64,6000.54,0.8524,1,62,0
450,32,3740.98,0.5336,1,179,0
451,28,5535.57,0.4214,0,88,0
452,42,4605.79,0.7594,1,98,0
453,42,5930.25,0.6050,1,159,0
454,74,1660.26,0.1339,0,15,0
455,35,1784.45,0.1437,1,44,0
456,39,6066.50,0.9096,2,34,0
457,41,3348.56,0.5798,0,113,0
458,44,5928.67,0.2046,0,133,0
459,42,3710.14,0.1176,0,39,0
460,60,4850.75,0.4914,0,93,0
461,28,5292.83,0.1934,0,129,0
462,34,1544.15,0.0000,0,58,0
463,51,1333.43,0.6054,0,145,0
464,20,4957.42,0.7574,0,79,0
465,23,5109.02,0.5667,0,104,0
466,74,2173.65,0.3018,1,14,0
467,24,10457.58,0.4502,0,28,0
468,50,5970.98,0.4171,1,123,0
469,25,900.00,0.8044,0,55,0
470,66,3841.42,0.6116,2,109,0
471,51,5596.08,0.2521,0,131,0
472,36,4939.82,0.3753,0,43,0
473,68,9269.17,1.0138,1,175,0
474,25,5056.56,0.1206,0,65,0
475,21,6088.71,0.4137,0,46,1
476,71,4032.03,0.0000,1,123,0
477,49,3943.36,0.7359,0,133,0
478,21,4878.33,0.5910,0,89,0
479,47,6563.80,0.3378,0,25,0
480,55,1355.99,1.0028,3,70,0
481,64,5401.80,0.7433,0,130,0
482,51,3990.04,0.1388,0,109,0
483,70,1090.15,0.0000,1,71,0
484,55,900.00,1.1125,2,115,1
485,41,3190.34,0.7983,1,16,0
486,42,8670.44,0.4373,0,12,1
487,64,4425.62,0.3523,0,123,0
488,26,5335.95,0.2528,1,25,0
489,23,6540.47,1.0424,1,155,0
490,59,2977.32,0.1342,0,1,0
