id,area_m2,quartos,distancia_centro_km,idade_imovel,aluguel
156,97.64,2,17.60,26.21,1454.74
157,75.05,1,4.11,31.88,1361.65
158,92.25,3,13.92,4.81,1313.26
159,87.71,5,20.90,5.13,1346.93
160,186.24,5,9.28,6.45,2488.25
161,96.03,2,20.68,30.20,1171.26
162,183.61,5,23.67,28.54,2244.89
163,193.98,4,24.15,14.26,2232.30
164,125.06,5,15.91,43.18,1800.25
165,117.20,2,14.02,28.71,1551.97
166,111.08,1,16.14,32.73,1036.34
167,82.47,1,6.97,13.96,1255.47
168,50.73,2,11.61,23.33,833.49
169,201.61,1,23.92,37.24,1998.45
170,154.42,1,17.47,2.76,1842.94
171,120.35,4,15.93,5.57,1578.14
172,154.36,5,15.61,26.11,2124.32
173,38.51,1,5.99,42.80,640.56
174,140.76,3,11.03,13.20,1978.16
175,172.12,1,14.12,5.52,1917.14
176,187.63,1,14.93,13.54,1869.47
177,83.50,4,12.01,43.96,1318.24
178,126.27,1,21.99,15.45,1358.51
179,70.41,1,20.46,30.51,732.30
180,150.09,4,0.88,7.56,2293.51
181,189.86,3,22.13,9.25,2136.98
182,99.13,4,7.71,21.81,1674.98
183,97.94,1,12.69,6.70,1359.03
184,177.70,2,7.27,33.67,2009.40
185,51.19,2,16.78,29.69,1013.27
186,143.66,1,1.83,11.20,1720.66
187,40.79,1,14.19,7.99,861.94
188,172.64,4,10.40,11.17,2089.74
189,195.27,5,8.33,35.29,2501.46
190,165.78,2,8.12,6.40,1959.91
191,52.84,5,0.55,13.35,1592.82
192,74.36,4,26.77,39.95,1260.88
193,109.16,1,4.49,20.72,1651.14
194,79.70,2,8.06,7.90,1121.52
195,91.57,4,17.80,38.21,1467.09
196,51.91,4,16.57,3.84,1232.97
197,155.62,3,15.50,14.95,1882.14
198,95.80,5,26.23,9.25,1525.94
199,85.02,4,8.46,9.92,1422.26
200,77.46,3,12.93,20.50,1334.89
201,80.67,5,21.03,20.02,1389.83
202,209.88,2,1.39,4.01,2460.10
203,110.04,2,17.39,17.30,1347.64
204,141.13,1,0.83,27.92,1640.92
205,52.49,5,8.83,8.81,1329.02
206,153.51,2,23.34,29.27,1621.58
207,41.78,3,21.25,34.17,980.91
208,207.03,5,21.89,37.46,2388.46
209,91.50,1,1.19,26.91,1270.43
210,165.78,2,11.51,20.70,1702.07
211,114.44,4,25.82,17.05,1416.15
212,90.56,3,0.82,18.43,1468.47
213,51.80,3,13.04,38.60,997.18
214,66.20,4,11.32,19.18,1196.44
215,53.26,1,11.07,16.85,665.98
216,157.01,3,21.65,44.24,1613.52
217,153.71,1,25.92,11.75,1581.04
218,48.87,5,16.27,9.02,1154.26
219,197.73,1,3.90,34.61,2000.67
220,141.28,4,17.70,25.17,1988.79
221,87.66,4,5.61,16.96,1766.95
222,137.92,4,15.82,17.69,2019.10
223,116.16,3,26.69,26.39,1428.85
224,49.03,5,23.33,17.63,1113.03
225,109.35,2,19.57,25.62,1195.80
226,104.20,4,16.95,27.15,1700.00
227,111.32,3,5.64,12.13,1490.11
228,78.91,5,7.38,30.01,1620.55
229,166.05,4,6.08,37.11,2221.29
230,203.21,3,11.56,11.72,2401.85
231,37.53,1,2.72,18.60,721.81
232,106.15,5,16.42,0.07,1593.63
233,114.26,2,7.15,40.02,1635.69
234,34.23,5,1.53,12.54,1444.32
235,108.82,2,15.53,36.47,1274.18
236,167.36,2,11.75,33.98,2059.20
237,128.59,2,25.23,32.50,1315.53
238,200.83,3,25.58,23.56,2146.09
239,98.50,4,16.82,36.33,1465.49
240,146.59,2,16.05,6.78,1866.30
241,41.82,1,7.57,11.56,896.71
242,112.48,4,19.90,4.11,1622.41
243,169.81,1,9.78,43.90,1871.79
244,102.62,5,9.96,9.52,1858.89
245,136.31,3,14.40,21.55,1736.29
246,207.54,2,16.47,18.04,2128.19
247,98.02,1,15.05,4.19,1217.43
248,157.51,4,26.20,22.95,1763.90
249,146.63,2,10.87,36.63,1796.63
250,137.38,3,7.16,4.43,2009.03
251,123.57,4,17.55,19.78,1550.31
252,126.45,2,21.65,32.67,1027.20
253,73.38,4,10.69,37.32,1155.32
254,111.84,3,5.62,34.78,1633.53
255,196.64,5,13.00,18.19,2224.14
256,148.74,5,2.98,0.97,2346.44
257,108.35,2,11.53,11.10,1690.96
258,185.93,5,26.82,21.91,1867.24
259,132.84,4,14.22,18.24,1844.06
260,160.17,4,14.21,10.19,1882.36
261,30.87,4,2.22,12.15,1033.10
262,187.72,4,12.48,5.30,2293.48
263,140.22,2,17.15,5.50,1689.05
264,186.53,5,13.86,37.59,2174.86
265,55.40,5,13.65,10.01,1177.42
266,107.54,1,10.09,23.03,1478.40
267,97.55,2,10.64,1.86,1250.20
268,198.42,4,6.01,36.84,2380.27
269,70.47,2,17.42,22.43,1027.73
270,48.40,1,17.83,20.28,545.40
271,103.73,2,2.03,14.07,1393.64
272,67.32,2,4.95,11.08,1291.87
273,148.72,3,8.26,37.24,1939.09
274,97.69,4,27.11,19.44,1261.71
275,138.62,5,2.38,41.40,2079.99
276,162.87,4,1.70,32.49,2296.89
277,168.30,3,18.20,38.24,1943.96
278,120.08,2,10.99,11.69,1406.72
279,94.95,4,27.54,7.34,1135.73
280,71.46,4,16.22,28.47,1335.15
281,165.49,5,6.51,0.23,2454.41
282,191.75,1,26.20,20.22,1873.74
283,181.64,3,2.95,20.41,2328.63
284,116.00,2,11.39,9.36,1396.92
285,158.59,4,17.30,33.03,1888.08
286,55.73,5,9.08,20.00,1235.10
287,78.24,2,20.15,18.95,1131.49
288,96.99,5,4.75,17.71,1477.00
289,162.97,3,16.98,44.62,1718.62
290,118.69,1,21.12,29.06,978.06
291,80.70,3,21.10,15.02,1069.81
292,114.83,3,13.96,24.16,1392.45
293,37.49,4,27.43,3.32,972.79
294,208.78,3,20.31,11.39,2228.56
295,98.32,3,2.19,37.38,1563.61
296,53.36,4,4.02,39.84,1203.40
297,62.12,4,22.89,34.00,1141.85
298,54.86,2,26.29,41.40,662.16
299,102.05,2,10.04,43.52,1390.92
300,64.68,3,4.27,40.34,1085.61
301,86.79,5,10.63,33.41,1702.09
302,46.90,3,7.17,9.90,1035.81
303,43.95,4,13.05,25.70,1026.25
304,75.21,5,3.10,16.23,1629.94
305,131.48,3,15.37,19.53,1420.63
306,117.70,3,20.11,41.67,1407.06
307,147.93,4,12.68,41.14,1798.43
308,112.95,5,12.43,15.21,1705.84
309,97.66,1,23.44,0.02,1311.45
310,165.77,1,17.71,4.63,1760.47
311,131.76,1,2.48,31.20,1527.83
312,196.10,3,21.95,40.72,2074.53
313,30.83,5,26.69,34.68,815.28
314,39.54,1,20.11,0.47,840.38
315,60.29,4,26.91,14.67,1057.93
316,142.81,3,11.07,32.18,1804.46
317,34.43,4,26.18,42.02,547.25
318,162.78,3,8.81,36.94,1998.90
319,129.94,4,3.83,25.09,2137.46
320,202.27,5,18.65,16.81,2422.74
321,194.96,5,23.54,24.89,2219.76
322,101.29,2,18.29,6.70,1139.14
323,104.50,1,10.83,17.18,1421.82
324,166.99,5,18.52,27.92,2192.62
325,158.32,3,0.19,40.11,1921.91
326,110.82,2,5.39,17.63,1554.60
327,202.03,2,27.26,12.24,1901.86
328,206.37,5,20.65,14.88,2379.81
329,157.45,5,24.24,2.26,1877.69
330,86.26,5,0.33,39.84,1759.63
331,193.17,1,0.01,32.72,2190.37
332,181.52,2,6.15,14.55,2185.89
333,71.19,3,9.11,41.47,1325.14
334,52.03,1,7.68,39.13,1104.22
335,130.62,5,9.04,5.79,1941.16
336,141.26,4,4.01,44.34,1780.04
337,114.39,3,20.02,20.26,1450.07
338,33.84,1,20.83,12.07,682.03
339,189.86,3,0.72,40.97,2283.71
340,199.48,1,1.56,31.82,2278.77
341,99.30,4,8.10,9.50,1542.82
342,31.53,3,10.47,12.65,775.30
343,161.17,5,12.79,1.87,2271.93
344,153.68,1,24.68,5.86,1752.51
345,148.15,2,8.29,13.38,1887.23
346,93.30,5,26.59,35.46,1226.77
347,32.84,2,23.21,36.95,777.90
348,104.76,1,23.82,9.35,759.54
349,157.05,2,17.07,23.48,1836.21
350,131.16,5,22.37,25.45,1932.87
351,45.70,4,10.69,44.32,1009.41
352,98.08,5,13.71,3.51,1784.89
353,171.10,4,25.82,41.86,1873.94
354,197.54,3,15.81,14.22,2277.60
355,38.82,1,2.95,5.70,961.65
356,45.78,2,18.80,33.73,671.32
357,50.75,4,13.99,28.25,856.01
358,143.28,2,1.04,22.94,1926.35
359,66.56,5,0.79,19.33,1355.42
360,110.33,2,20.54,26.98,1326.82
361,49.41,5,14.05,41.32,1170.08
362,96.78,1,1.42,1.79,1551.47
363,126.74,3,1.85,32.00,1833.79
364,109.29,4,18.32,30.78,1512.30
365,142.33,3,24.10,33.92,1746.82
366,144.46,1,12.44,30.93,1754.99
367,80.20,3,12.20,35.14,1037.65
368,101.46,1,8.21,38.75,1354.15
369,86.72,2,20.33,22.52,1043.77
370,112.40,5,2.26,18.11,1927.31
371,121.49,3,17.56,4.99,1723.44
372,174.07,3,19.46,32.71,2183.40
373,33.12,3,13.16,0.55,845.48
374,169.29,4,26.10,17.78,2013.39
375,180.89,4,26.40,36.75,1953.57
376,151.44,1,12.67,16.31,1587.67
377,68.00,2,7.16,0.98,1035.52
378,90.61,5,6.34,1.78,1563.00
379,57.65,5,16.68,42.92,995.89
380,124.71,3,3.81,40.30,1714.93
381,127.62,1,4.71,37.82,1542.33
382,64.06,5,18.35,26.60,1280.17
383,104.47,4,10.43,5.58,1676.49
384,182.92,2,21.94,39.29,1842.94
385,103.19,1,25.43,16.73,896.12
386,156.24,2,18.13,32.22,1405.53
387,123.27,2,24.02,17.81,1549.44
388,65.33,2,12.68,20.10,830.36
389,137.19,1,1.32,19.73,1684.40
390,60.58,3,19.60,37.46,847.64
391,72.14,5,6.20,24.16,1475.76
392,174.96,1,23.45,16.69,1763.73
393,31.02,2,23.69,18.93,700.52
394,206.50,5,21.77,11.92,2211.48
395,63.62,3,15.88,25.14,953.58
396,173.38,4,26.40,36.62,1933.33
397,103.86,1,17.83,9.32,1354.06
398,89.88,5,21.54,9.52,1419.91
399,194.16,1,23.69,25.84,1648.09
400,196.81,1,23.23,44.08,1813.72
401,82.75,5,21.40,20.62,1427.09
402,124.70,2,0.33,23.55,1606.16
403,204.90,5,9.25,43.54,2505.73
404,193.35,5,11.54,24.51,2677.34
405,164.03,1,2.62,8.28,1809.68
406,175.99,2,24.43,13.28,1609.93
407,53.63,2,18.22,39.46,844.13
408,81.63,2,9.19,40.74,1179.93
409,105.89,5,2.16,28.37,1859.81
410,174.01,4,11.07,12.21,2357.94
411,138.04,2,11.09,44.49,1708.53
412,190.53,2,24.16,10.73,2134.95
413,132.28,2,10.84,21.71,1765.40
414,109.67,1,0.34,2.75,1437.58
415,90.23,4,7.72,29.04,1685.53
416,180.28,2,26.36,16.87,1648.44
417,47.98,4,2.98,16.96,1289.28
418,131.21,2,8.70,7.59,1940.74
419,102.42,4,23.59,11.96,1409.75
420,44.75,3,5.06,21.79,945.77
421,165.04,2,13.66,32.79,1853.41
422,202.16,5,24.40,37.59,2106.68
423,103.98,5,21.92,3.47,1588.57
424,135.02,4,0.14,25.81,1889.84
425,80.33,1,7.53,39.13,1255.94
426,40.47,5,4.57,31.17,1138.91
427,209.63,4,21.39,7.18,2499.63
428,204.16,3,23.06,35.89,2112.13
429,164.43,4,15.54,22.45,2100.48
430,58.97,4,14.05,10.36,1029.89
431,98.96,2,23.69,36.19,1339.80
432,173.30,5,7.56,26.17,2411.51
433,181.76,3,7.35,20.16,2173.77
434,67.04,1,2.01,3.38,1190.07
435,207.19,4,12.84,8.23,2529.10
436,98.94,4,14.20,25.10,1528.45
437,81.93,2,3.46,34.04,1339.65
438,53.56,4,0.29,3.70,1474.52
439,47.11,5,26.20,14.88,1057.63
440,61.49,3,16.51,14.06,1183.51
441,82.36,4,7.17,2.68,1540.26
442,171.06,4,15.50,10.82,2203.96
443,142.37,3,17.27,19.81,1481.60
444,155.10,2,25.03,42.60,1643.35
445,42.18,4,8.19,13.09,1108.36
446,101.16,4,6.91,17.47,1669.42
447,191.94,5,14.22,21.16,2417.38
448,38.65,5,16.99,20.25,1256.87
449,107.27,3,2.10,31.27,1706.36
450,141.26,5,5.98,33.44,2140.59
