id,comportamento_1,comportamento_2,comportamento_3
91,3.0692,-0.6650,2.2007
92,3.3516,-2.2442,3.2759
93,3.4650,-2.0528,1.5570
94,3.3580,-2.2398,2.0209
95,2.4653,-1.7735,1.4556
96,3.1927,-2.1947,1.9993
97,3.3934,-1.3531,2.0130
98,3.6049,-1.7666,2.0276
99,2.7239,-2.3903,2.7554
100,3.4147,-0.6769,1.9287
101,2.6809,0.0001,1.9085
102,4.0238,-0.4566,1.5570
103,3.4294,-1.5273,1.2170
104,4.5775,-1.4382,1.0963
105,3.5536,-2.3851,1.4396
106,3.6606,-1.9003,0.9766
107,2.6212,-1.2717,1.6141
108,2.7758,-1.7163,3.7417
109,3.3927,-1.7370,1.8735
110,3.8057,-2.8796,1.4378
111,2.8365,-0.6248,2.1874
112,3.9016,-1.5305,1.8556
113,2.9308,-2.6408,2.6429
114,4.6808,-1.8908,2.5154
115,2.8296,-2.7256,0.9783
116,4.2230,-1.3194,2.3898
117,1.8374,-1.1521,2.7466
118,2.2194,-2.1354,1.9620
119,3.4322,-3.1044,3.1817
120,2.2091,-2.1922,2.4375
121,2.7573,-3.1647,2.9952
122,3.1986,-3.1019,1.6657
123,2.0544,-1.3309,2.2547
124,3.7400,-2.0333,1.6205
125,3.5356,-1.3427,2.4351
126,2.9462,-1.9842,2.8160
127,4.5715,-1.4410,3.2080
128,2.8539,-2.9322,2.9473
129,3.4820,-1.4763,0.1009
130,3.1717,-2.0852,2.6830
131,1.4024,-1.5849,2.1616
132,4.2823,-1.1655,2.3367
133,3.0091,-2.0408,2.7773
134,3.7666,-1.2970,2.8307
135,3.9931,-2.3609,1.6242
136,1.2628,-0.9228,2.4142
137,5.5105,-1.4102,1.3708
138,3.3440,-0.8077,2.4748
139,3.4905,-2.3964,2.4137
140,2.8879,-1.4818,2.2988
141,2.5160,-2.4354,2.5377
142,2.3632,-1.6437,2.1158
143,4.6918,-2.0444,2.1123
144,3.2100,-2.3067,1.9260
145,3.7308,-2.0800,1.9219
146,2.9988,-1.1130,1.9727
147,2.7842,-1.5392,3.5948
148,3.4694,-2.1332,1.3817
149,2.4577,-1.7126,2.0545
150,2.9972,-1.0685,2.1423
151,3.7824,-1.4965,2.1610
152,4.0340,-0.6446,2.9473
153,4.2585,-3.8534,2.8172
154,3.6057,-2.2519,1.6218
155,4.0441,-1.4320,3.0337
156,3.6902,-1.1916,2.1061
157,3.4278,-1.3559,1.1712
158,2.8505,-1.7401,1.1706
159,2.8872,-2.1296,2.4843
160,2.9991,-2.0381,2.2427
161,4.0187,-0.6411,2.6566
162,2.8647,-2.2483,2.2842
163,3.4691,-1.8971,2.7099
164,2.8440,-1.8758,2.1681
165,2.7001,-0.5489,2.2397
166,3.5398,-2.4057,2.2122
167,3.8151,-2.2684,2.2828
168,4.4239,-2.7981,1.9974
169,3.0158,-1.2421,2.3722
170,2.8954,-0.9400,1.9827
171,3.1048,-3.6682,1.9950
172,2.5742,-2.7607,2.6753
173,2.6943,-3.2846,3.2088
174,2.4763,-2.3934,1.9512
175,1.9973,-2.5033,2.0698
176,2.6882,-1.4698,3.5890
177,2.3888,-1.5540,2.3972
178,4.3705,-2.9582,2.7104
179,3.7666,-1.4136,2.8598
180,2.9101,-3.1381,1.8876
181,-1.8131,4.5876,-2.4739
182,-2.6357,2.4149,-2.5162
183,-0.5154,4.1095,-2.0847
184,-1.8159,2.2030,-1.3646
185,-2.9283,3.4664,-1.3158
186,-3.3156,4.2832,-1.4617
187,-1.5032,2.6797,-2.7547
188,-2.9621,3.9516,-2.4386
189,-4.0098,3.8273,-2.2215
190,-2.3552,3.8640,-2.1740
191,-2.4101,3.0067,-2.4575
192,-2.5136,4.5383,-1.3272
193,-2.6347,3.8949,-1.4160
194,-0.9711,3.2959,-2.1962
195,-2.2713,3.2972,-1.7096
196,-2.8398,3.1106,-1.9147
197,-1.8412,3.8163,-2.1618
198,-2.7560,2.9385,-1.7184
199,-2.5844,4.4493,-0.7048
200,-3.6470,4.2595,-2.8525
201,-2.3450,2.6134,-3.6712
202,-3.5699,3.4145,-2.2424
203,-3.4814,3.9555,-1.0136
204,-2.3677,3.8177,-2.2742
205,-1.2445,4.4252,-2.4574
206,-1.3139,3.8623,-1.8826
207,-3.5745,3.7499,-2.4246
208,-2.1282,3.8201,-2.2309
209,-1.1753,3.4864,-2.8490
210,-1.6733,4.3645,-2.5821
211,-3.5042,4.7328,-2.1802
212,-2.1981,2.8002,-2.6309
213,-1.4240,4.1277,-0.5192
214,-1.7444,2.8113,-2.3153
215,-3.0496,3.5774,-0.6186
216,-3.3226,3.3920,-2.3218
217,-3.1023,3.8698,-1.8820
218,-2.7485,3.3249,-2.3766
219,-2.2727,4.0296,-2.8592
220,-1.6994,3.8424,-2.5056
221,-1.6286,3.0984,-1.2223
222,-2.1340,3.0229,-1.5207
223,-1.7459,3.8658,-1.1223
224,-1.8286,1.8640,-2.2848
225,-1.6895,2.6615,-1.4182
226,-2.0072,3.4562,-1.7373
227,-3.2023,2.3761,-1.3401
228,-2.7314,3.6886,-1.7332
229,-0.7907,2.6146,-3.3198
230,-1.5663,3.2037,-1.8483
231,-2.4722,2.5546,-2.4918
232,-3.9283,3.1899,-3.2792
233,-1.8103,2.6486,-1.4879
234,-4.0763,4.5559,-1.6301
235,-1.9548,3.0439,-3.3901
236,-2.8369,3.3948,-1.4472
237,-2.5182,2.8857,-1.8431
238,-2.9126,3.3375,-1.3546
239,-1.8732,4.4286,-2.6262
240,-1.8081,3.6196,-2.0347
241,-0.7216,1.8519,-1.5313
242,-2.9113,4.2699,-2.1464
243,-3.8255,4.5461,-1.0544
244,-2.7431,3.9461,-0.9432
245,-2.4160,1.9675,-1.9153
246,-2.1718,3.0561,-2.0493
247,-2.0034,4.2156,-2.4885
248,-2.7133,3.9222,-2.0607
249,-1.3615,2.9166,-2.0045
250,-1.2277,1.7444,-2.5147
251,-2.9701,3.1814,-1.7456
252,-1.5727,4.1117,-1.3832
253,-2.2249,3.9430,-2.5261
254,-1.5268,3.5999,-2.4654
255,-1.3600,3.5567,-1.1293
256,-1.5923,2.7594,-1.9834
257,-2.8103,2.8894,-2.3186
258,-2.1996,3.2121,-3.0963
259,-2.2115,2.9489,-2.5180
260,-0.1744,3.3424,-2.1426
261,-2.6576,5.2955,-1.7024
262,-3.8296,3.4846,-2.3568
263,-2.3313,2.7662,-2.0514
264,-2.8037,3.9293,-3.3467
265,-1.8065,4.1311,-1.6849
266,-1.4009,3.6975,-2.9471
267,-1.5482,2.7928,-0.3621
268,-1.9218,3.1404,-1.9701
269,-1.7200,4.3208,-1.9491
270,-2.3006,2.9062,-2.3609
271,3.5951,3.8786,-0.4003
272,4.4327,1.9515,-1.7695
273,3.1803,3.3885,0.2629
274,3.1542,3.3634,-0.0681
275,3.0524,2.7977,0.3988
276,3.6001,2.2688,-0.2114
277,4.0293,3.1316,-0.1562
278,3.1591,4.0618,-1.1928
279,3.5026,3.7996,-0.4629
280,4.1581,3.2600,-0.1596
281,3.2321,3.4221,1.2737
282,3.6867,2.8788,0.2575
283,3.8681,3.6890,-0.1432
284,4.7776,3.1692,0.9055
285,3.4747,3.1035,-0.2301
286,3.1863,2.2111,0.0270
287,5.3339,4.3974,0.3655
288,3.7524,2.4986,-1.4654
289,3.8651,3.1094,-0.9189
290,4.5104,2.9881,-0.7857
291,4.6344,4.0416,1.3572
292,3.6692,2.3843,-0.0841
293,2.8959,2.8125,0.4783
294,3.4287,2.2316,0.6959
295,4.3933,3.0389,0.3621
296,2.9990,3.4279,-0.3901
297,4.4127,4.5152,-0.1607
298,3.3082,4.5484,-0.9546
299,2.3980,3.3186,-0.6035
300,5.5597,3.0736,-0.0191
301,4.5727,4.2881,-1.8079
302,4.5117,4.3064,-0.8318
303,3.1348,3.7058,-0.1568
304,3.2043,3.6594,-0.3641
305,4.1099,3.0752,0.9458
306,3.5948,2.9082,-0.7712
307,3.7845,3.8119,1.2889
308,3.6382,2.3145,-0.0170
309,3.2333,4.0698,0.6171
310,4.1042,0.5293,-0.1191
311,2.8736,2.9293,-0.1341
312,4.6467,3.0322,0.5528
313,2.9252,3.6165,-0.3857
314,3.7693,4.0654,0.5706
315,4.3627,2.8152,0.3718
316,3.4182,2.6114,-0.1872
317,3.5088,3.1313,-0.3232
318,3.4638,3.9394,-0.0030
319,3.4263,2.4435,0.0115
320,2.8649,3.5833,-0.2689
321,3.4366,3.2236,0.7448
322,3.6900,2.7663,0.0866
323,3.6290,2.9695,-0.0615
324,3.0587,4.9426,-0.6775
325,3.1952,4.2514,-0.8922
326,3.7752,3.4967,0.6285
327,4.2689,2.0105,-0.9707
328,4.5242,2.8499,0.6798
329,3.2916,3.4110,1.2053
330,3.4562,2.4579,-0.1257
331,4.1573,1.7095,0.7010
332,2.5805,2.7283,-0.7294
333,4.0073,3.9250,-0.7835
334,4.3524,2.4186,0.2489
335,3.2740,3.9928,0.6448
336,4.3581,4.1373,0.6572
337,4.0125,2.9869,0.0222
338,2.7358,2.1971,-0.2336
339,4.0802,1.9383,-0.2428
340,4.2836,2.6421,-0.2332
341,4.3148,2.5802,-1.8071
342,3.4857,2.0970,-0.8215
343,3.5449,3.7638,-1.2455
344,3.6088,3.0009,-0.3170
345,1.9259,2.3960,-0.5407
346,3.9918,4.0114,0.3570
347,2.4593,2.1146,0.1710
348,3.1861,4.5994,0.0435
349,2.0081,3.4679,0.3090
350,3.5594,3.6069,-0.4447
351,3.5420,2.7572,-0.2349
352,2.6619,3.3387,0.4497
353,5.0210,4.3553,-0.8595
354,3.1069,3.7417,0.1193
355,3.6381,1.7991,-0.8302
356,3.2277,2.7065,-1.2023
357,2.7575,1.1835,-0.2171
358,3.4931,4.2243,-1.2810
359,4.2149,2.8079,1.0843
360,3.9877,4.0505,-0.8697
