renda_mensal,comprometimento_renda,atrasos_30d,consultas_credito,saldo_medio,target
5157.04,0.1868,1,5,72.15,0
3918.77,0.0200,0,1,605.35,1
4112.55,0.5994,1,0,713.93,1
6487.25,0.6194,0,3,2251.33,0
6086.76,0.1483,1,8,3139.96,0
3287.83,0.1390,0,4,3231.18,0
6735.96,0.2924,0,8,2832.44,0
9856.18,0.1381,0,2,1441.76,0
7317.92,0.5101,0,2,765.82,0
700.00,0.0200,0,1,1491.52,1
3489.23,0.6693,0,4,3088.64,0
8212.13,0.6668,0,2,2039.41,0
9000.49,0.2158,0,1,373.90,0
8629.21,0.5934,0,6,4392.02,0
11930.64,0.1448,0,7,3887.90,0
8816.30,0.4592,2,2,346.66,1
4459.76,0.4140,0,2,1378.02,0
7432.51,0.3840,0,4,1692.40,0
4162.55,0.2187,0,7,3838.85,0
5075.86,0.2641,0,6,2076.82,0
14652.24,0.5688,0,1,1840.42,0
2527.55,0.3266,0,3,1315.70,0
6102.35,0.2010,0,5,2745.66,0
11874.01,0.4214,0,5,2168.14,0
6780.84,0.3203,0,1,1515.54,0
6346.80,0.0404,0,6,5211.59,1
10053.99,0.1314,0,3,1990.27,0
6003.63,0.2230,1,1,0.00,0
6064.62,0.4289,1,1,0.00,0
10991.99,0.5871,0,7,835.85,1
5060.10,0.3756,0,7,2125.34,0
9850.79,0.2811,0,8,490.96,0
6353.30,0.5974,0,1,549.20,0
5938.03,0.5903,0,5,1936.73,0
3131.30,0.0446,0,6,1129.44,0
8046.87,0.2034,1,6,3911.98,0
700.00,0.3615,0,6,1180.28,1
2610.67,0.2887,0,1,3092.96,0
10300.11,0.1802,0,7,2859.16,0
8456.39,0.6665,0,1,4042.46,0
6582.11,0.0200,0,7,0.00,0
6881.37,0.4203,0,3,1243.25,0
6247.60,0.5302,0,7,579.68,1
4417.44,0.1198,0,6,697.37,0
9271.01,0.3352,0,6,870.18,0
6698.47,0.0818,0,3,930.89,0
5190.27,0.5582,1,6,684.74,1
12688.10,0.1538,0,7,1098.00,0
5286.72,0.2989,0,3,1641.96,0
3897.67,0.0710,0,7,2443.56,0
7652.02,0.4951,1,7,6900.06,0
6016.95,0.7712,2,7,1306.80,1
4227.86,0.5902,1,2,1050.66,0
4283.98,0.1157,0,3,93.44,0
3437.08,0.2306,0,6,1902.24,1
6454.00,0.1064,1,5,2225.03,0
6121.05,0.3704,0,2,3872.68,0
5149.02,0.6509,0,5,189.09,0
3277.28,0.6307,0,4,2144.75,0
6321.61,0.0200,0,7,455.88,0
11167.00,0.5855,0,2,2169.57,0
3211.96,0.1192,0,6,2386.45,1
9708.80,0.1542,1,6,722.13,0
8396.47,0.3719,1,2,2010.73,0
10418.72,0.6145,0,2,3136.98,0
2907.23,0.5161,0,2,2856.79,0
9040.68,0.1304,1,3,0.00,1
7140.30,0.3680,0,3,2550.20,0
13426.05,0.3285,0,2,0.00,1
5961.62,0.4457,0,1,2209.23,0
9213.15,0.4391,0,3,1623.59,0
5423.44,0.2884,0,0,3427.43,0
4303.07,0.3624,0,7,1504.31,0
5674.47,0.2088,1,2,1735.01,0
2920.98,0.0200,0,2,601.31,1
5896.96,0.4597,0,8,1040.32,1
3077.83,0.0527,0,4,4735.64,0
4671.83,0.1891,0,5,0.00,0
2810.75,0.2660,0,3,3351.65,0
2465.10,0.3557,1,3,3431.71,0
3833.51,0.3299,0,7,3637.55,0
5591.64,0.5837,1,1,0.00,1
3746.52,0.4032,1,4,2540.76,0
5552.01,0.6595,0,1,0.00,0
4205.60,0.2701,0,5,2859.38,0
3710.43,0.2349,0,1,5356.72,0
1566.03,0.0506,0,8,931.22,0
3074.36,0.4381,0,6,0.00,0
5806.21,0.2082,0,1,4119.82,0
4597.77,0.0471,0,7,2167.59,0
700.00,0.3099,0,5,664.65,0
8636.80,0.5031,0,1,282.84,0
4753.91,0.0200,0,4,118.75,0
9122.03,0.2182,0,5,0.00,0
3438.49,0.1472,0,1,1120.15,0
3437.84,0.0348,0,1,182.57,0
2184.52,0.3939,0,1,0.00,0
7101.25,0.4970,0,3,1632.20,0
8165.81,0.0200,0,6,1077.37,0
5800.66,0.5724,0,2,1529.67,0
1600.28,0.4975,0,6,877.36,1
6486.98,0.3925,1,2,782.30,0
5740.54,0.5199,1,0,2469.66,1
6471.27,0.5980,1,3,3384.87,0
4758.52,0.2661,0,6,539.84,0
3645.37,0.3718,0,2,2690.68,0
980.25,0.3153,0,8,0.00,0
2184.13,0.3361,0,3,2285.84,1
2995.25,0.5247,0,8,0.00,0
5343.58,0.0963,1,3,0.00,0
700.00,0.3277,0,7,2497.45,0
5940.03,0.0360,0,3,1957.46,0
9685.00,0.3689,0,6,0.00,0
2192.91,0.1832,1,4,811.56,1
700.00,0.2578,1,6,31.78,1
3988.18,0.5390,1,2,3967.51,0
2793.83,0.3319,0,4,895.65,0
5443.67,0.2699,0,5,3166.74,0
700.00,0.0672,0,1,952.10,0
10938.02,0.1481,0,5,1750.19,0
12616.04,0.4349,0,4,2208.66,0
2915.02,0.4009,0,8,2743.64,0
8965.76,0.3887,0,1,1151.36,0
5715.27,0.4293,0,4,2054.39,1
6347.18,0.5750,0,6,320.40,1
2782.42,0.5365,0,4,2973.58,0
2089.67,0.0742,1,4,2205.09,0
4905.44,0.3478,0,3,849.72,0
700.00,0.0226,0,6,0.00,0
1755.56,0.5135,0,3,1145.95,0
6752.10,0.1449,0,1,2996.85,0
11879.63,0.6406,0,3,0.00,0
2822.85,0.5323,0,5,2181.67,0
4900.27,0.4170,1,6,2502.30,0
700.00,0.2849,0,7,4235.41,1
700.00,0.8143,0,6,2943.03,0
4919.95,0.0934,1,1,1242.25,1
6274.19,0.1976,0,6,2658.04,0
7231.05,0.4889,1,6,3531.82,0
5954.57,0.2226,0,7,1489.24,0
8719.27,0.2038,0,2,2427.68,0
3339.52,0.1948,0,5,197.15,0
11861.53,0.2293,0,0,2676.31,0
9425.56,0.0870,0,5,3215.44,0
2727.58,0.4099,0,3,1842.47,0
1501.57,0.5577,0,5,3140.68,0
3813.29,0.4421,0,8,306.89,0
5145.54,0.3166,0,6,1520.87,0
7136.23,0.4028,0,2,2423.15,0
1553.57,0.1121,0,7,1947.27,0
5764.48,0.4598,0,2,0.00,0
1130.01,0.5967,0,1,3043.40,1
10254.62,0.4772,1,1,0.00,0
7949.64,0.1558,0,4,3869.22,0
4699.50,0.5438,0,1,0.00,0
2263.89,0.4026,0,5,3785.04,1
2798.98,0.0252,1,0,1285.66,0
4572.25,0.2680,1,4,1363.09,0
3701.28,0.5251,0,4,1823.38,0
5691.09,0.4403,0,6,117.34,0
5449.20,0.2213,1,4,3577.06,0
798.73,0.0200,1,0,4013.05,0
8935.37,0.1837,0,8,0.00,0
4390.46,0.3134,0,4,4419.66,0
3275.52,0.0200,1,6,1952.64,0
9252.39,0.1258,0,6,2849.04,0
8384.66,0.1656,1,0,0.00,0
6405.39,0.2440,0,2,4652.46,0
11194.75,0.2964,0,8,3390.51,0
9439.96,0.1739,0,5,789.14,0
5151.24,0.4738,0,6,2579.62,0
4946.97,0.3521,1,1,1462.66,0
2226.62,0.6212,1,4,4806.08,0
2448.08,0.2255,0,6,0.00,0
10494.82,0.4017,1,3,1607.64,0
3159.66,0.5290,0,7,2468.27,0
773.92,0.6565,0,2,2149.64,0
3410.36,0.1587,1,3,2964.55,0
5876.08,0.3099,1,5,378.49,0
5573.48,0.2341,1,7,1342.35,0
7843.83,0.5405,0,6,0.00,0
6217.18,0.4558,2,4,2882.99,1
6945.19,0.1566,0,5,2206.87,1
700.00,0.3785,0,1,2797.82,0
8211.38,0.4307,0,1,1191.23,0
7563.73,0.5165,1,3,1840.13,0
3078.51,0.0200,1,3,375.75,0
2476.85,0.3544,1,6,2967.66,1
8317.63,0.0348,0,7,0.00,0
6738.82,0.3041,0,2,3736.41,1
7638.78,0.3040,0,0,1504.54,0
9752.33,0.6650,1,3,1204.63,0
2487.96,0.4996,0,1,4387.12,0
3092.07,0.2882,0,3,3177.74,0
2433.82,0.1471,0,7,2233.19,0
7159.58,0.2251,1,5,351.54,0
3860.69,0.2753,0,6,1280.26,0
700.00,0.3132,1,7,2941.50,0
5256.27,0.7309,1,0,118.07,0
3400.17,0.3742,1,7,4149.72,0
4822.58,0.0392,0,4,498.79,0
4408.15,0.2487,0,0,0.00,0
4428.01,0.2593,0,0,2652.41,0
6893.72,0.3587,0,3,0.00,0
3293.57,0.2622,0,2,3588.50,0
3227.07,0.1264,0,4,1058.36,0
3415.59,0.5869,0,0,1914.16,0
3105.70,0.3407,1,5,2978.58,0
3673.97,0.2637,0,1,326.87,0
3943.71,0.2675,0,7,2094.82,0
6151.95,0.2694,0,3,2066.54,0
10117.21,0.5727,1,6,179.92,0
8268.53,0.7277,0,1,2410.49,0
4420.50,0.2475,0,8,139.76,0
700.00,0.5065,0,7,2804.16,0
7798.33,0.7726,1,8,3478.69,0
947.77,0.3591,0,6,2006.74,0
5338.29,0.3028,0,7,1256.17,0
7714.20,0.0856,1,4,0.00,0
1546.58,0.3790,0,2,3114.61,0
4996.61,0.2409,0,6,1099.89,0
10622.79,0.2557,0,2,1590.62,0
5650.79,0.3224,1,1,3919.06,0
8475.05,0.2437,0,5,1570.59,0
3110.25,0.6220,0,4,2010.52,1
5016.84,0.1678,0,5,0.00,0
4598.26,0.2860,1,5,2098.88,0
3205.03,0.2545,1,3,3770.57,1
2005.95,0.4196,0,1,2922.65,0
7013.80,0.1700,1,6,4197.89,0
2574.61,0.4654,0,4,834.06,1
10681.51,0.0457,0,1,1994.66,0
4322.70,0.1946,1,2,2809.49,0
700.00,0.2083,0,2,1504.52,0
8384.21,0.2842,0,1,1477.98,0
4107.40,0.3094,0,2,1266.22,0
10620.10,0.5903,0,2,1583.11,0
12920.11,0.1032,1,3,2744.58,0
6129.17,0.1637,0,1,967.20,0
7558.79,0.3044,0,2,0.00,1
9220.64,0.1632,0,7,1054.30,0
6097.38,0.2850,0,4,2220.65,0
8878.85,0.0200,0,4,1836.67,0
3155.02,0.1940,0,8,3291.65,1
700.00,0.4900,0,5,3709.98,0
6593.16,0.7626,1,3,2345.64,0
5196.17,0.3791,1,6,1970.13,0
8180.58,0.1056,0,2,6230.76,0
3593.32,0.4564,0,4,568.30,0
10374.33,0.5460,0,2,4672.55,0
11043.44,0.6304,0,8,1772.04,0
2905.00,0.5906,1,4,2325.98,0
700.00,0.0200,0,4,3814.04,0
7360.40,0.5090,0,5,485.79,0
3667.17,0.5228,1,1,4130.80,0
5467.42,0.0200,0,0,887.84,0
4634.62,0.3002,0,5,2004.73,0
12343.31,0.3388,0,3,2859.06,0
5174.38,0.4396,1,5,2950.23,1
5453.27,0.2426,1,1,1771.30,0
4426.53,0.1198,0,8,2414.58,0
2866.55,0.2122,0,5,336.30,0
5172.51,0.6953,0,4,0.00,0
5563.14,0.5637,1,5,1390.52,1
7254.25,0.4648,0,7,491.43,0
5814.64,0.3454,1,6,1353.34,0
3574.49,0.5648,0,6,683.30,0
2706.00,0.6443,0,3,3070.08,1
5898.98,0.3091,0,3,1779.23,1
4313.45,0.2294,1,6,1632.34,0
8080.92,0.2402,0,2,4306.74,0
8500.49,0.3137,0,4,933.82,0
5909.05,0.7000,1,0,4086.51,0
10505.22,0.6423,0,7,2518.78,1
1775.34,0.2270,0,2,1749.59,0
4306.04,0.8336,1,2,0.00,1
6137.99,0.2326,0,7,1472.69,0
8707.71,0.1896,0,5,2202.29,0
5336.55,0.2081,1,4,2079.52,0
2003.99,0.4586,0,6,2909.36,0
3507.54,0.2474,0,3,1215.86,0
700.00,0.3933,0,4,3429.87,0
3025.73,0.1917,1,6,1867.53,0
700.00,0.1901,0,3,3276.56,0
3251.22,0.0200,0,3,1493.82,0
6416.73,0.6506,0,5,0.00,1
6196.88,0.1287,0,7,417.58,0
4746.62,0.2355,0,4,910.35,0
3507.99,0.5170,0,0,1481.29,0
700.00,0.3409,1,2,1585.42,0
3114.58,0.0200,1,1,1376.16,0
4250.76,0.4937,0,0,3234.30,0
1679.32,0.3289,1,1,0.00,1
5756.08,0.4597,0,4,0.00,0
4710.38,0.5258,0,0,1099.40,0
6556.25,0.4698,0,3,2432.67,0
2589.44,0.4363,1,3,0.00,1
7068.26,0.4802,0,3,804.95,0
5591.87,0.2813,0,7,1021.35,0
9362.24,0.6428,0,5,5937.70,0
7505.96,0.0839,0,8,2815.04,0
700.00,0.5650,1,7,232.56,1
6183.65,0.4816,0,2,951.12,0
3451.96,0.3458,0,2,0.00,0
1542.09,0.4986,1,8,1549.32,0
2968.40,0.2605,0,7,0.00,0
11280.70,0.0200,0,8,2153.66,0
7822.01,0.6042,0,4,1741.55,0
5111.12,0.0200,1,4,1866.94,0
3873.68,0.4149,1,3,2342.94,1
5981.97,0.2955,0,2,735.17,0
9032.24,0.3967,0,4,279.93,0
1684.29,0.4217,0,4,5248.87,0
5998.54,0.2237,0,3,1334.08,0
3401.97,0.2192,0,6,2878.88,1
7844.79,0.6422,0,8,4634.36,0
2438.57,0.2859,0,5,0.00,0
8989.85,0.3949,0,5,3910.48,0
2201.65,0.4259,0,0,2790.36,0
5064.90,0.5240,1,2,1161.78,1
4324.46,0.2535,0,3,828.37,0
7401.23,0.3182,0,2,589.07,0
1581.29,0.1707,0,7,3972.40,0
1366.85,0.5515,1,1,1030.40,1
9039.97,0.1368,0,5,3783.40,0
2990.58,0.2109,0,1,1222.26,0
5482.38,0.5420,1,5,1883.51,1
3612.41,0.1464,0,4,3537.05,0
1493.90,0.3100,0,7,2547.45,0
5718.38,0.3821,0,1,1816.60,1
2318.63,0.2861,0,5,612.59,0
4667.87,0.6665,1,2,2348.63,1
700.00,0.4299,0,4,1120.63,0
9744.53,0.2184,0,3,0.00,0
5747.94,0.4789,0,8,2505.86,0
1992.71,0.1422,0,8,139.90,0
3122.56,0.3038,0,3,3728.66,0
700.00,0.2054,0,6,1430.64,0
6308.61,0.6591,1,5,3592.03,1
1659.37,0.1323,0,1,3770.10,0
6689.50,0.1819,0,6,0.00,0
3914.82,0.4732,0,0,1368.01,1
4054.73,0.3402,0,5,574.75,0
4395.55,0.2193,1,6,0.00,0
700.00,0.4447,1,8,3291.98,1
6585.11,0.3229,0,8,960.58,0
6016.52,0.3063,0,4,1726.53,0
3804.34,0.3736,0,6,3869.82,0
1635.46,0.6107,0,7,2446.28,0
6997.15,0.6109,0,2,1087.20,0
4041.00,0.0200,1,7,888.47,1
9215.11,0.5448,0,3,1284.92,0
3516.30,0.4926,0,4,2837.92,0
3758.59,0.1838,0,5,558.60,0
2436.84,0.4271,1,6,1754.62,0
5783.11,0.0200,0,6,2053.87,0
7188.38,0.5902,0,4,1239.10,0
4224.42,0.2382,0,2,66.71,0
7360.42,0.0922,0,8,3370.85,0
3283.54,0.0200,0,2,1181.68,0
6762.31,0.2592,1,7,3868.06,1
2712.91,0.2950,0,4,1414.27,1
5609.29,0.7452,2,5,2526.37,1
4643.56,0.2001,0,5,846.95,0
3510.15,0.4952,0,6,0.00,0
6972.36,0.5693,1,1,1086.90,0
3058.11,0.4550,0,6,0.00,0
5848.58,0.2310,0,7,3028.15,0
2620.41,0.6822,0,4,6342.00,0
3138.70,0.8284,1,5,3429.11,0
5831.66,0.4461,1,1,1641.94,1
2810.29,0.2486,0,5,0.00,0
10619.64,0.4643,0,7,4318.24,1
4803.28,0.0847,1,6,879.38,0
3675.46,0.1085,0,4,295.95,0
5453.98,0.1957,1,1,1592.01,0
5400.35,0.0200,1,5,3721.50,0
8347.97,0.6642,1,7,2815.25,1
7528.16,0.0200,0,4,2533.08,0
1118.76,0.6362,0,1,1355.22,1
9769.37,0.4087,0,1,1671.74,0
9341.22,0.3974,0,6,1642.76,0
6022.92,0.5155,0,5,5902.05,0
6141.76,0.2098,0,6,0.00,0
700.00,0.2820,1,5,5675.66,1
3614.80,0.1779,1,8,2011.22,0
3055.09,0.5695,0,6,2224.38,0
6537.02,0.0200,0,5,4833.13,0
7973.56,0.1534,0,1,1003.65,0
5456.79,0.2397,0,6,2268.94,0
6371.06,0.2960,0,1,1995.19,0
3816.01,0.1736,0,5,3194.64,0
7182.55,0.4010,0,8,0.00,0
4890.94,0.5275,0,7,738.91,1
2470.20,0.1736,0,5,4608.87,0
11805.78,0.2656,1,5,1859.06,0
4831.52,0.3952,1,6,3670.74,0
5653.15,0.1142,0,0,3512.28,0
5154.44,0.1761,0,8,0.00,0
1943.73,0.4104,1,7,2662.26,0
7544.30,0.2154,0,3,2407.74,0
2169.13,0.3266,0,2,2623.98,0
700.00,0.3697,0,7,0.00,0
6621.22,0.4383,0,6,227.14,0
7894.32,0.3809,0,3,1696.78,0
6781.20,0.3330,0,4,1330.06,0
4031.69,0.3666,0,7,3743.61,0
11336.86,0.2615,0,3,0.00,0
3997.48,0.1509,0,1,3243.18,0
4807.67,0.0200,0,6,3038.48,0
6715.60,0.2792,0,4,1566.38,0
1947.55,0.3783,0,7,3101.02,0
12749.54,0.5129,0,2,0.00,0
2402.37,0.2876,0,0,3414.06,0
5224.69,0.3102,0,1,0.00,0
1973.63,0.5551,0,1,1161.63,0
5755.19,0.1761,0,8,3860.27,0
5626.42,0.7094,2,7,3836.55,1
2687.14,0.3198,0,5,3503.14,0
5211.15,0.3181,0,4,0.00,0
4700.82,0.7249,1,3,3418.21,1
